sample	frip	tss_enrichment	frip_norm	tss_norm	weight
SRR27376618	0.091850	2.534598	0.322193	0.665057	0.594900
SRR27376619	0.162068	3.118659	0.580863	0.947914	0.811511
SRR27376620	0.054352	2.201913	0.184058	0.503939	0.475199
SRR27376621	0.054199	2.096049	0.183494	0.452670	0.454466
SRR27376622	0.177266	2.690975	0.636850	0.740789	0.751056
SRR27376623	0.113461	2.576711	0.401804	0.685452	0.634902
SRR27376624	0.137324	3.129880	0.489711	0.953348	0.777224
SRR27376625	0.117599	2.514611	0.417048	0.655377	0.628970
SRR27376626	0.052525	1.833994	0.177328	0.325758	0.401234
SRR27376627	0.034892	1.993978	0.112371	0.403237	0.406243
SRR27376628	0.151476	3.027909	0.541844	0.903964	0.778324
SRR27376629	0.019940	1.882973	0.057291	0.349478	0.362707
SRR27376630	0.104116	2.191508	0.367379	0.498900	0.546512
SRR27376631	0.008213	1.424111	0.014091	0.127254	0.256538
SRR27376632	0.036889	2.031152	0.119728	0.421240	0.416387
SRR27376633	0.050825	2.192624	0.171065	0.499440	0.468202
SRR27376634	0.047239	1.742960	0.157855	0.281671	0.375810
SRR27376635	0.017634	1.717335	0.048796	0.269261	0.327223
SRR27376636	0.004388	1.187898	0.000000	0.012857	0.205143
SRR27376637	0.141850	2.866602	0.506384	0.825844	0.732891
SRR27376638	0.178958	3.226209	0.643083	1.000000	0.857233
SRR27376639	0.026830	1.673032	0.082672	0.247805	0.332191
SRR27376640	0.218532	2.738117	0.788866	0.763620	0.820994
SRR27376641	0.048512	1.936563	0.162544	0.375431	0.415190
SRR27376642	0.037904	1.989154	0.123467	0.400901	0.409747
SRR27376643	0.069372	2.062373	0.239389	0.436361	0.470300
SRR27376644	0.064646	2.354304	0.221979	0.577741	0.519888
SRR27376645	0.046545	2.171980	0.155298	0.489443	0.457896
SRR27376646	0.147764	2.585545	0.528170	0.689730	0.687160
SRR27376647	0.038631	2.078125	0.126145	0.443989	0.428054
SRR27376648	0.150723	3.062750	0.539071	0.920838	0.783963
SRR27376649	0.032404	1.728001	0.103206	0.274426	0.351053
SRR27376650	0.110545	2.190830	0.391062	0.498572	0.555854
SRR27376651	0.021181	2.075256	0.061862	0.442600	0.401785
SRR27376652	0.061292	1.784943	0.209624	0.302003	0.404651
SRR27376653	0.039864	1.836715	0.130687	0.327076	0.383105
SRR27376654	0.118265	2.448614	0.419501	0.623415	0.617167
SRR27376655	0.025556	1.915439	0.077979	0.365201	0.377272
SRR27376656	0.090632	2.753654	0.317707	0.771144	0.635540
SRR27376657	0.011019	1.375770	0.024427	0.103842	0.251308
SRR27376658	0.050943	1.745049	0.171500	0.282682	0.381673
SRR27376659	0.099459	2.715122	0.350224	0.752483	0.641083
SRR27376660	0.045766	1.830111	0.152429	0.323877	0.390522
SRR27376661	0.044070	1.916404	0.146181	0.365669	0.404740
SRR27376662	0.009640	1.494665	0.019347	0.161423	0.272308
SRR27376663	0.072799	2.448961	0.252013	0.623583	0.550238
SRR27376664	0.045438	2.124734	0.151220	0.466562	0.447113
SRR27376665	0.056206	1.824725	0.190888	0.321269	0.404863
SRR27376666	0.121983	2.523967	0.433198	0.659908	0.637242
SRR27376667	0.275846	3.037645	1.000000	0.908679	0.963472
SRR27376668	0.102109	2.567100	0.359986	0.680797	0.616313
SRR27376669	0.053235	2.303914	0.179943	0.553338	0.493312
SRR27376670	0.160374	2.733878	0.574623	0.761567	0.734476
SRR27376671	0.080643	2.387686	0.280909	0.593908	0.549927
SRR27376672	0.006505	1.195962	0.007799	0.016762	0.209824
SRR27376673	0.109567	2.759425	0.387460	0.773939	0.664559
SRR27376674	0.064416	2.411676	0.221132	0.605526	0.530663
SRR27376675	0.019457	1.592773	0.055511	0.208936	0.305779
SRR27376676	0.095766	2.502263	0.336619	0.649397	0.594406
SRR27376677	0.122369	2.426129	0.434620	0.612526	0.618858
SRR27376678	0.087633	2.350404	0.306659	0.575852	0.553005
SRR27376679	0.011105	1.318969	0.024744	0.076334	0.240431
SRR27376680	0.049756	2.098158	0.167127	0.453691	0.448327
SRR27376681	0.012093	1.438309	0.028384	0.134130	0.265005
SRR27376682	0.061411	2.326917	0.210062	0.564478	0.509816
SRR27376683	0.059865	2.084255	0.204367	0.446958	0.460530
SRR27376684	0.095796	2.244544	0.336730	0.524585	0.544526
SRR27376685	0.138626	2.709984	0.494507	0.749995	0.697801
SRR27376686	0.065921	2.124477	0.226676	0.466437	0.477245
SRR27376687	0.006166	1.161350	0.006550	0.000000	0.202620
SRR27376688	0.124509	3.080171	0.442503	0.929275	0.748711
