gene_symbol	categories
AARS	essential
ABCB1	oncogene
ABCB10	oncogene
ABCE1	essential
ABCF1	essential
ABHD5	tumor_suppressor
ABI1	oncogene,tumor_suppressor
ABL1	oncogene,tumor_suppressor
ABL2	oncogene
ABR	tumor_suppressor
ACADL	tumor_suppressor
ACKR3	oncogene
ACLY	oncogene
ACSL4	oncogene,tumor_suppressor
ACSL6	tumor_suppressor
ACTB	essential,oncogene
ACTL6A	essential,oncogene
ACTR10	essential
ACTR2	essential
ACY1	tumor_suppressor
ADA	oncogene
ADAM12	oncogene
ADAM17	oncogene
ADAM9	oncogene
ADAMTS15	tumor_suppressor
ADAMTS18	tumor_suppressor
ADAMTS9	tumor_suppressor
ADAR	oncogene
ADARB1	tumor_suppressor
ADGRB1	tumor_suppressor
ADGRF1	oncogene
ADIPOQ	oncogene
ADRM1	oncogene
ADSL	essential
ADSS	essential
AEBP1	oncogene
AFAP1	oncogene
AFAP1L2	oncogene
AFDN	oncogene
AFF1	oncogene
AFP	oncogene
AGK	oncogene
AGO2	oncogene
AGR2	oncogene
AGRN	oncogene
AHCY	essential
AHI1	oncogene
AHNAK	tumor_suppressor
AHNAK2	oncogene
AHR	oncogene,tumor_suppressor
AICDA	oncogene
AIM2	oncogene,tumor_suppressor
AIP	oncogene
AJAP1	tumor_suppressor
AJUBA	oncogene
AKAP12	tumor_suppressor
AKIP1	oncogene
AKR1B10	oncogene
AKR1C3	oncogene
AKT1	oncogene,tumor_suppressor
AKT1S1	oncogene
AKT2	oncogene,tumor_suppressor
AKT3	oncogene,tumor_suppressor
ALDH1A1	oncogene
ALDH1A2	tumor_suppressor
ALDOA	oncogene
ALG1	essential
ALG14	essential
ALG2	essential
ALG3	oncogene
ALK	oncogene
ALKBH5	oncogene,tumor_suppressor
ALOX15	tumor_suppressor
ALOX15B	tumor_suppressor
ALPL	tumor_suppressor
ALX4	tumor_suppressor
ALYREF	oncogene
AMBRA1	tumor_suppressor
AMER1	tumor_suppressor
AMOT	oncogene,tumor_suppressor
AMOTL1	oncogene
ANAPC2	essential
ANAPC4	essential
ANAPC5	essential
ANGPTL1	tumor_suppressor
ANGPTL4	oncogene
ANLN	oncogene
ANP32A	oncogene,tumor_suppressor
ANXA1	oncogene,tumor_suppressor
ANXA2	oncogene
ANXA6	tumor_suppressor
ANXA7	tumor_suppressor
AOC1	oncogene
APC	oncogene,tumor_suppressor
APOC1	oncogene
APP	oncogene
AQP1	oncogene
AQR	essential
AR	oncogene,tumor_suppressor
ARAF	oncogene
ARCN1	essential
AREG	oncogene
ARHGAP1	oncogene
ARHGAP10	tumor_suppressor
ARHGAP11A	oncogene
ARHGAP24	tumor_suppressor
ARHGAP26	tumor_suppressor
ARHGAP5	oncogene
ARHGEF11	oncogene
ARID1A	oncogene,tumor_suppressor
ARID1B	tumor_suppressor
ARID2	tumor_suppressor
