sample	mapping_efficiency	bisulfite_conversion_rate	mean_cpg_depth	weight
SRR27118566	61.500	98.100	6.202	0.895580
SRR27118565	64.000	98.050	6.069	0.911339
SRR27118554	63.900	97.800	7.032	0.893767
SRR27118543	62.700	98.100	7.638	0.904758
SRR27118525	63.500	98.100	7.943	0.910876
SRR27118514	66.100	97.750	5.712	0.907232
SRR27118503	66.400	98.100	5.747	0.933056
SRR27118531	68.400	97.850	7.541	0.931546
SRR27118529	68.800	97.700	6.001	0.924521
SRR27118528	64.800	97.750	5.655	0.897289
SRR27118564	66.700	97.750	5.069	0.911821
SRR27118563	64.000	98.000	6.099	0.907978
SRR27118562	66.100	97.400	7.824	0.883703
SRR27118561	33.300	92.850	1.000	0.326960
SRR27118560	62.700	97.550	2.042	0.867783
SRR27118559	63.200	98.300	5.589	0.922027
SRR27118558	65.100	98.150	8.048	0.926475
SRR27118557	64.600	98.050	9.335	0.915928
SRR27118556	64.600	98.450	9.019	0.942819
SRR27118555	68.200	97.800	3.104	0.926655
SRR27118553	66.000	98.250	4.575	0.940081
SRR27118552	69.000	97.800	3.383	0.932773
SRR27118551	64.500	97.900	3.503	0.905079
SRR27118550	65.200	98.050	8.131	0.920517
SRR27118549	63.200	97.550	7.244	0.871607
SRR27118548	62.000	97.800	3.358	0.879236
SRR27118547	63.900	97.900	4.314	0.900490
SRR27118546	55.500	98.800	15.000	0.896750
SRR27118545	62.900	98.100	6.920	0.906287
SRR27118544	62.400	98.100	8.555	0.902463
SRR27118542	58.600	98.300	8.704	0.886845
SRR27118541	60.700	98.100	8.174	0.889461
SRR27118540	16.700	98.500	2.305	0.579832
SRR27118539	59.300	98.050	10.098	0.875392
SRR27118538	61.500	98.100	8.519	0.895580
SRR27118537	60.000	97.850	8.335	0.867301
SRR27118536	58.300	98.100	8.300	0.871106
SRR27118535	60.800	98.300	8.175	0.903671
SRR27118527	63.500	98.200	6.227	0.917599
SRR27118526	58.400	97.400	5.465	0.824812
SRR27118524	54.200	98.000	6.642	0.833025
SRR27118523	62.700	98.550	8.907	0.935010
SRR27118522	63.300	98.300	9.586	0.922792
SRR27118521	60.800	98.350	9.284	0.907033
SRR27118520	61.300	98.150	7.117	0.897412
SRR27118519	61.400	98.350	9.032	0.911622
SRR27118518	62.000	97.750	5.363	0.875874
SRR27118517	63.500	97.050	4.840	0.840288
SRR27118516	62.100	97.950	17.553	0.890085
SRR27118515	64.200	98.200	7.455	0.922953
SRR27118513	64.800	97.850	6.849	0.904012
SRR27118512	60.500	98.350	7.386	0.904738
SRR27118511	65.900	98.150	6.664	0.932593
SRR27118510	64.300	97.850	5.718	0.900188
SRR27118509	59.900	97.050	5.199	0.812754
SRR27118508	61.200	98.050	11.493	0.889924
SRR27118507	63.200	98.000	8.649	0.901859
SRR27118506	64.800	97.950	8.388	0.910735
SRR27118505	63.100	98.200	5.637	0.914540
SRR27118504	65.300	97.850	7.718	0.907836
SRR27118502	63.500	98.250	7.597	0.920960
SRR27118501	62.100	97.950	6.728	0.890085
SRR27118500	61.600	98.250	4.549	0.906429
SRR27118499	58.000	98.350	6.092	0.885618
SRR27118498	65.800	97.500	5.247	0.888131
SRR27118497	61.300	98.000	7.215	0.887327
SRR27118496	61.900	98.000	6.780	0.891916
SRR27118534	62.600	97.650	6.378	0.873741
SRR27118533	62.200	97.950	5.497	0.890849
SRR27118532	61.000	98.200	7.111	0.898478
SRR27118530	56.600	97.550	4.995	0.821129
