genes	tissue_code	state	observed_bp
ANO2/NTF3	CL	13	1000
ANO2/NTF3	CO	13	1000
ANO2/NTF3	CR	13	1000
ANO2/NTF3	KI	13	349
ANO2/NTF3	KI	9	651
ANO2/NTF3	LI	13	1000
ANO2/NTF3	LU	13	549
ANO2/NTF3	LU	7	451
ANO2/NTF3	MG	13	651
ANO2/NTF3	MG	7	349
ANO2/NTF3	OV	13	1000
ANO2/NTF3	PA	13	1000
ANO2/NTF3	SP	13	1000
ANO2/NTF3	ST	13	1000
LOC119876429/LOC119872513	CL	13	1000
LOC119876429/LOC119872513	CO	13	1000
LOC119876429/LOC119872513	CR	13	1000
LOC119876429/LOC119872513	KI	13	1000
LOC119876429/LOC119872513	LI	13	1000
LOC119876429/LOC119872513	LU	13	1000
LOC119876429/LOC119872513	MG	13	1000
LOC119876429/LOC119872513	OV	13	1000
LOC119876429/LOC119872513	PA	13	1000
LOC119876429/LOC119872513	SP	13	1000
LOC119876429/LOC119872513	ST	13	1000
NPNT/TBCK	CL	13	1000
NPNT/TBCK	CO	13	1000
NPNT/TBCK	CR	13	1000
NPNT/TBCK	KI	13	338
NPNT/TBCK	KI	5	462
NPNT/TBCK	KI	6	200
NPNT/TBCK	LI	13	1000
NPNT/TBCK	LU	13	1000
NPNT/TBCK	MG	13	1000
NPNT/TBCK	OV	13	1000
NPNT/TBCK	PA	13	1000
NPNT/TBCK	SP	13	1000
NPNT/TBCK	ST	13	1000
