genes	tissue	state	ros_start	ros_end
ANO2/NTF3	CL	9	39683191	39683591
ANO2/NTF3	CL	9	39684391	39684991
ANO2/NTF3	CL	9	39699770	39700370
ANO2/NTF3	CL	9	39710968	39711615
ANO2/NTF3	CL	9	39711615	39712765
ANO2/NTF3	CL	9	39714371	39714971
ANO2/NTF3	CL	9	39718765	39719365
ANO2/NTF3	CL	9	39723365	39723765
ANO2/NTF3	CL	12	39726175	39727375
ANO2/NTF3	CL	9	39735396	39735996
ANO2/NTF3	CL	9	39737393	39737993
NPNT/TBCK	CL	12	27014119	27014211
NPNT/TBCK	CL	12	27014211	27014443
NPNT/TBCK	CL	12	27014443	27014981
NPNT/TBCK	CL	12	27014982	27015515
NPNT/TBCK	CL	7	27028699	27029899
NPNT/TBCK	CL	9	27039295	27039695
NPNT/TBCK	CL	12	27046687	27047087
LOC119876429/LOC119872513	CL	5	17231340	17232140
LOC119876429/LOC119872513	CL	7	17232140	17232940
LOC119876429/LOC119872513	CL	5	17232940	17234540
LOC119876429/LOC119872513	CL	6	17234540	17234689
LOC119876429/LOC119872513	CL	12	17265895	17267295
ANO2/NTF3	CO	12	39712365	39712823
ANO2/NTF3	CO	12	39712825	39712842
ANO2/NTF3	CO	12	39712842	39712963
LOC119876429/LOC119872513	CO	7	17261528	17261728
LOC119876429/LOC119872513	CO	5	17261728	17262128
ANO2/NTF3	CR	7	39700770	39701370
ANO2/NTF3	CR	9	39703568	39703968
ANO2/NTF3	CR	12	39726975	39727975
ANO2/NTF3	CR	12	39731975	39732575
NPNT/TBCK	CR	9	27043895	27044495
ANO2/NTF3	KI	6	39691790	39692439
ANO2/NTF3	KI	6	39692439	39692773
ANO2/NTF3	KI	9	39702968	39703768
ANO2/NTF3	KI	9	39711568	39711615
ANO2/NTF3	KI	9	39711615	39712365
ANO2/NTF3	KI	9	39722365	39722765
ANO2/NTF3	KI	9	39728175	39728975
ANO2/NTF3	KI	9	39730575	39731375
ANO2/NTF3	KI	9	39738795	39739195
NPNT/TBCK	KI	12	27014119	27014211
NPNT/TBCK	KI	12	27014211	27014443
NPNT/TBCK	KI	12	27014443	27014914
NPNT/TBCK	KI	6	27024297	27025697
NPNT/TBCK	KI	5	27028699	27029499
NPNT/TBCK	KI	6	27029499	27029699
NPNT/TBCK	KI	5	27031299	27031899
NPNT/TBCK	KI	6	27031899	27032699
NPNT/TBCK	KI	6	27035099	27035699
NPNT/TBCK	KI	7	27035899	27036499
NPNT/TBCK	KI	6	27044495	27044895
NPNT/TBCK	KI	6	27046287	27046687
NPNT/TBCK	KI	6	27049687	27050287
NPNT/TBCK	KI	6	27053077	27053677
NPNT/TBCK	KI	6	27056073	27056473
NPNT/TBCK	KI	5	27057273	27057873
NPNT/TBCK	KI	6	27057873	27058073
NPNT/TBCK	KI	7	27058673	27059073
NPNT/TBCK	KI	6	27060673	27061273
LOC119876429/LOC119872513	KI	12	17224139	17224718
LOC119876429/LOC119872513	KI	12	17224719	17224740
LOC119876429/LOC119872513	KI	12	17249540	17249940
LOC119876429/LOC119872513	KI	12	17266095	17266695
LOC119876429/LOC119872513	KI	9	17270295	17270895
