sample	cohort	weight	frip	tss_enrichment	reads	lambda	path
SRR27376618	original71	0.5949	0.09185	2.534598	9584018	0.239836	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376618
SRR27376619	original71	0.811511	0.162068	3.118659	11698548	0.29572	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376619
SRR27376620	original71	0.475199	0.054352	2.201913	11233894	0.281146	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376620
SRR27376621	original71	0.454466	0.054199	2.096049	18992698	0.480194	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376621
SRR27376622	original71	0.751056	0.177266	2.690975	14309470	0.358074	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376622
SRR27376623	original71	0.634902	0.113461	2.576711	33343180	0.843007	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376623
SRR27376624	original71	0.777224	0.137324	3.12988	10086582	0.252442	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376624
SRR27376625	original71	0.62897	0.117599	2.514611	11689902	0.292609	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376625
SRR27376626	original71	0.401234	0.052525	1.833994	19484074	0.487581	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376626
SRR27376627	original71	0.406243	0.034892	1.993978	12264442	0.306894	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376627
SRR27376628	original71	0.778324	0.151476	3.027909	12260404	0.306777	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376628
SRR27376629	original71	0.362707	0.01994	1.882973	11344180	0.283913	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376629
SRR27376630	original71	0.546512	0.104116	2.191508	12838094	0.321297	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376630
SRR27376631	original71	0.256538	0.008213	1.424111	13855340	0.346819	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376631
SRR27376632	original71	0.416387	0.036889	2.031152	10044876	0.251383	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376632
SRR27376633	original71	0.468202	0.050825	2.192624	12283832	0.307429	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376633
SRR27376634	original71	0.37581	0.047239	1.74296	43915882	1.11034	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376634
SRR27376635	original71	0.327223	0.017634	1.717335	10078128	0.252179	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376635
SRR27376636	original71	0.205143	0.004388	1.187898	27660770	0.692287	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376636
SRR27376637	original71	0.732891	0.14185	2.866602	11797998	0.295237	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376637
SRR27376638	original71	0.857233	0.178958	3.226209	9707008	0.242914	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376638
SRR27376639	original71	0.332191	0.02683	1.673032	13758512	0.344337	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376639
SRR27376640	original71	0.820994	0.218532	2.738117	15294318	0.382668	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376640
SRR27376641	original71	0.41519	0.048512	1.936563	22102058	0.5588	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376641
SRR27376642	original71	0.409747	0.037904	1.989154	8231490	0.205938	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376642
SRR27376643	original71	0.4703	0.069372	2.062373	33326656	0.842814	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376643
SRR27376644	original71	0.519888	0.064646	2.354304	9029514	0.228297	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376644
SRR27376645	original71	0.457896	0.046545	2.17198	13603362	0.340402	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376645
SRR27376646	original71	0.68716	0.147764	2.585545	8610964	0.215436	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376646
SRR27376647	original71	0.428054	0.038631	2.078125	11621454	0.290793	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376647
SRR27376648	original71	0.783963	0.150723	3.06275	11486520	0.287461	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376648
SRR27376649	original71	0.351053	0.032404	1.728001	11363430	0.284401	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376649
SRR27376650	original71	0.555854	0.110545	2.19083	10539524	0.263768	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376650
SRR27376651	original71	0.401785	0.021181	2.075256	2502392	0.062601	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376651
SRR27376652	original71	0.404651	0.061292	1.784943	80804276	2.043453	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376652
SRR27376653	original71	0.383105	0.039864	1.836715	12688274	0.320815	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376653
SRR27376654	original71	0.617167	0.118265	2.448614	89525924	2.263663	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376654
SRR27376655	original71	0.377272	0.025556	1.915439	12667734	0.317072	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376655
SRR27376656	original71	0.63554	0.090632	2.753654	13019622	0.32567	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376656
SRR27376657	original71	0.251308	0.011019	1.37577	13248878	0.33156	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376657
SRR27376658	original71	0.381673	0.050943	1.745049	16035294	0.401302	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376658
SRR27376659	original71	0.641083	0.099459	2.715122	10494052	0.262612	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376659
SRR27376660	original71	0.390522	0.045766	1.830111	22743116	0.569182	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376660
SRR27376661	original71	0.40474	0.04407	1.916404	15478940	0.387337	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376661
SRR27376662	original71	0.272308	0.00964	1.494665	15645722	0.391588	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376662
SRR27376663	original71	0.550238	0.072799	2.448961	12478276	0.312248	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376663
SRR27376664	original71	0.447113	0.045438	2.124734	13340142	0.33387	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376664
SRR27376665	original71	0.404863	0.056206	1.824725	9221084	0.230798	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376665
SRR27376666	original71	0.637242	0.121983	2.523967	11754332	0.294095	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376666
SRR27376667	original71	0.963472	0.275846	3.037645	21521930	0.53862	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376667
SRR27376668	original71	0.616313	0.102109	2.5671	12916626	0.326595	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376668
SRR27376669	original71	0.493312	0.053235	2.303914	8713324	0.218063	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376669
SRR27376670	original71	0.734476	0.160374	2.733878	11014066	0.275638	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376670
SRR27376671	original71	0.549927	0.080643	2.387686	16782116	0.41994	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376671
SRR27376672	original71	0.209824	0.006505	1.195962	7924264	0.198308	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376672
SRR27376673	original71	0.664559	0.109567	2.759425	14280448	0.357255	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376673
SRR27376674	original71	0.530663	0.064416	2.411676	12192932	0.305019	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376674
SRR27376675	original71	0.305779	0.019457	1.592773	30116710	0.753721	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376675
SRR27376676	original71	0.594406	0.095766	2.502263	14793826	0.370186	/mnt/d/Jin2024_work/ATAC_pipeline/per_dog/SRR27376676
