genes	configuration	included_dogs	confidence_floor	gated_CPM
ANO2/NTF3	71_QC_weighted	71	0.1	0.11417501129988696
ANO2/NTF3	71_QC_weighted	71	0.2	0.11417501129988696
ANO2/NTF3	71_QC_weighted	71	0.3	0.11417501129988696
ANO2/NTF3	71_equal_weight	71	0.1	0.11422589735178858
ANO2/NTF3	71_equal_weight	71	0.2	0.11422589735178858
ANO2/NTF3	71_equal_weight	71	0.3	0.11422589735178858
ANO2/NTF3	71_above_both_QC_medians	33	0.1	0.11447222813413467
ANO2/NTF3	71_above_both_QC_medians	33	0.2	0.11447222813413467
ANO2/NTF3	71_above_both_QC_medians	33	0.3	0.11447222813413467
LOC119876429/LOC119872513	71_QC_weighted	71	0.1	0.12201170227459894
LOC119876429/LOC119872513	71_QC_weighted	71	0.2	0.12201170227459894
LOC119876429/LOC119872513	71_QC_weighted	71	0.3	0.12201170227459894
LOC119876429/LOC119872513	71_equal_weight	71	0.1	0.11685931368464246
LOC119876429/LOC119872513	71_equal_weight	71	0.2	0.11685931368464246
LOC119876429/LOC119872513	71_equal_weight	71	0.3	0.11685931368464246
LOC119876429/LOC119872513	71_above_both_QC_medians	33	0.1	0.13377258660427402
LOC119876429/LOC119872513	71_above_both_QC_medians	33	0.2	0.13377258660427402
LOC119876429/LOC119872513	71_above_both_QC_medians	33	0.3	0.13377258660427402
NPNT/TBCK	71_QC_weighted	71	0.1	0.12417116594071519
NPNT/TBCK	71_QC_weighted	71	0.2	0.12417116594071519
NPNT/TBCK	71_QC_weighted	71	0.3	0.12417116594071519
NPNT/TBCK	71_equal_weight	71	0.1	0.1203390626794495
NPNT/TBCK	71_equal_weight	71	0.2	0.1203390626794495
NPNT/TBCK	71_equal_weight	71	0.3	0.1203390626794495
NPNT/TBCK	71_above_both_QC_medians	33	0.1	0.1314022557182642
NPNT/TBCK	71_above_both_QC_medians	33	0.2	0.1314022557182642
NPNT/TBCK	71_above_both_QC_medians	33	0.3	0.1314022557182642
