sampleName	Breed.Type	Category	BIOSAM.ID	run.IDs	sampleName2	sampleName3	sampleName4	Source	AlignmentCenter	Note	includedInVCF	includedInAnalyses	effectiveAutosomalMeanCoverage	Sex	CNV.keep	SNP.keep
ACKR000001	Cocker Spaniel	Breed_Dogs	SAMN15625691	SRR12330404	FAM007075	12451		NHGRI	Michigan		YES	YES	18.91	Female	TRUE	TRUE
ACKR000002	Cocker Spaniel	Breed_Dogs	SAMN15625692	SRR12330403	FAM007076	12452		NHGRI	Michigan		YES	YES	18.4	Male	TRUE	TRUE
ACKR000003	Cocker Spaniel	Breed_Dogs	SAMN15625693	SRR12330292	FAM007077	12453		NHGRI	Michigan		YES	YES	26.3	Female	TRUE	TRUE
AESK000001	American Eskimo Dog	Breed_Dogs	SAMN15625694	SRR12330181	FAM007058	8380		NHGRI	Michigan		YES	YES	21.81	Male	TRUE	TRUE
AESK000002	American Eskimo Dog	Breed_Dogs	SAMN15625695	SRR12330084	FAM007068	10805		NHGRI	Michigan		YES	YES	17.62	Female	TRUE	TRUE
AESK000003	American Eskimo Dog	Breed_Dogs	SAMN15625696	SRR12330073	FAM007069	10809		NHGRI	Michigan		YES	YES	18.11	Female	TRUE	TRUE
AESK000004	American Eskimo Dog	Breed_Dogs	SAMN15625697	SRR12330062	FAM007301	15300		NHGRI	Uppsala		YES	YES	18.78	Male	TRUE	TRUE
AESK000005	American Eskimo Dog	Breed_Dogs	SAMN15625698	SRR12330051	FAM007302	15301		NHGRI	Uppsala		YES	YES	17.45	Male	TRUE	TRUE
AESK000006	American Eskimo Dog	Breed_Dogs	SAMN15625699	SRR12330040	FAM007303	15304		NHGRI	Uppsala		YES	YES	17.61	Male	TRUE	TRUE
AFFN000001	Affenpinscher	Breed_Dogs	SAMN15625700	SRR12330029	FAM007292	33500		NHGRI	Michigan		YES	YES	14.36	Female	TRUE	TRUE
AFFN000002	Affenpinscher	Breed_Dogs	SAMN15625701	SRR12330402	FAM007298	34310		NHGRI	Uppsala		NO	NO	10.1	Male	TRUE	FALSE
AFFN000003	Affenpinscher	Breed_Dogs	SAMN15625702	SRR12330391	FAM007299	34314		NHGRI	Uppsala		YES	YES	18.1	Female	TRUE	TRUE
AFFN000004	Affenpinscher	Breed_Dogs			AFP021	FAM005191		Helsinki	Helsinki		YES	YES	21.23	Female	TRUE	TRUE
AFFN000005	Affenpinscher	Breed_Dogs			AFP023	FAM005192		Helsinki	Helsinki		YES	YES	18.43	Male	TRUE	TRUE
AFFN000006	Affenpinscher	Breed_Dogs			AFP025	FAM005193		Helsinki	Helsinki		YES	YES	20.09	Male	TRUE	TRUE
AFGH000001	Afghan Hound	Breed_Dogs		CRR032998	FAM004108	YP170308-001		RIT	Michigan		YES	YES	19.65	Female	TRUE	TRUE
AFOX000001	American Foxhound	Breed_Dogs	SAMN15625703	SRR12330380	FAM007304	34454		NHGRI	Uppsala		YES	YES	17.77	Male	TRUE	TRUE
AFOX000002	American Foxhound	Breed_Dogs			AMK001A1	FAM006662		Helsinki	Helsinki		YES	YES	19.18	Male	TRUE	TRUE
AFOX000003	American Foxhound	Breed_Dogs			AMK002A1	FAM006663		Helsinki	Helsinki		YES	YES	16.67	Female	TRUE	TRUE
AFOX000004	American Foxhound	Breed_Dogs			AMK003A1	FAM006664		Helsinki	Helsinki		YES	YES	19.21	Male	TRUE	TRUE
AFOX000005	American Foxhound	Breed_Dogs			AMK004A1	FAM006665		Helsinki	Helsinki		YES	YES	19.41	Female	TRUE	TRUE
AFOX000006	American Foxhound	Breed_Dogs			AMK005A1	FAM006666		Helsinki	Helsinki		YES	YES	19.23	Male	TRUE	TRUE
AFOX000007	American Foxhound	Breed_Dogs			AMK006A1	FAM006667		Helsinki	Helsinki		YES	YES	22.12	Male	TRUE	TRUE
AHRT000001	American Hairless Terrier	Breed_Dogs	SAMN15625704	SRR12330369	FAM007305	1118		NHGRI	Uppsala		YES	YES	19.36	Male	TRUE	TRUE
AHRT000002	American Hairless Terrier	Breed_Dogs	SAMN15625705	SRR12330358	FAM007306	1121		NHGRI	Uppsala		YES	YES	15.93	Female	TRUE	TRUE
AHRT000003	American Hairless Terrier	Breed_Dogs	SAMN15625706	SRR12330347	FAM007307	1124		NHGRI	Uppsala		YES	YES	16.1	Female	TRUE	TRUE
AHRT000004	American Hairless Terrier	Breed_Dogs			AKT061	FAM005196		Helsinki	Helsinki		YES	YES	19.75	Female	TRUE	TRUE
AHRT000005	American Hairless Terrier	Breed_Dogs			AKT062	FAM005197		Helsinki	Helsinki		YES	YES	18	Male	TRUE	TRUE
