sampleName	Breed/Type	Category	BIOSAMID	runID	sampleName2	sampleName3	sampleName4	Source	AlignmentCenter	Note	inVCF	inAnalyzedSNV	inAnalyzedCNV	effectiveAutosomalMeanCoverage	Sex
ACKR000001	Cocker Spaniel	Breed_Dogs	SAMN15625691	SRR12330404	FAM007075	12451		NHGRI	Michigan		YES	TRUE	TRUE	18.91	Female
ACKR000002	Cocker Spaniel	Breed_Dogs	SAMN15625692	SRR12330403	FAM007076	12452		NHGRI	Michigan		YES	TRUE	TRUE	18.4	Male
ACKR000003	Cocker Spaniel	Breed_Dogs	SAMN15625693	SRR12330292	FAM007077	12453		NHGRI	Michigan		YES	TRUE	TRUE	26.3	Female
AESK000001	American Eskimo Dog	Breed_Dogs	SAMN15625694	SRR12330181	FAM007058	8380		NHGRI	Michigan		YES	TRUE	TRUE	21.81	Male
AESK000002	American Eskimo Dog	Breed_Dogs	SAMN15625695	SRR12330084	FAM007068	10805		NHGRI	Michigan		YES	TRUE	TRUE	17.62	Female
AESK000003	American Eskimo Dog	Breed_Dogs	SAMN15625696	SRR12330073	FAM007069	10809		NHGRI	Michigan		YES	TRUE	TRUE	18.11	Female
AESK000004	American Eskimo Dog	Breed_Dogs	SAMN15625697	SRR12330062	FAM007301	15300		NHGRI	Uppsala		YES	TRUE	TRUE	18.78	Male
AESK000005	American Eskimo Dog	Breed_Dogs	SAMN15625698	SRR12330051	FAM007302	15301		NHGRI	Uppsala		YES	TRUE	TRUE	17.45	Male
AESK000006	American Eskimo Dog	Breed_Dogs	SAMN15625699	SRR12330040	FAM007303	15304		NHGRI	Uppsala		YES	TRUE	TRUE	17.61	Male
AFFN000001	Affenpinscher	Breed_Dogs	SAMN15625700	SRR12330029	FAM007292	33500		NHGRI	Michigan		YES	TRUE	TRUE	14.36	Female
AFFN000002	Affenpinscher	Breed_Dogs	SAMN15625701	SRR12330402	FAM007298	34310		NHGRI	Uppsala		NO	FALSE	FALSE	10.1	Male
AFFN000003	Affenpinscher	Breed_Dogs	SAMN15625702	SRR12330391	FAM007299	34314		NHGRI	Uppsala		YES	TRUE	TRUE	18.1	Female
AFFN000004	Affenpinscher	Breed_Dogs	SAMN20151343	SRR15100282	AFP021	FAM005191		Helsinki	Helsinki		YES	TRUE	TRUE	21.23	Female
AFFN000005	Affenpinscher	Breed_Dogs	SAMN20151344	SRR15100281	AFP023	FAM005192		Helsinki	Helsinki		YES	TRUE	TRUE	18.43	Male
AFFN000006	Affenpinscher	Breed_Dogs	SAMN20151345	SRR15100220	AFP025	FAM005193		Helsinki	Helsinki		YES	TRUE	TRUE	20.09	Male
AFGH000001	Afghan Hound	Breed_Dogs	SAMN29845568	SRR20326624	FAM004108	YP170308-001		RIT	Michigan		YES	TRUE	TRUE	19.65	Female
AFOX000001	American Foxhound	Breed_Dogs	SAMN15625703	SRR12330380	FAM007304	34454		NHGRI	Uppsala		YES	TRUE	TRUE	17.77	Male
