target	kind	mask	nuclei	unique_fragment_records_starting_in_window	nuclei_with_fragment_start	unique_fragment_records_overlapping_fetched_window	read_support_sum_starting_in_window	fraction_nuclei_with_start	ATAC_matrix_peak_count_sum
ANO2/NTF3	candidate	all_QC	5849	25	25	31	31	0.004274234911950761	51667787
ANO2/NTF3	candidate	T_marker_2plus	93	0	0	0	0	0.0	708620
ANO2/NTF3	candidate	T_marker_strict	58	0	0	0	0	0.0	497498
ANO2/NTF3	candidate	T_marker_broad	133	1	1	1	1	0.007518796992481203	1200843
LOC119876429/LOC119872513	candidate	all_QC	5849	43	41	48	64	0.007009745255599248	51667787
LOC119876429/LOC119872513	candidate	T_marker_2plus	93	2	2	2	2	0.021505376344086023	708620
LOC119876429/LOC119872513	candidate	T_marker_strict	58	1	1	1	1	0.017241379310344827	497498
LOC119876429/LOC119872513	candidate	T_marker_broad	133	1	1	1	1	0.007518796992481203	1200843
NPNT/TBCK	candidate	all_QC	5849	44	43	49	69	0.007351684048555309	51667787
NPNT/TBCK	candidate	T_marker_2plus	93	0	0	0	0	0.0	708620
NPNT/TBCK	candidate	T_marker_strict	58	0	0	0	0	0.0	497498
NPNT/TBCK	candidate	T_marker_broad	133	1	1	1	1	0.007518796992481203	1200843
CD3D_feature_control	gene_feature_control_not_verified_TSS	all_QC	5849	23	21	26	36	0.003590357326038639	51667787
CD3D_feature_control	gene_feature_control_not_verified_TSS	T_marker_2plus	93	2	2	2	3	0.021505376344086023	708620
CD3D_feature_control	gene_feature_control_not_verified_TSS	T_marker_strict	58	2	2	2	3	0.034482758620689655	497498
CD3D_feature_control	gene_feature_control_not_verified_TSS	T_marker_broad	133	2	2	2	3	0.015037593984962405	1200843
CD3E_feature_control	gene_feature_control_not_verified_TSS	all_QC	5849	20	18	22	28	0.003077449136604548	51667787
CD3E_feature_control	gene_feature_control_not_verified_TSS	T_marker_2plus	93	3	3	3	5	0.03225806451612903	708620
CD3E_feature_control	gene_feature_control_not_verified_TSS	T_marker_strict	58	2	2	2	2	0.034482758620689655	497498
CD3E_feature_control	gene_feature_control_not_verified_TSS	T_marker_broad	133	3	3	3	3	0.022556390977443608	1200843
CD247_feature_control	gene_feature_control_not_verified_TSS	all_QC	5849	24	24	26	36	0.0041032655154727305	51667787
CD247_feature_control	gene_feature_control_not_verified_TSS	T_marker_2plus	93	1	1	2	1	0.010752688172043012	708620
CD247_feature_control	gene_feature_control_not_verified_TSS	T_marker_strict	58	0	0	0	0	0.0	497498
CD247_feature_control	gene_feature_control_not_verified_TSS	T_marker_broad	133	5	5	5	8	0.03759398496240601	1200843
LYZ_feature_control	gene_feature_control_not_verified_TSS	all_QC	5849	40	37	42	55	0.006325867669687126	51667787
LYZ_feature_control	gene_feature_control_not_verified_TSS	T_marker_2plus	93	0	0	0	0	0.0	708620
LYZ_feature_control	gene_feature_control_not_verified_TSS	T_marker_strict	58	0	0	0	0	0.0	497498
LYZ_feature_control	gene_feature_control_not_verified_TSS	T_marker_broad	133	1	1	1	1	0.007518796992481203	1200843
