mask	nuclei	target	unique_fragment_starts	nuclei_with_fragment_start
T_enriched_all_four_runs	155	ANO2/NTF3	0	0
T_enriched_all_four_runs	155	LOC119876429/LOC119872513	0	0
T_enriched_all_four_runs	155	NPNT/TBCK	0	0
T_enriched_all_four_runs	155	CD3D_feature_control	4	4
T_enriched_all_four_runs	155	CD3E_feature_control	4	4
T_enriched_all_four_runs	155	CD247_feature_control	7	7
T_enriched_all_four_runs	155	LYZ_feature_control	0	0
T_enriched_any_run	157	ANO2/NTF3	0	0
T_enriched_any_run	157	LOC119876429/LOC119872513	0	0
T_enriched_any_run	157	NPNT/TBCK	0	0
T_enriched_any_run	157	CD3D_feature_control	4	4
T_enriched_any_run	157	CD3E_feature_control	4	4
T_enriched_any_run	157	CD247_feature_control	7	7
T_enriched_any_run	157	LYZ_feature_control	0	0
res0.5_seed0	155	ANO2/NTF3	0	0
res0.5_seed0	155	LOC119876429/LOC119872513	0	0
res0.5_seed0	155	NPNT/TBCK	0	0
res0.5_seed0	155	CD3D_feature_control	4	4
res0.5_seed0	155	CD3E_feature_control	4	4
res0.5_seed0	155	CD247_feature_control	7	7
res0.5_seed0	155	LYZ_feature_control	0	0
res0.5_seed42	155	ANO2/NTF3	0	0
res0.5_seed42	155	LOC119876429/LOC119872513	0	0
res0.5_seed42	155	NPNT/TBCK	0	0
res0.5_seed42	155	CD3D_feature_control	4	4
res0.5_seed42	155	CD3E_feature_control	4	4
res0.5_seed42	155	CD247_feature_control	7	7
res0.5_seed42	155	LYZ_feature_control	0	0
res1.0_seed0	157	ANO2/NTF3	0	0
res1.0_seed0	157	LOC119876429/LOC119872513	0	0
res1.0_seed0	157	NPNT/TBCK	0	0
res1.0_seed0	157	CD3D_feature_control	4	4
res1.0_seed0	157	CD3E_feature_control	4	4
res1.0_seed0	157	CD247_feature_control	7	7
res1.0_seed0	157	LYZ_feature_control	0	0
res1.0_seed42	157	ANO2/NTF3	0	0
res1.0_seed42	157	LOC119876429/LOC119872513	0	0
res1.0_seed42	157	NPNT/TBCK	0	0
res1.0_seed42	157	CD3D_feature_control	4	4
res1.0_seed42	157	CD3E_feature_control	4	4
res1.0_seed42	157	CD247_feature_control	7	7
res1.0_seed42	157	LYZ_feature_control	0	0
