run	cluster	gene	detected_fraction	mean_UMI
res0.5_seed0	0	CD3D	0.02070750647109577	0.025021570319240724
res0.5_seed0	0	CD3E	0.0362381363244176	0.054357204486626405
res0.5_seed0	0	CD3G	0.021570319240724764	0.025884383088869714
res0.5_seed0	0	CD247	0.03796376186367558	0.056945642795513375
res0.5_seed0	0	LCK	0.013805004314063849	0.015530629853321829
res0.5_seed0	0	CD2	0.03710094909404659	0.04141501294219154
res0.5_seed0	0	CD4	0.008628127696289905	0.008628127696289905
res0.5_seed0	0	CD8A	0.0	0.0
res0.5_seed0	0	CD8B	0.022433132010353754	0.023295944779982744
res0.5_seed0	0	LYZ	0.010353753235547885	0.011216566005176877
res0.5_seed0	0	LST1	0.12510785159620363	0.1449525452976704
res0.5_seed0	0	CSF1R	0.21052631578947367	0.3244176013805004
res0.5_seed0	0	MS4A1	0.0008628127696289905	0.0008628127696289905
res0.5_seed0	0	CD79A	0.005176876617773943	0.005176876617773943
res0.5_seed0	0	NKG7	0.005176876617773943	0.005176876617773943
res0.5_seed0	0	MKI67	0.08973252804141502	0.13546160483175151
res0.5_seed0	1	CD3D	0.005050505050505051	0.005050505050505051
res0.5_seed0	1	CD3E	0.015151515151515152	0.015151515151515152
res0.5_seed0	1	CD3G	0.005050505050505051	0.005050505050505051
res0.5_seed0	1	CD247	0.0	0.0
res0.5_seed0	1	LCK	0.015151515151515152	0.015151515151515152
res0.5_seed0	1	CD2	0.020202020202020204	0.020202020202020204
res0.5_seed0	1	CD4	0.0	0.0
res0.5_seed0	1	CD8A	0.0	0.0
res0.5_seed0	1	CD8B	0.010101010101010102	0.010101010101010102
res0.5_seed0	1	LYZ	0.005050505050505051	0.005050505050505051
res0.5_seed0	1	LST1	0.050505050505050504	0.06060606060606061
res0.5_seed0	1	CSF1R	0.10606060606060606	0.15151515151515152
res0.5_seed0	1	MS4A1	0.0	0.0
res0.5_seed0	1	CD79A	0.0	0.0
res0.5_seed0	1	NKG7	0.005050505050505051	0.005050505050505051
res0.5_seed0	1	MKI67	0.015151515151515152	0.015151515151515152
res0.5_seed0	2	CD3D	0.010091743119266056	0.011009174311926606
res0.5_seed0	2	CD3E	0.01743119266055046	0.01834862385321101
res0.5_seed0	2	CD3G	0.008256880733944955	0.009174311926605505
res0.5_seed0	2	CD247	0.011009174311926606	0.011009174311926606
res0.5_seed0	2	LCK	0.001834862385321101	0.001834862385321101
