window_id	tile_bp	tested	passed	min_mapq
w00	100	37	37	60
w00	150	35	35	60
w00	250	31	31	60
w01	100	37	37	60
w01	150	35	35	60
w01	250	31	31	60
w02	100	37	37	60
w02	150	35	35	60
w02	250	31	31	60
w03	100	37	37	60
w03	150	35	35	60
w03	250	31	31	60
w04	100	37	37	60
w04	150	35	35	60
w04	250	31	31	60
w05	100	37	37	60
w05	150	35	35	60
w05	250	31	31	60
w06	100	37	37	60
w06	150	35	35	60
w06	250	31	31	60
w07	100	37	37	60
w07	150	35	35	60
w07	250	31	31	60
w08	100	37	37	60
w08	150	35	35	60
w08	250	31	31	60
w09	100	37	37	60
w09	150	35	35	60
w09	250	31	31	60
w10	100	37	37	60
w10	150	35	35	60
w10	250	31	31	60
w11	100	37	37	60
w11	150	35	35	60
w11	250	31	31	60
w12	100	37	37	60
w12	150	35	35	60
w12	250	31	31	60
w13	100	37	33	43
w13	150	35	31	60
w13	250	31	31	60
w14	100	37	37	60
w14	150	35	35	60
w14	250	31	31	60
w15	100	37	37	60
w15	150	35	35	60
w15	250	31	31	60
