Gene	in_deposited_CPM_table	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
ANO2	False									
NTF3	False									
LOC119876429	False									
LOC119872513	False									
NPNT	True	0.0862391	0.152357	0.0731203	0	0	0.047299	0.0357019	0.149866	0.232385
TBCK	True	16.8166	17.7343	17.6951	14.6561	16.2127	17.0276	15.2804	17.3845	16.0733
TSEN15	True	9.08387	8.04444	5.55715	8.99193	7.31078	8.08813	8.46138	8.3925	10.6897
C7H1orf21	True	6.81289	8.10537	6.69051	7.89448	7.99885	9.649	5.46239	5.09543	6.08075
ARPC5	True	135.079	138.705	148.946	134.206	123.122	134.944	130.669	114.235	160.888
TET2	True	87.5626	87.392	86.9764	94.4514	90.5239	93.2744	92.5399	78.2295	94.7749
CD3D	True	176.072	216.528	263.008	226.569	151.505	283.228	168.549	118.955	284.712
CD3E	True	829.222	914.246	1162.52	957.557	770.629	1131.29	633.693	540.029	1203.16
CD3G	True	63.8744	96.2284	104.818	96.079	53.4977	111.389	59.8721	36.7546	93.9999
CD247	False									
LCK	True	431.971	485.987	509.356	416.425	345.585	466.605	170.548	114.797	336.029
CD4	True	49.4437	102.384	150.555	143.021	87.9013	188.534	159.73	97.4502	269.954
CD8A	True	572.171	685.579	373.245	421.719	406.437	285.31	96.1099	89.5819	170.492
CD8B	False									
