group	nuclei	metric	total	minimum	p10	q25	median	q75	p90	maximum
T_consensus	155	RNA_features	202347	564	762.8	891.0	1074.0	1537.0	2078.2	5002
T_consensus	155	RNA_UMI	350879	695	1066.8	1222.5	1577.0	2566.5	4181.6	14764
T_consensus	155	ATAC_peak_features	268818	485	890.2	1111.5	1418.0	1854.0	2928.2	11278
T_consensus	155	ATAC_peak_counts	550644	929	1754.8	2199.0	2787.0	3741.0	6106.599999999999	25802
T_union	157	RNA_features	208562	564	760.8	890.0	1074.0	1546.0	2085.0	5521
T_union	157	RNA_UMI	373927	695	1070.2	1229.0	1577.0	2577.0	4228.000000000001	21660
T_union	157	ATAC_peak_features	281167	485	894.8000000000001	1113.0	1425.0	1859.0	2946.6000000000004	11278
T_union	157	ATAC_peak_counts	579397	929	1761.2	2207.0	2817.0	3896.0	6166.6	25802
other_QC_excluding_T_union	5692	RNA_features	16404634	229	891.0	1546.75	2613.5	3822.25	5322.700000000002	9185
other_QC_excluding_T_union	5692	RNA_UMI	42238295	289	1432.2	2583.75	5284.5	9342.25	16271.500000000047	49544
other_QC_excluding_T_union	5692	ATAC_peak_features	23482857	104	717.0	1322.0	2984.0	5881.25	9399.800000000001	19674
other_QC_excluding_T_union	5692	ATAC_peak_counts	51088390	197	1370.2	2598.75	6064.0	12482.5	21019.900000000012	49726
all_QC	5849	RNA_features	16613196	229	865.8000000000001	1492.0	2567.0	3775.0	5293.199999999999	9185
all_QC	5849	RNA_UMI	42612222	289	1383.8000000000002	2469.0	5105.0	9219.0	16065.399999999994	49544
all_QC	5849	ATAC_peak_features	23764024	104	719.8000000000001	1299.0	2889.0	5769.0	9299.399999999998	19674
all_QC	5849	ATAC_peak_counts	51667787	197	1381.8000000000002	2557.0	5848.0	12235.0	20866.999999999996	49726
