target	kind	T_nuclei	T_fragment_starts	T_nuclei_with_start	other_QC_fragment_starts	matched_other_sample_median	matched_other_sample_p025	matched_other_sample_p975	fraction_matched_samples_with_zero
LOC119876429/LOC119872513:17235706-17236706	frontier_full_1kb	155	0	0	43	1.0	0.0	3.0	0.444
LOC119876429/LOC119872513:17240706-17241706	frontier_full_1kb	155	0	0	15	0.0	0.0	2.0	0.5525
LOC119876429/LOC119872513:17245456-17246456	frontier_full_1kb	155	0	0	13	0.0	0.0	1.0	0.8905
LOC119876429/LOC119872513:17255706-17256706	frontier_full_1kb	155	2	2	16	0.0	0.0	2.0	0.789
LOC119876429/LOC119872513:17256206-17257206	frontier_full_1kb	155	1	1	20	0.0	0.0	2.0	0.8875
ANO2/NTF3:39682574-39683574	frontier_full_1kb	155	0	0	37	0.0	0.0	1.0	0.856
ANO2/NTF3:39685324-39686324	frontier_full_1kb	155	0	0	17	0.0	0.0	1.0	0.9005
ANO2/NTF3:39686574-39687574	frontier_full_1kb	155	0	0	62	0.0	0.0	3.0	0.5045
ANO2/NTF3:39707824-39708824	frontier_full_1kb	155	0	0	19	0.0	0.0	2.0	0.6585
ANO2/NTF3:39708074-39709074	frontier_full_1kb	155	0	0	19	0.0	0.0	2.0	0.6575
ANO2/NTF3:39708324-39709324	frontier_full_1kb	155	0	0	18	0.0	0.0	2.0	0.7165
ANO2/NTF3:39714074-39715074	frontier_full_1kb	155	0	0	12	0.0	0.0	2.0	0.738
ANO2/NTF3:39714824-39715824	frontier_full_1kb	155	0	0	14	0.0	0.0	2.0	0.7455
ANO2/NTF3:39715074-39716074	frontier_full_1kb	155	0	0	12	0.0	0.0	2.0	0.717
ANO2/NTF3:39729824-39730824	frontier_full_1kb	155	0	0	20	0.0	0.0	1.0	0.867
ANO2/NTF3:39730074-39731074	frontier_full_1kb	155	0	0	19	0.0	0.0	1.0	0.861
ANO2/NTF3:39730324-39731324	frontier_full_1kb	155	0	0	15	0.0	0.0	1.0	0.9095
ANO2/NTF3:39735074-39736074	frontier_full_1kb	155	0	0	9	0.0	0.0	2.0	0.795
NPNT/TBCK:27027411-27028411	frontier_full_1kb	155	0	0	42	1.0	0.0	3.0	0.4155
NPNT/TBCK:27027661-27028661	frontier_full_1kb	155	0	0	52	1.0	0.0	3.0249999999998636	0.3955
NPNT/TBCK:27033411-27034411	frontier_full_1kb	155	0	0	12	0.0	0.0	2.0	0.6775
NPNT/TBCK:27039411-27040411	frontier_full_1kb	155	1	1	13	0.0	0.0	1.0	0.85
NPNT/TBCK:27040661-27041661	frontier_full_1kb	155	1	1	16	0.0	0.0	2.0	0.6745
NPNT/TBCK:27040911-27041911	frontier_full_1kb	155	1	1	23	0.0	0.0	2.0	0.5515
NPNT/TBCK:27041161-27042161	frontier_full_1kb	155	2	2	22	0.0	0.0	2.0	0.588
NPNT/TBCK:27041411-27042411	frontier_full_1kb	155	1	1	21	0.0	0.0	2.0	0.5925
NPNT/TBCK:27041661-27042661	frontier_full_1kb	155	1	1	16	0.0	0.0	2.0	0.671
NPNT/TBCK:27047661-27048661	frontier_full_1kb	155	0	0	19	0.0	0.0	2.0	0.8345
NPNT/TBCK:27048161-27049161	frontier_full_1kb	155	0	0	24	0.0	0.0	2.0	0.847
NPNT/TBCK:27048411-27049411	frontier_full_1kb	155	0	0	25	0.0	0.0	1.0	0.8385
NPNT/TBCK:27050411-27051411	frontier_full_1kb	155	4	4	486	4.0	0.0	9.0	0.0335
NPNT/TBCK:27050661-27051661	frontier_full_1kb	155	3	3	339	3.0	0.0	6.0	0.0715
NPNT/TBCK:27062161-27063161	frontier_full_1kb	155	0	0	7	0.0	0.0	1.0	0.884
NPNT/TBCK:27062661-27063661	frontier_full_1kb	155	0	0	10	0.0	0.0	1.0	0.8085
NPNT/TBCK:27069911-27070911	frontier_full_1kb	155	0	0	20	0.0	0.0	2.0	0.6445
NPNT/TBCK:27070161-27071161	frontier_full_1kb	155	0	0	26	0.0	0.0	2.0	0.628
NPNT/TBCK:27070204-27071204	frontier_full_1kb	155	0	0	28	0.0	0.0	2.0	0.59
ANO2/NTF3	candidate	155	0	0	25	0.0	0.0	2.0	0.6345
LOC119876429/LOC119872513	candidate	155	0	0	43	1.0	0.0	3.0	0.444
NPNT/TBCK	candidate	155	0	0	44	1.0	0.0	3.0	0.4145
CD3D_feature_control	gene_feature_control_not_verified_TSS	155	4	4	19	0.0	0.0	2.0	0.623
CD3E_feature_control	gene_feature_control_not_verified_TSS	155	4	4	16	0.0	0.0	2.0	0.8295
CD247_feature_control	gene_feature_control_not_verified_TSS	155	7	7	17	0.0	0.0	2.0	0.73
LYZ_feature_control	gene_feature_control_not_verified_TSS	155	0	0	40	1.0	0.0	3.0	0.3875
