gene	condition	in_CPM_table	n_values	min_CPM	median_CPM	max_CPM	nonzero_values	B_CPM	E_CPM	M_CPM
AIMP1	T_control	True	3	38.576	40.6549	40.7245	3	40.6549	40.7245	38.576
AIMP1	B7H3_CAR	True	3	44.1633	45.6322	59.6487	3	59.6487	45.6322	44.1633
AIMP1	B7H3_CXCR2_CAR	True	3	44.092	53.0246	59.9463	3	44.092	53.0246	59.9463
ANO2	T_control	False	0							
ANO2	B7H3_CAR	False	0							
ANO2	B7H3_CXCR2_CAR	False	0							
APOBEC4	T_control	False	0							
APOBEC4	B7H3_CAR	False	0							
APOBEC4	B7H3_CXCR2_CAR	False	0							
ARHGEF38	T_control	False	0							
ARHGEF38	B7H3_CAR	False	0							
ARHGEF38	B7H3_CXCR2_CAR	False	0							
ARPC5	T_control	True	3	134.944	148.946	160.888	3	148.946	134.944	160.888
ARPC5	B7H3_CAR	True	3	130.669	134.206	135.079	3	135.079	134.206	130.669
ARPC5	B7H3_CXCR2_CAR	True	3	114.235	123.122	138.705	3	138.705	123.122	114.235
C7H1orf21	T_control	True	3	6.08075	6.69051	9.649	3	6.69051	9.649	6.08075
C7H1orf21	B7H3_CAR	True	3	5.46239	6.81289	7.89448	3	6.81289	7.89448	5.46239
C7H1orf21	B7H3_CXCR2_CAR	True	3	5.09543	7.99885	8.10537	3	8.10537	7.99885	5.09543
CD247	T_control	False	0							
CD247	B7H3_CAR	False	0							
CD247	B7H3_CXCR2_CAR	False	0							
CD3D	T_control	True	3	263.008	283.228	284.712	3	263.008	283.228	284.712
CD3D	B7H3_CAR	True	3	168.549	176.072	226.569	3	176.072	226.569	168.549
CD3D	B7H3_CXCR2_CAR	True	3	118.955	151.505	216.528	3	216.528	151.505	118.955
CD3E	T_control	True	3	1131.29	1162.52	1203.16	3	1162.52	1131.29	1203.16
CD3E	B7H3_CAR	True	3	633.693	829.222	957.557	3	829.222	957.557	633.693
CD3E	B7H3_CXCR2_CAR	True	3	540.029	770.629	914.246	3	914.246	770.629	540.029
