gene	comparison	biological_replicate	numerator_CPM	denominator_CPM	log2_ratio	ratio_status
AIMP1	single_vs_control	B	59.6487	40.6549	0.5530614497557046	both_positive_descriptive_only
AIMP1	single_vs_control	E	45.6322	40.7245	0.16415522405733435	both_positive_descriptive_only
AIMP1	single_vs_control	M	44.1633	38.576	0.19514442212634642	both_positive_descriptive_only
AIMP1	dual_vs_control	B	44.092	40.6549	0.11708767263654155	both_positive_descriptive_only
AIMP1	dual_vs_control	E	53.0246	40.7245	0.380764846588112	both_positive_descriptive_only
AIMP1	dual_vs_control	M	59.9463	38.576	0.6359671544440902	both_positive_descriptive_only
AIMP1	dual_vs_single	B	44.092	59.6487	-0.43597377711916296	both_positive_descriptive_only
AIMP1	dual_vs_single	E	53.0246	45.6322	0.21660962253077776	both_positive_descriptive_only
AIMP1	dual_vs_single	M	59.9463	44.1633	0.4408227323177439	both_positive_descriptive_only
ANO2	single_vs_control	B				gene_absent_from_processed_table
ANO2	single_vs_control	E				gene_absent_from_processed_table
ANO2	single_vs_control	M				gene_absent_from_processed_table
ANO2	dual_vs_control	B				gene_absent_from_processed_table
ANO2	dual_vs_control	E				gene_absent_from_processed_table
ANO2	dual_vs_control	M				gene_absent_from_processed_table
ANO2	dual_vs_single	B				gene_absent_from_processed_table
ANO2	dual_vs_single	E				gene_absent_from_processed_table
ANO2	dual_vs_single	M				gene_absent_from_processed_table
APOBEC4	single_vs_control	B				gene_absent_from_processed_table
APOBEC4	single_vs_control	E				gene_absent_from_processed_table
APOBEC4	single_vs_control	M				gene_absent_from_processed_table
APOBEC4	dual_vs_control	B				gene_absent_from_processed_table
APOBEC4	dual_vs_control	E				gene_absent_from_processed_table
APOBEC4	dual_vs_control	M				gene_absent_from_processed_table
APOBEC4	dual_vs_single	B				gene_absent_from_processed_table
APOBEC4	dual_vs_single	E				gene_absent_from_processed_table
APOBEC4	dual_vs_single	M				gene_absent_from_processed_table
ARHGEF38	single_vs_control	B				gene_absent_from_processed_table
ARHGEF38	single_vs_control	E				gene_absent_from_processed_table
ARHGEF38	single_vs_control	M				gene_absent_from_processed_table
ARHGEF38	dual_vs_control	B				gene_absent_from_processed_table
ARHGEF38	dual_vs_control	E				gene_absent_from_processed_table
ARHGEF38	dual_vs_control	M				gene_absent_from_processed_table
ARHGEF38	dual_vs_single	B				gene_absent_from_processed_table
ARHGEF38	dual_vs_single	E				gene_absent_from_processed_table
ARHGEF38	dual_vs_single	M				gene_absent_from_processed_table
ARPC5	single_vs_control	B	135.079	148.946	-0.14098597588034764	both_positive_descriptive_only
ARPC5	single_vs_control	E	134.206	134.944	-0.007911659732354534	both_positive_descriptive_only
ARPC5	single_vs_control	M	130.669	160.888	-0.3001398093525631	both_positive_descriptive_only
ARPC5	dual_vs_control	B	138.705	148.946	-0.10276958552183753	both_positive_descriptive_only
ARPC5	dual_vs_control	E	123.122	134.944	-0.13227225966194908	both_positive_descriptive_only
ARPC5	dual_vs_control	M	114.235	160.888	-0.4940519852208206	both_positive_descriptive_only
ARPC5	dual_vs_single	B	138.705	135.079	0.03821639035851017	both_positive_descriptive_only
ARPC5	dual_vs_single	E	123.122	134.206	-0.12436059992959457	both_positive_descriptive_only
ARPC5	dual_vs_single	M	114.235	130.669	-0.19391217586825768	both_positive_descriptive_only
C7H1orf21	single_vs_control	B	6.81289	6.69051	0.026150725483961693	both_positive_descriptive_only
C7H1orf21	single_vs_control	E	7.89448	9.649	-0.289535191947057	both_positive_descriptive_only
C7H1orf21	single_vs_control	M	5.46239	6.08075	-0.15471695438158806	both_positive_descriptive_only
C7H1orf21	dual_vs_control	B	8.10537	6.69051	0.276761856558556	both_positive_descriptive_only
C7H1orf21	dual_vs_control	E	7.99885	9.649	-0.27058683487671176	both_positive_descriptive_only
C7H1orf21	dual_vs_control	M	5.09543	6.08075	-0.2550453771018095	both_positive_descriptive_only
C7H1orf21	dual_vs_single	B	8.10537	6.81289	0.2506111310745946	both_positive_descriptive_only
C7H1orf21	dual_vs_single	E	7.99885	7.89448	0.018948357070345243	both_positive_descriptive_only
C7H1orf21	dual_vs_single	M	5.09543	5.46239	-0.10032842272022144	both_positive_descriptive_only
CD247	single_vs_control	B				gene_absent_from_processed_table
CD247	single_vs_control	E				gene_absent_from_processed_table
CD247	single_vs_control	M				gene_absent_from_processed_table
CD247	dual_vs_control	B				gene_absent_from_processed_table
CD247	dual_vs_control	E				gene_absent_from_processed_table
CD247	dual_vs_control	M				gene_absent_from_processed_table
CD247	dual_vs_single	B				gene_absent_from_processed_table
CD247	dual_vs_single	E				gene_absent_from_processed_table
CD247	dual_vs_single	M				gene_absent_from_processed_table
CD3D	single_vs_control	B	176.072	263.008	-0.5789411815100265	both_positive_descriptive_only
CD3D	single_vs_control	E	226.569	283.228	-0.3220134178657469	both_positive_descriptive_only
