gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-ENPP1	4	8	0	1	11	0	0	1	3
gene-LOC102151484	0	0	0	0	0	0	0	0	0
gene-LOC100685702	0	0	0	2	1	0	0	0	0
gene-LOC100685782	0	0	0	0	0	0	0	0	0
gene-LOC119870691	9	2	0	5	6	8	0	14	0
gene-PARD6G	58	41	45	63	38	42	43	57	36
gene-ADNP2	1677	1929	1560	1718	1109	1236	1360	1298	1292
gene-LOC100685536	0	0	0	1	0	0	0	0	0
gene-LOC119870385	0	0	0	0	0	0	0	0	0
gene-RBFA	2052	2395	1855	2014	1509	1495	1356	1477	1223
gene-LOC102154355	77	191	141	153	61	107	78	46	63
gene-TXNL4A	1661	893	773	706	1054	577	1023	1483	715
gene-TRNAQ-UUG	0	0	0	0	0	0	0	0	0
gene-HSBP1L1	0	0	0	0	1	0	0	0	0
gene-LOC111091658	9	30	16	14	4	8	1	2	5
gene-LOC111091673	0	0	12	4	0	0	0	4	0
gene-SLC66A2	1598	2329	2137	2193	1153	1811	1279	1005	1639
gene-LOC106559849	32	37	45	22	18	19	25	13	14
gene-KCNG2	201	290	229	322	159	296	127	109	136
gene-CTDP1	2440	2496	1949	2231	1900	1635	1546	1551	1439
gene-LOC119870433	0	13	7	14	2	0	0	8	6
gene-LOC111091841	0	3	0	0	2	0	0	0	0
gene-LOC119870619	383	444	479	264	221	190	18	18	124
gene-LOC111090558	20	36	24	42	26	30	7	0	7
gene-NFATC1	5270	5882	5694	5735	3586	5121	4128	2833	6078
gene-LOC111091898	19	38	1	19	5	25	1	5	1
gene-ATP9B	1668	1871	1559	1404	975	1025	1459	1200	1445
gene-LOC119870460	9	2	0	22	8	0	23	21	0
gene-SALL3	96	19	0	99	119	1	117	305	0
gene-LOC111092007	0	0	0	0	0	0	0	0	0
gene-LOC111092029	0	0	0	0	0	0	0	0	0
gene-LOC119870620	0	0	0	0	0	0	0	0	0
gene-LOC102155992	0	0	0	0	0	0	0	0	0
gene-LOC111090560	0	0	0	0	0	0	0	0	0
gene-LOC119875935	0	0	0	0	0	0	0	0	0
gene-LOC111092037	0	0	0	0	0	0	0	0	0
gene-LOC119870622	0	0	0	0	0	0	0	0	0
gene-LOC119870623	0	0	0	0	0	0	0	0	0
gene-LOC111092046	0	0	0	0	0	0	0	0	0
gene-LOC119870694	0	0	0	0	0	0	1	0	0
gene-LOC111092121	0	0	0	0	0	0	1	0	0
gene-LOC111090561	0	0	0	0	0	0	0	0	0
gene-LOC111090563	0	0	0	0	0	0	0	0	0
gene-LOC119870625	0	0	0	0	0	0	0	0	0
gene-LOC111092137	0	0	0	0	0	0	0	0	0
gene-LOC111099015	0	0	0	0	0	0	0	0	0
gene-LOC119869905	0	0	0	0	0	0	0	0	0
gene-GALR1	49	58	4	33	23	17	44	30	6
gene-MBP	2857	2938	2407	3481	2545	2598	1563	1571	1766
gene-ZNF236	1598	1802	1638	1668	1063	1351	986	803	1199
gene-LOC102156552	23	27	22	29	10	35	13	8	9
gene-LOC119869861	0	8	0	0	0	2	0	0	1
gene-LOC119870510	0	0	0	0	0	0	0	0	0
gene-LOC119870626	0	0	0	0	0	0	0	0	0
gene-LOC111092394	0	0	0	0	0	0	0	0	0
gene-LOC111090565	0	0	0	0	0	0	0	0	0
gene-ZNF516	24	72	59	21	12	18	185	194	223
gene-LOC111092528	0	0	0	0	0	0	0	0	0
gene-LOC102157008	0	0	0	0	0	0	0	0	2
gene-LOC111092546	0	0	0	0	0	0	0	0	0
gene-LOC119870615	0	0	0	0	0	0	0	0	0
gene-LOC119870696	270	286	287	315	149	210	172	71	157
gene-LOC119870695	244	402	339	394	222	295	209	120	228
gene-TSHZ1	1569	1557	1145	1217	928	917	977	837	1192
gene-LOC111092553	48	97	53	60	33	29	43	44	48
gene-ZADH2	896	959	805	731	702	579	618	718	732
gene-ZNF407	1282	1508	1092	1128	800	766	810	786	799
gene-LOC119869871	0	0	0	0	0	0	0	0	0
gene-CNDP1	10	2	0	9	3	10	3	2	8
gene-CNDP2	3306	3193	2588	2271	2070	1486	2729	2788	2868
gene-LOC106560088	0	0	0	0	0	0	0	0	0
gene-LOC111092777	0	0	0	0	0	0	0	0	0
gene-DIPK1C	0	0	0	0	0	0	0	0	0
gene-C1H18orf63	0	0	0	1	1	0	1	1	0
gene-LOC119863882	867	511	430	367	489	241	617	618	557
gene-LOC119870698	0	0	0	1	2	0	2	0	0
gene-TIMM21	1734	1722	1418	1480	1245	1091	1076	1188	1072
gene-FBXO15	17	3	4	9	7	8	13	13	3
gene-LOC111092948	0	0	0	0	0	0	0	0	0
gene-LOC119875952	0	0	0	0	0	0	0	0	0
gene-LOC111092970	0	0	0	0	0	0	0	0	0
gene-LOC111090571	0	0	0	0	0	0	0	0	0
gene-LOC111090572	0	0	0	0	0	0	0	0	0
gene-TRNAA-UGC	0	0	0	0	0	0	0	0	0
gene-LOC100685303	0	0	0	0	0	0	0	0	0
gene-NETO1	39	42	23	10	13	0	12	29	6
gene-LOC111093124	0	0	0	0	0	0	0	0	0
gene-CBLN2	0	0	0	0	0	0	0	0	0
gene-LOC100856140	0	0	0	0	0	0	0	0	0
gene-LOC100685678	0	0	0	4	0	0	0	0	2
gene-LOC100685755	0	0	0	0	0	0	0	0	0
gene-LOC119881353	0	0	0	0	0	0	0	0	0
gene-LOC111090576	0	0	0	0	0	0	0	0	0
gene-LOC111090579	0	0	0	0	0	0	0	0	0
gene-LOC100685067	0	0	0	0	0	0	0	0	0
gene-LOC111090580	0	0	0	0	0	0	0	0	0
gene-LOC102152669	0	0	0	0	0	0	0	0	0
gene-LOC111093237	0	0	0	0	0	0	0	0	0
gene-LOC106559414	0	0	0	0	0	0	0	0	0
gene-LOC102152482	0	0	0	0	0	0	0	0	0
gene-LOC111093261	0	0	0	0	0	0	0	0	0
gene-LOC102152782	0	0	0	0	2	2	0	0	0
gene-LOC119870699	0	2	0	0	0	2	0	0	0
gene-LOC100856283	0	3	0	0	0	0	0	0	0
gene-SOCS6	107	264	217	197	96	179	214	158	149
gene-LOC100683962	0	6	0	0	0	0	0	0	0
gene-RTTN	1156	640	524	637	719	462	589	733	444
gene-CD226	2893	4896	4526	4401	2335	4002	2028	1181	2842
gene-LOC119870700	2	21	6	10	0	4	0	0	1
gene-DOK6	11	23	19	23	7	23	0	1	0
gene-LOC119870703	0	0	0	0	0	0	0	0	0
gene-LOC119870701	0	0	0	0	0	0	0	0	0
gene-LOC119870702	0	0	0	0	0	0	0	0	0
gene-CCDC102B	7	0	0	4	1	0	0	0	0
gene-LOC100686410	0	0	0	0	0	0	0	0	0
gene-TMX3	1462	1874	1592	1541	1051	1156	1172	1052	1171
gene-LOC106557620	202	235	194	193	166	150	119	155	151
gene-LOC111090592	0	0	0	0	4	0	0	0	0
gene-LOC483943	0	0	0	0	0	0	0	0	0
gene-DSEL	4	1	6	0	0	0	0	2	2
gene-LOC100686719	0	0	0	0	0	0	0	0	0
gene-LOC111090594	0	0	0	0	0	0	0	0	0
gene-LOC483946	0	0	0	0	0	0	0	0	0
gene-LOC483947	0	0	0	0	0	0	0	0	0
gene-LOC119870629	0	0	0	0	0	0	0	0	0
gene-LOC119870085	0	0	0	0	0	0	0	0	0
gene-LOC100686966	0	0	0	0	0	0	0	0	0
gene-CDH19	0	0	0	0	0	0	0	0	0
gene-LOC102154255	0	0	0	0	0	0	0	0	0
gene-LOC119869888	0	0	0	0	0	0	0	0	0
gene-LOC111090601	0	0	0	0	0	0	0	0	0
gene-LOC100684751	0	0	0	0	0	0	0	0	0
gene-CDH7	0	0	0	0	0	0	0	0	0
gene-LOC119870704	0	0	0	0	0	0	0	0	0
gene-LOC111093764	0	0	0	0	0	0	0	0	0
gene-LOC119878149	0	0	0	0	0	0	0	0	0
gene-LOC111093811	0	0	0	0	0	0	0	0	0
gene-SERPINB8	51	71	75	1	8	17	66	74	101
gene-SERPINB10	0	0	0	0	0	0	0	0	2
gene-SERPINB2	0	0	0	0	0	0	1	2	2
gene-LOC111093874	0	2	1	0	0	0	0	0	0
gene-SERPINB7	0	0	0	0	0	0	0	0	0
gene-LOC111093968	0	0	0	0	0	0	0	0	0
gene-SERPINB11	0	0	0	0	0	0	0	0	0
gene-LOC483954	0	0	0	0	0	0	0	0	0
gene-SERPINB13	0	0	0	0	0	0	0	0	0
gene-SERPINB12	0	0	0	0	0	0	0	0	3
