gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-ENPP1	3	6	0	0	12	0	0	2	0
gene-LOC102151484	0	0	0	0	0	0	0	0	0
gene-LOC100685702	0	0	0	0	1	0	0	0	0
gene-LOC100685782	0	0	0	0	0	1	0	0	0
gene-LOC119870691	16	2	2	4	7	4	1	13	1
gene-PARD6G	35	26	36	67	35	45	39	68	36
gene-ADNP2	1665	1808	1548	1687	1191	1197	1243	1231	1236
gene-LOC100685536	0	0	0	1	0	0	0	0	0
gene-LOC119870385	0	0	0	1	0	0	0	1	0
gene-RBFA	2147	2282	1880	2063	1410	1423	1424	1474	1215
gene-LOC102154355	101	243	135	123	54	86	83	48	71
gene-TXNL4A	1655	869	783	729	1017	507	946	1475	696
gene-TRNAQ-UUG	0	0	0	0	0	0	0	1	0
gene-HSBP1L1	0	0	0	0	1	0	0	0	0
gene-LOC111091658	9	22	5	8	10	7	0	7	2
gene-LOC111091673	4	0	2	4	1	6	1	3	0
gene-SLC66A2	1736	2372	2174	2243	1085	1848	1388	1098	1623
gene-LOC106559849	31	48	29	21	18	16	23	30	13
gene-KCNG2	179	283	262	299	190	312	134	120	134
gene-CTDP1	2616	2555	2096	2310	1909	1608	1671	1705	1529
gene-LOC119870433	0	14	2	11	2	0	1	7	7
gene-LOC111091841	0	4	0	0	0	0	0	0	0
gene-LOC119870619	277	510	432	291	185	190	10	10	127
gene-LOC111090558	27	56	19	42	20	30	4	0	6
gene-NFATC1	4913	5626	5864	5582	3556	5163	4122	2841	6079
gene-LOC111091898	12	35	5	21	13	10	7	1	2
gene-ATP9B	1722	1940	1569	1442	996	1029	1470	1164	1316
gene-LOC119870460	10	0	0	11	14	0	10	26	0
gene-SALL3	83	40	5	111	119	3	151	275	2
gene-LOC111092007	0	0	0	0	0	0	0	0	0
gene-LOC111092029	0	0	0	0	0	0	0	0	0
gene-LOC119870620	0	0	0	0	0	0	0	0	0
gene-LOC102155992	0	0	0	0	0	0	0	0	0
gene-LOC111090560	0	0	0	0	0	0	0	0	0
gene-LOC119875935	0	0	0	0	0	0	0	0	0
gene-LOC111092037	0	0	0	0	0	0	0	0	0
gene-LOC119870622	0	0	0	0	0	0	0	0	0
gene-LOC119870623	0	0	0	0	0	0	0	0	0
gene-LOC111092046	0	0	0	0	0	0	0	0	0
gene-LOC119870694	0	0	0	0	0	0	3	0	0
gene-LOC111092121	0	0	0	0	0	0	1	0	0
gene-LOC111090561	0	0	0	0	0	0	0	0	0
gene-LOC111090563	0	0	0	0	0	0	0	0	0
gene-LOC119870625	0	0	0	0	0	0	0	0	0
gene-LOC111092137	0	0	0	0	0	0	0	0	0
gene-LOC111099015	0	0	0	0	0	0	0	0	0
gene-LOC119869905	0	0	0	0	0	0	0	0	0
gene-GALR1	61	36	1	23	22	9	31	28	18
gene-MBP	3102	2891	2437	3493	2421	2703	1532	1538	1802
gene-ZNF236	1506	1797	1740	1709	1096	1356	946	845	1208
gene-LOC102156552	12	38	15	34	12	26	16	12	9
gene-LOC119869861	0	1	0	0	0	0	0	0	4
gene-LOC119870510	0	0	0	0	0	0	0	0	0
gene-LOC119870626	0	0	0	0	0	0	0	0	0
gene-LOC111092394	0	0	0	0	0	0	0	0	0
gene-LOC111090565	0	0	0	0	0	0	0	0	0
gene-ZNF516	15	67	76	26	14	13	175	196	216
gene-LOC111092528	0	0	0	0	0	0	0	0	0
gene-LOC102157008	0	0	0	0	0	0	0	0	0
gene-LOC111092546	0	0	0	0	0	0	0	0	0
gene-LOC119870615	0	0	0	0	0	0	0	0	0
gene-LOC119870696	238	341	266	308	157	268	169	91	172
gene-LOC119870695	271	357	347	364	203	275	195	107	210
gene-TSHZ1	1562	1480	1110	1323	944	943	1046	835	1020
gene-LOC111092553	53	90	48	69	46	42	50	48	27
gene-ZADH2	937	884	721	802	633	551	616	745	686
