gene_id	B_B7H3_CAR_T	B_BC_CAR_T	B_T_cell	E_B7H3_CAR_T	E_BC_CAR_T	E_T_cell	M_B7H3_CAR_T	M_BC_CAR_T	M_T_cell
gene-ENPP1	7	14	0	1	23	0	0	3	3
gene-LOC102151484	0	0	0	0	0	0	0	0	0
gene-LOC100685702	0	0	0	2	2	0	0	0	0
gene-LOC100685782	0	0	0	0	0	1	0	0	0
gene-LOC119870691	0	0	0	0	0	0	0	0	0
gene-PARD6G	68	54	78	116	60	75	79	97	71
gene-ADNP2	3342	3728	3107	3400	2300	2433	2601	2528	2528
gene-LOC100685536	0	0	0	2	0	0	0	0	0
gene-LOC119870385	0	0	0	1	0	0	0	1	0
gene-RBFA	4147	4537	3623	3975	2867	2859	2721	2908	2399
gene-LOC102154355	126	294	164	174	63	134	102	51	95
gene-TXNL4A	3316	1762	1556	1435	2071	1084	1969	2958	1411
gene-TRNAQ-UUG	0	0	0	0	0	0	0	1	0
gene-HSBP1L1	0	0	0	0	2	0	0	0	0
gene-LOC111091658	18	39	20	18	6	15	1	9	7
gene-LOC111091673	4	0	14	8	1	6	1	7	0
gene-SLC66A2	3327	4601	4262	4355	2199	3570	2631	2072	3209
gene-LOC106559849	63	85	74	43	36	35	48	43	27
gene-KCNG2	373	486	443	544	318	519	225	198	217
gene-CTDP1	5056	5051	4045	4541	3809	3243	3217	3256	2968
gene-LOC119870433	0	27	9	25	4	0	1	15	13
gene-LOC111091841	0	7	0	0	2	0	0	0	0
gene-LOC119870619	660	954	911	555	406	380	28	28	251
gene-LOC111090558	47	92	43	84	46	60	11	0	13
gene-NFATC1	10178	11508	11558	11317	7142	10284	8249	5674	12157
gene-LOC111091898	26	73	6	40	18	35	7	6	3
gene-ATP9B	3390	3811	3128	2846	1971	2054	2929	2364	2761
gene-LOC119870460	0	0	0	3	2	0	6	8	0
gene-SALL3	160	57	5	180	218	4	241	541	2
gene-LOC111092007	0	0	0	0	0	0	0	0	0
gene-LOC111092029	0	0	0	0	0	0	0	0	0
gene-LOC119870620	0	0	0	0	0	0	0	0	0
gene-LOC102155992	0	0	0	0	0	0	0	0	0
gene-LOC111090560	0	0	0	0	0	0	0	0	0
gene-LOC119875935	0	0	0	0	0	0	0	0	0
gene-LOC111092037	0	0	0	0	0	0	0	0	0
gene-LOC119870622	0	0	0	0	0	0	0	0	0
