sample	gene	old_unstranded	new_unstranded
B_B7H3_CAR_T	gene-CEP41	2945	2935
B_B7H3_CAR_T	gene-DNAJA1	47	0
B_BC_CAR_T	gene-LOC100686314	15	6
B_BC_CAR_T	gene-LOC119873373	69	59
B_BC_CAR_T	gene-DNAJA1	41	0
B_BC_CAR_T	gene-RPL29	77376	77372
B_BC_CAR_T	gene-OTULIN	6800	6797
B_T_cell	gene-LOC119873373	25	23
B_T_cell	gene-DNAJA1	22	0
B_T_cell	gene-RAD54L2	1696	1689
B_T_cell	gene-TOP2B	9910	9905
E_B7H3_CAR_T	gene-HNRNPK	48810	48809
E_B7H3_CAR_T	gene-LOC119873373	65	50
E_B7H3_CAR_T	gene-DNAJA1	39	0
E_B7H3_CAR_T	gene-OTULIN	5592	5582
E_BC_CAR_T	gene-DNAJA1	38	0
E_BC_CAR_T	gene-LOC119864881	2	0
E_T_cell	gene-HNRNPK	35915	35913
E_T_cell	gene-LOC119873373	35	28
E_T_cell	gene-CEP41	1078	1076
E_T_cell	gene-DNAJA1	21	0
E_T_cell	gene-OTULIN	4031	4026
M_B7H3_CAR_T	gene-LOC119873373	62	44
M_B7H3_CAR_T	gene-LOC119881680	39	38
M_B7H3_CAR_T	gene-DNAJA1	38	0
M_BC_CAR_T	gene-HNRNPK	49712	49707
M_BC_CAR_T	gene-LOC119873373	44	38
M_BC_CAR_T	gene-CEP41	1437	1436
M_BC_CAR_T	gene-LOC102155717	2	1
M_BC_CAR_T	gene-DNAJA1	23	0
M_BC_CAR_T	gene-FAM98A	4205	4203
M_BC_CAR_T	gene-RAD54L2	1897	1893
M_BC_CAR_T	gene-LOC119864881	10	0
M_T_cell	gene-HNRNPK	40771	40769
M_T_cell	gene-HERC2	8082	8076
M_T_cell	gene-LOC119873373	14	7
M_T_cell	gene-DNAJA1	32	0
M_T_cell	gene-LOC119864881	11	0
