gene	sample	unstranded_raw_count	CPM_gene_assigned_unstranded
ANO2	B_B7H3_CAR_T	4	0.07022653024531128
ANO2	B_BC_CAR_T	0	0.0
ANO2	B_T_cell	3	0.061862281076346774
ANO2	E_B7H3_CAR_T	0	0.0
ANO2	E_BC_CAR_T	0	0.0
ANO2	E_T_cell	0	0.0
ANO2	M_B7H3_CAR_T	1	0.021019398361340317
ANO2	M_BC_CAR_T	1	0.02218456318672731
ANO2	M_T_cell	0	0.0
NTF3	B_B7H3_CAR_T	0	0.0
NTF3	B_BC_CAR_T	0	0.0
NTF3	B_T_cell	0	0.0
NTF3	E_B7H3_CAR_T	4	0.08078865562466173
NTF3	E_BC_CAR_T	0	0.0
NTF3	E_T_cell	0	0.0
NTF3	M_B7H3_CAR_T	0	0.0
NTF3	M_BC_CAR_T	0	0.0
NTF3	M_T_cell	0	0.0
NPNT	B_B7H3_CAR_T	3	0.05266989768398346
NPNT	B_BC_CAR_T	0	0.0
NPNT	B_T_cell	6	0.12372456215269355
NPNT	E_B7H3_CAR_T	1	0.02019716390616543
NPNT	E_BC_CAR_T	0	0.0
NPNT	E_T_cell	1	0.026885223459088878
NPNT	M_B7H3_CAR_T	1	0.021019398361340317
NPNT	M_BC_CAR_T	5	0.11092281593363656
NPNT	M_T_cell	13	0.28861029016900774
TBCK	B_B7H3_CAR_T	1138	19.979447854791058
TBCK	B_BC_CAR_T	1187	21.208639066645496
TBCK	B_T_cell	1149	23.693253652240816
TBCK	E_B7H3_CAR_T	900	18.177447515548888
TBCK	E_BC_CAR_T	741	18.745318413645176
TBCK	E_T_cell	751	20.190802817775747
TBCK	M_B7H3_CAR_T	904	19.001536118651646
TBCK	M_BC_CAR_T	920	20.409798131789127
TBCK	M_T_cell	937	20.80214168372002
TSEN15	B_B7H3_CAR_T	2746	48.21051301340619
TSEN15	B_BC_CAR_T	2219	39.647826528126664
TSEN15	B_T_cell	2108	43.468562836313005
TSEN15	E_B7H3_CAR_T	2243	45.30223864152906
TSEN15	E_BC_CAR_T	1756	44.422104094954015
TSEN15	E_T_cell	1642	44.14553691982393
TSEN15	M_B7H3_CAR_T	1766	37.120257506127
TSEN15	M_BC_CAR_T	1915	42.48343850258281
TSEN15	M_T_cell	1875	41.6264841589915
C7H1orf21	B_B7H3_CAR_T	1823	32.00574115930061
C7H1orf21	B_BC_CAR_T	1384	24.728522719660795
C7H1orf21	B_T_cell	1194	24.621187868386016
C7H1orf21	E_B7H3_CAR_T	1549	31.28540689065025
C7H1orf21	E_BC_CAR_T	1235	31.24219735607529
C7H1orf21	E_T_cell	1232	33.12259530159749
C7H1orf21	M_B7H3_CAR_T	1122	23.583764961423835
C7H1orf21	M_BC_CAR_T	755	16.74934520597912
C7H1orf21	M_T_cell	975	21.64577176267558
CD247	B_B7H3_CAR_T	12113	212.66349021536388
CD247	B_BC_CAR_T	16027	286.36129597399105
CD247	B_T_cell	15384	317.2297773595063
CD247	E_B7H3_CAR_T	15704	317.1762619824219
CD247	E_BC_CAR_T	10552	266.9373817824344
CD247	E_T_cell	11658	313.42793508605814
CD247	M_B7H3_CAR_T	9642	202.6690390000433
CD247	M_BC_CAR_T	6800	150.85502966974573
CD247	M_T_cell	14546	322.9327139075682
CD8B	B_B7H3_CAR_T	12365	217.0877616208185
CD8B	B_BC_CAR_T	17105	305.62238520216613
CD8B	B_T_cell	6456	133.12762887629827
CD8B	E_B7H3_CAR_T	7675	155.0132329798197
CD8B	E_BC_CAR_T	6704	169.59327212561033
CD8B	E_T_cell	3228	86.7855013259389
CD8B	M_B7H3_CAR_T	552	11.602707895459854
CD8B	M_BC_CAR_T	469	10.40456013457511
CD8B	M_T_cell	977	21.690173345778504
ARPC5	B_B7H3_CAR_T	30295	531.8781834454263
ARPC5	B_BC_CAR_T	29372	524.8021454637839
ARPC5	B_T_cell	27177	560.4104042706255
ARPC5	E_B7H3_CAR_T	23892	482.5506400461045
ARPC5	E_BC_CAR_T	19444	491.8812027461765
ARPC5	E_T_cell	18112	486.94516729101775
ARPC5	M_B7H3_CAR_T	24193	508.52230455590626
ARPC5	M_BC_CAR_T	20024	444.2236932510277
ARPC5	M_T_cell	26095	579.3296555354044
TET2	B_B7H3_CAR_T	3445	60.48259917377434
TET2	B_BC_CAR_T	3494	62.428799409317065
TET2	B_T_cell	2944	60.70751849625497
TET2	E_B7H3_CAR_T	3318	67.0141898406569
TET2	E_BC_CAR_T	2527	63.92634228243098
TET2	E_T_cell	2371	63.744864821499725
TET2	M_B7H3_CAR_T	3075	64.63464996112147
TET2	M_BC_CAR_T	2515	55.794176414619194
TET2	M_T_cell	2913	64.67090578940919
