gene_set	genes	metric	reprocessed_sample	published_sample	correlation
all_exact	11976	spearman_abundance	B_B7H3_CAR_T	B_B7H3_CAR_T	0.9436888223444306
all_exact	11976	spearman_abundance	B_B7H3_CAR_T	B_BC_CAR_T	0.9277958535528241
all_exact	11976	spearman_abundance	B_B7H3_CAR_T	B_T_cell	0.9160944447281972
all_exact	11976	spearman_abundance	B_B7H3_CAR_T	E_B7H3_CAR_T	0.9231362112031682
all_exact	11976	spearman_abundance	B_B7H3_CAR_T	E_BC_CAR_T	0.9329644615459106
all_exact	11976	spearman_abundance	B_B7H3_CAR_T	E_T_cell	0.9096646260011991
all_exact	11976	spearman_abundance	B_B7H3_CAR_T	M_B7H3_CAR_T	0.8963774927124021
all_exact	11976	spearman_abundance	B_B7H3_CAR_T	M_BC_CAR_T	0.9008569258070964
all_exact	11976	spearman_abundance	B_B7H3_CAR_T	M_T_cell	0.9032072810483235
all_exact	11976	spearman_abundance	B_BC_CAR_T	B_B7H3_CAR_T	0.9208188645411112
all_exact	11976	spearman_abundance	B_BC_CAR_T	B_BC_CAR_T	0.9378817694932209
all_exact	11976	spearman_abundance	B_BC_CAR_T	B_T_cell	0.9257441399983652
all_exact	11976	spearman_abundance	B_BC_CAR_T	E_B7H3_CAR_T	0.9274019539969197
all_exact	11976	spearman_abundance	B_BC_CAR_T	E_BC_CAR_T	0.918918150663103
all_exact	11976	spearman_abundance	B_BC_CAR_T	E_T_cell	0.9199047411326713
all_exact	11976	spearman_abundance	B_BC_CAR_T	M_B7H3_CAR_T	0.8933789086474866
all_exact	11976	spearman_abundance	B_BC_CAR_T	M_BC_CAR_T	0.8802576156272083
all_exact	11976	spearman_abundance	B_BC_CAR_T	M_T_cell	0.9063906849339879
all_exact	11976	spearman_abundance	B_T_cell	B_B7H3_CAR_T	0.9069883826204769
all_exact	11976	spearman_abundance	B_T_cell	B_BC_CAR_T	0.9236114504424262
all_exact	11976	spearman_abundance	B_T_cell	B_T_cell	0.9357611760688116
all_exact	11976	spearman_abundance	B_T_cell	E_B7H3_CAR_T	0.9198088014802043
all_exact	11976	spearman_abundance	B_T_cell	E_BC_CAR_T	0.9041251550674761
all_exact	11976	spearman_abundance	B_T_cell	E_T_cell	0.9238097305005475
all_exact	11976	spearman_abundance	B_T_cell	M_B7H3_CAR_T	0.8901662436276353
all_exact	11976	spearman_abundance	B_T_cell	M_BC_CAR_T	0.8733070821850563
all_exact	11976	spearman_abundance	B_T_cell	M_T_cell	0.9108352139249418
all_exact	11976	spearman_abundance	E_B7H3_CAR_T	B_B7H3_CAR_T	0.9157806990601816
all_exact	11976	spearman_abundance	E_B7H3_CAR_T	B_BC_CAR_T	0.9272685362481742
all_exact	11976	spearman_abundance	E_B7H3_CAR_T	B_T_cell	0.9219383551854026
all_exact	11976	spearman_abundance	E_B7H3_CAR_T	E_B7H3_CAR_T	0.9366862506540576
all_exact	11976	spearman_abundance	E_B7H3_CAR_T	E_BC_CAR_T	0.9234116224407556
all_exact	11976	spearman_abundance	E_B7H3_CAR_T	E_T_cell	0.9278808436249355
all_exact	11976	spearman_abundance	E_B7H3_CAR_T	M_B7H3_CAR_T	0.8896462872410779
all_exact	11976	spearman_abundance	E_B7H3_CAR_T	M_BC_CAR_T	0.8785432796873895
all_exact	11976	spearman_abundance	E_B7H3_CAR_T	M_T_cell	0.9049185953587315
all_exact	11976	spearman_abundance	E_BC_CAR_T	B_B7H3_CAR_T	0.9315785956091471
all_exact	11976	spearman_abundance	E_BC_CAR_T	B_BC_CAR_T	0.9248470790077293
all_exact	11976	spearman_abundance	E_BC_CAR_T	B_T_cell	0.9123935920359376
all_exact	11976	spearman_abundance	E_BC_CAR_T	E_B7H3_CAR_T	0.9295966142620674
all_exact	11976	spearman_abundance	E_BC_CAR_T	E_BC_CAR_T	0.9416647844402978
all_exact	11976	spearman_abundance	E_BC_CAR_T	E_T_cell	0.914674779204062
all_exact	11976	spearman_abundance	E_BC_CAR_T	M_B7H3_CAR_T	0.8962976619585423
all_exact	11976	spearman_abundance	E_BC_CAR_T	M_BC_CAR_T	0.9008037589256433
all_exact	11976	spearman_abundance	E_BC_CAR_T	M_T_cell	0.9012748794895964
all_exact	11976	spearman_abundance	E_T_cell	B_B7H3_CAR_T	0.8996321409046178
all_exact	11976	spearman_abundance	E_T_cell	B_BC_CAR_T	0.916844453621815
all_exact	11976	spearman_abundance	E_T_cell	B_T_cell	0.9226672754757259
all_exact	11976	spearman_abundance	E_T_cell	E_B7H3_CAR_T	0.9245106880576928
all_exact	11976	spearman_abundance	E_T_cell	E_BC_CAR_T	0.9055580479545857
all_exact	11976	spearman_abundance	E_T_cell	E_T_cell	0.9336296889526178
all_exact	11976	spearman_abundance	E_T_cell	M_B7H3_CAR_T	0.8784172994428545
all_exact	11976	spearman_abundance	E_T_cell	M_BC_CAR_T	0.8647862508261576
all_exact	11976	spearman_abundance	E_T_cell	M_T_cell	0.9010654555688774
