symbol	ROS_gene_id
A2ML1	gene-A2ML1
A3GALT2	gene-A3GALT2
A4GALT	gene-A4GALT
AAAS	gene-AAAS
AAGAB	gene-AAGAB
AAK1	gene-AAK1
AAMDC	gene-AAMDC
AAMP	gene-AAMP
AAR2	gene-AAR2
AARS1	gene-AARS1
AARS2	gene-AARS2
AASDH	gene-AASDH
AASDHPPT	gene-AASDHPPT
AATF	gene-AATF
ABAT	gene-ABAT
ABCA1	gene-ABCA1
ABCA12	gene-ABCA12
ABCA3	gene-ABCA3
ABCA5	gene-ABCA5
ABCA7	gene-ABCA7
ABCB1	gene-ABCB1
ABCB10	gene-ABCB10
ABCB4	gene-ABCB4
ABCB6	gene-ABCB6
ABCB7	gene-ABCB7
ABCB8	gene-ABCB8
ABCB9	gene-ABCB9
ABCC1	gene-ABCC1
ABCC10	gene-ABCC10
ABCC3	gene-ABCC3
ABCC4	gene-ABCC4
ABCC5	gene-ABCC5
ABCC6	gene-ABCC6
ABCC8	gene-ABCC8
ABCC9	gene-ABCC9
ABCD1	gene-ABCD1
ABCD2	gene-ABCD2
ABCD3	gene-ABCD3
ABCD4	gene-ABCD4
ABCE1	gene-ABCE1
ABCF1	gene-ABCF1
ABCF3	gene-ABCF3
ABCG1	gene-ABCG1
ABCG2	gene-ABCG2
ABCG4	gene-ABCG4
ABHD1	gene-ABHD1
ABHD10	gene-ABHD10
ABHD11	gene-ABHD11
ABHD12	gene-ABHD12
ABHD13	gene-ABHD13
ABHD14B	gene-ABHD14B
ABHD15	gene-ABHD15
ABHD16A	gene-ABHD16A
ABHD16B	gene-ABHD16B
ABHD17A	gene-ABHD17A
ABHD17B	gene-ABHD17B
ABHD18	gene-ABHD18
ABHD2	gene-ABHD2
ABHD3	gene-ABHD3
ABHD4	gene-ABHD4
ABHD5	gene-ABHD5
ABHD6	gene-ABHD6
ABHD8	gene-ABHD8
ABI1	gene-ABI1
ABI2	gene-ABI2
ABI3	gene-ABI3
ABITRAM	gene-ABITRAM
ABL1	gene-ABL1
ABL2	gene-ABL2
ABLIM1	gene-ABLIM1
ABLIM2	gene-ABLIM2
ABLIM3	gene-ABLIM3
ABO	gene-ABO
ABR	gene-ABR
ABRACL	gene-ABRACL
ABRAXAS1	gene-ABRAXAS1
ABRAXAS2	gene-ABRAXAS2
ABT1	gene-ABT1
ABTB1	gene-ABTB1
ABTB2	gene-ABTB2
ACAA1	gene-ACAA1
ACACA	gene-ACACA
ACACB	gene-ACACB
ACAD11	gene-ACAD11
ACAD8	gene-ACAD8
ACAD9	gene-ACAD9
ACADL	gene-ACADL
ACADM	gene-ACADM
ACADS	gene-ACADS
ACADSB	gene-ACADSB
ACADVL	gene-ACADVL
ACAN	gene-ACAN
ACAP1	gene-ACAP1
ACAP2	gene-ACAP2
ACAP3	gene-ACAP3
ACAT1	gene-ACAT1
ACAT2	gene-ACAT2
ACBD3	gene-ACBD3
ACBD4	gene-ACBD4
ACBD5	gene-ACBD5
ACBD6	gene-ACBD6
ACCS	gene-ACCS
ACD	gene-ACD
ACE	gene-ACE
ACE2	gene-ACE2
ACER2	gene-ACER2
ACER3	gene-ACER3
ACHE	gene-ACHE
ACIN1	gene-ACIN1
ACKR2	gene-ACKR2
ACKR3	gene-ACKR3
ACKR4	gene-ACKR4
ACLY	gene-ACLY
ACO1	gene-ACO1
ACO2	gene-ACO2
ACOD1	gene-ACOD1
ACOT11	gene-ACOT11
ACOT13	gene-ACOT13
ACOT6	gene-ACOT6
ACOT7	gene-ACOT7
ACOT8	gene-ACOT8
ACOT9	gene-ACOT9
ACOX1	gene-ACOX1
ACOX3	gene-ACOX3
ACOXL	gene-ACOXL
ACP2	gene-ACP2
ACP3	gene-ACP3
ACP5	gene-ACP5
ACP6	gene-ACP6
ACRBP	gene-ACRBP
ACRV1	gene-ACRV1
ACSBG1	gene-ACSBG1
ACSBG2	gene-ACSBG2
ACSF2	gene-ACSF2
ACSF3	gene-ACSF3
ACSL1	gene-ACSL1
ACSL3	gene-ACSL3
ACSL4	gene-ACSL4
ACSL5	gene-ACSL5
ACSL6	gene-ACSL6
ACSS1	gene-ACSS1
ACSS2	gene-ACSS2
ACSS3	gene-ACSS3
ACTA1	gene-ACTA1
ACTA2	gene-ACTA2
ACTB	gene-ACTB
ACTC1	gene-ACTC1
ACTG1	gene-ACTG1
ACTL10	gene-ACTL10
ACTL6A	gene-ACTL6A
ACTL6B	gene-ACTL6B
ACTL7A	gene-ACTL7A
ACTL7B	gene-ACTL7B
ACTL8	gene-ACTL8
ACTN1	gene-ACTN1
ACTN2	gene-ACTN2
ACTN3	gene-ACTN3
ACTN4	gene-ACTN4
ACTR10	gene-ACTR10
ACTR1A	gene-ACTR1A
ACTR1B	gene-ACTR1B
ACTR2	gene-ACTR2
ACTR3	gene-ACTR3
ACTR3B	gene-ACTR3B
ACTR5	gene-ACTR5
ACTR6	gene-ACTR6
ACTR8	gene-ACTR8
ACVR1	gene-ACVR1
ACVR1B	gene-ACVR1B
ACVR1C	gene-ACVR1C
ACVR2A	gene-ACVR2A
ACVR2B	gene-ACVR2B
ACVRL1	gene-ACVRL1
ACYP1	gene-ACYP1
ACYP2	gene-ACYP2
ADA	gene-ADA
ADA2	gene-ADA2
ADAL	gene-ADAL
ADAM10	gene-ADAM10
ADAM11	gene-ADAM11
ADAM12	gene-ADAM12
ADAM15	gene-ADAM15
ADAM17	gene-ADAM17
ADAM19	gene-ADAM19
ADAM20	gene-ADAM20
ADAM21	gene-ADAM21
ADAM22	gene-ADAM22
ADAM8	gene-ADAM8
ADAM9	gene-ADAM9
ADAMTS1	gene-ADAMTS1
ADAMTS10	gene-ADAMTS10
ADAMTS13	gene-ADAMTS13
ADAMTS14	gene-ADAMTS14
ADAMTS17	gene-ADAMTS17
ADAMTS20	gene-ADAMTS20
ADAMTS4	gene-ADAMTS4
ADAMTS6	gene-ADAMTS6
ADAMTS7	gene-ADAMTS7
ADAMTS9	gene-ADAMTS9
ADAMTSL4	gene-ADAMTSL4
ADAMTSL5	gene-ADAMTSL5
ADAP1	gene-ADAP1
ADAP2	gene-ADAP2
ADAR	gene-ADAR
ADARB1	gene-ADARB1
ADARB2	gene-ADARB2
ADAT1	gene-ADAT1
ADAT2	gene-ADAT2
ADCK1	gene-ADCK1
ADCK2	gene-ADCK2
ADCK5	gene-ADCK5
ADCY1	gene-ADCY1
ADCY10	gene-ADCY10
ADCY2	gene-ADCY2
ADCY3	gene-ADCY3
ADCY4	gene-ADCY4
ADCY5	gene-ADCY5
ADCY6	gene-ADCY6
ADCY7	gene-ADCY7
ADCY9	gene-ADCY9
ADD1	gene-ADD1
ADD2	gene-ADD2
ADD3	gene-ADD3
ADGRA2	gene-ADGRA2
ADGRA3	gene-ADGRA3
ADGRB2	gene-ADGRB2
ADGRE1	gene-ADGRE1
ADGRE2	gene-ADGRE2
ADGRE3	gene-ADGRE3
ADGRE5	gene-ADGRE5
ADGRF3	gene-ADGRF3
ADGRG1	gene-ADGRG1
ADGRG2	gene-ADGRG2
ADGRG3	gene-ADGRG3
ADGRG5	gene-ADGRG5
ADGRG6	gene-ADGRG6
ADGRL1	gene-ADGRL1
ADGRL2	gene-ADGRL2
ADGRL3	gene-ADGRL3
ADGRV1	gene-ADGRV1
ADH4	gene-ADH4
ADH5	gene-ADH5
ADHFE1	gene-ADHFE1
ADIPOR1	gene-ADIPOR1
ADIPOR2	gene-ADIPOR2
ADIRF	gene-ADIRF
ADK	gene-ADK
ADM	gene-ADM
ADM2	gene-ADM2
ADM5	gene-ADM5
ADNP	gene-ADNP
ADNP2	gene-ADNP2
ADO	gene-ADO
ADORA2A	gene-ADORA2A
ADORA3	gene-ADORA3
ADPGK	gene-ADPGK
ADPRH	gene-ADPRH
ADPRM	gene-ADPRM
ADPRS	gene-ADPRS
ADRA1B	gene-ADRA1B
ADRA2A	gene-ADRA2A
ADRA2B	gene-ADRA2B
ADRA2C	gene-ADRA2C
ADRB1	gene-ADRB1
ADRB2	gene-ADRB2
ADRM1	gene-ADRM1
ADSS1	gene-ADSS1
ADSS2	gene-ADSS2
ADTRP	gene-ADTRP
AEBP2	gene-AEBP2
AEN	gene-AEN
AFAP1	gene-AFAP1
AFAP1L2	gene-AFAP1L2
AFDN	gene-AFDN
AFF1	gene-AFF1
AFF2	gene-AFF2
AFF3	gene-AFF3
AFF4	gene-AFF4
AFG1L	gene-AFG1L
AFG3L2	gene-AFG3L2
AFP	gene-AFP
AFTPH	gene-AFTPH
AGA	gene-AGA
AGAP1	gene-AGAP1
AGAP2	gene-AGAP2
AGAP3	gene-AGAP3
AGBL2	gene-AGBL2
AGBL3	gene-AGBL3
AGBL4	gene-AGBL4
AGBL5	gene-AGBL5
AGER	gene-AGER
AGFG1	gene-AGFG1
AGFG2	gene-AGFG2
AGGF1	gene-AGGF1
AGK	gene-AGK
AGL	gene-AGL
AGO1	gene-AGO1
AGO2	gene-AGO2
AGO3	gene-AGO3
AGO4	gene-AGO4
AGPAT1	gene-AGPAT1
AGPAT2	gene-AGPAT2
AGPAT3	gene-AGPAT3
AGPAT4	gene-AGPAT4
AGPAT5	gene-AGPAT5
AGPS	gene-AGPS
AGRN	gene-AGRN
AGT	gene-AGT
AGTPBP1	gene-AGTPBP1
AGTRAP	gene-AGTRAP
AHCTF1	gene-AHCTF1
AHCY	gene-AHCY
AHCYL1	gene-AHCYL1
AHCYL2	gene-AHCYL2
AHDC1	gene-AHDC1
AHI1	gene-AHI1
AHNAK	gene-AHNAK
AHR	gene-AHR
AHRR	gene-AHRR
AHSA1	gene-AHSA1
AICDA	gene-AICDA
AIDA	gene-AIDA
AIF1	gene-AIF1
AIF1L	gene-AIF1L
AIFM1	gene-AIFM1
AIFM2	gene-AIFM2
AIFM3	gene-AIFM3
AIG1	gene-AIG1
AIMP1	gene-AIMP1
AIP	gene-AIP
AIPL1	gene-AIPL1
AJUBA	gene-AJUBA
AK1	gene-AK1
AK2	gene-AK2
AK7	gene-AK7
AK8	gene-AK8
AKAP1	gene-AKAP1
AKAP10	gene-AKAP10
AKAP11	gene-AKAP11
AKAP12	gene-AKAP12
AKAP13	gene-AKAP13
AKAP3	gene-AKAP3
AKAP5	gene-AKAP5
AKAP7	gene-AKAP7
AKAP8	gene-AKAP8
AKAP9	gene-AKAP9
AKIP1	gene-AKIP1
AKIRIN1	gene-AKIRIN1
AKIRIN2	gene-AKIRIN2
