published_symbol	reason
ADAM30	missing_exact_ROS_symbol
AKR7L	missing_exact_ROS_symbol
ALOX5AP	missing_exact_ROS_symbol
AOPEP	missing_exact_ROS_symbol
ARL5A	missing_exact_ROS_symbol
ARL6IP6	missing_exact_ROS_symbol
ARMC7	missing_exact_ROS_symbol
ARMCX6	missing_exact_ROS_symbol
ATP5PB	missing_exact_ROS_symbol
BTN2A2	missing_exact_ROS_symbol
C10orf95	missing_exact_ROS_symbol
C12orf43	missing_exact_ROS_symbol
C14orf132	missing_exact_ROS_symbol
C15orf65	missing_exact_ROS_symbol
C16orf96	missing_exact_ROS_symbol
C17orf113	missing_exact_ROS_symbol
C17orf49	missing_exact_ROS_symbol
C19orf25	missing_exact_ROS_symbol
C19orf84	missing_exact_ROS_symbol
C1orf54	missing_exact_ROS_symbol
C20orf204	missing_exact_ROS_symbol
C20orf27	missing_exact_ROS_symbol
C2orf92	missing_exact_ROS_symbol
C5H16orf74	missing_exact_ROS_symbol
C5orf34	missing_exact_ROS_symbol
C5orf58	missing_exact_ROS_symbol
C6orf47	missing_exact_ROS_symbol
C7orf25	missing_exact_ROS_symbol
C8orf58	missing_exact_ROS_symbol
C8orf88	missing_exact_ROS_symbol
C9orf116	missing_exact_ROS_symbol
C9orf50	missing_exact_ROS_symbol
C9orf78	missing_exact_ROS_symbol
CCDC134	missing_exact_ROS_symbol
CCDC194	missing_exact_ROS_symbol
CCDC195	missing_exact_ROS_symbol
CEP295NL	missing_exact_ROS_symbol
CFAP298-TCP10L	missing_exact_ROS_symbol
CISD3	missing_exact_ROS_symbol
CLASRP	missing_exact_ROS_symbol
CLEC4D	missing_exact_ROS_symbol
CLEC4E	missing_exact_ROS_symbol
CLSTN1	missing_exact_ROS_symbol
COA4	missing_exact_ROS_symbol
COL8A1	missing_exact_ROS_symbol
COX16	missing_exact_ROS_symbol
CXorf65	missing_exact_ROS_symbol
DAP	missing_exact_ROS_symbol
DCTD	missing_exact_ROS_symbol
DPEP2	missing_exact_ROS_symbol
DPEP3	missing_exact_ROS_symbol
EAPP	missing_exact_ROS_symbol
ECH1	missing_exact_ROS_symbol
EEF1AKMT4	missing_exact_ROS_symbol
ENSCAFG00000000027	missing_exact_ROS_symbol
ENSCAFG00000000030	missing_exact_ROS_symbol
ENSCAFG00000000049	missing_exact_ROS_symbol
ENSCAFG00000000054	missing_exact_ROS_symbol
ENSCAFG00000000061	missing_exact_ROS_symbol
ENSCAFG00000000069	missing_exact_ROS_symbol
ENSCAFG00000000071	missing_exact_ROS_symbol
ENSCAFG00000000072	missing_exact_ROS_symbol
ENSCAFG00000000118	missing_exact_ROS_symbol
ENSCAFG00000000132	missing_exact_ROS_symbol
ENSCAFG00000000142	missing_exact_ROS_symbol
ENSCAFG00000000175	missing_exact_ROS_symbol
ENSCAFG00000000183	missing_exact_ROS_symbol
ENSCAFG00000000225	missing_exact_ROS_symbol
ENSCAFG00000000263	missing_exact_ROS_symbol
ENSCAFG00000000314	missing_exact_ROS_symbol
ENSCAFG00000000341	missing_exact_ROS_symbol
ENSCAFG00000000370	missing_exact_ROS_symbol
ENSCAFG00000000376	missing_exact_ROS_symbol
ENSCAFG00000000377	missing_exact_ROS_symbol
ENSCAFG00000000399	missing_exact_ROS_symbol
ENSCAFG00000000400	missing_exact_ROS_symbol
ENSCAFG00000000443	missing_exact_ROS_symbol
ENSCAFG00000000491	missing_exact_ROS_symbol
ENSCAFG00000000497	missing_exact_ROS_symbol
ENSCAFG00000000502	missing_exact_ROS_symbol
ENSCAFG00000000540	missing_exact_ROS_symbol
ENSCAFG00000000554	missing_exact_ROS_symbol
ENSCAFG00000000562	missing_exact_ROS_symbol
ENSCAFG00000000565	missing_exact_ROS_symbol
ENSCAFG00000000578	missing_exact_ROS_symbol
ENSCAFG00000000580	missing_exact_ROS_symbol
ENSCAFG00000000595	missing_exact_ROS_symbol
ENSCAFG00000000604	missing_exact_ROS_symbol
ENSCAFG00000000626	missing_exact_ROS_symbol
ENSCAFG00000000632	missing_exact_ROS_symbol
ENSCAFG00000000634	missing_exact_ROS_symbol
ENSCAFG00000000641	missing_exact_ROS_symbol
ENSCAFG00000000646	missing_exact_ROS_symbol
ENSCAFG00000000653	missing_exact_ROS_symbol
ENSCAFG00000000683	missing_exact_ROS_symbol
ENSCAFG00000000697	missing_exact_ROS_symbol
ENSCAFG00000000701	missing_exact_ROS_symbol
ENSCAFG00000000713	missing_exact_ROS_symbol
ENSCAFG00000000749	missing_exact_ROS_symbol
ENSCAFG00000000792	missing_exact_ROS_symbol
ENSCAFG00000000798	missing_exact_ROS_symbol
ENSCAFG00000000801	missing_exact_ROS_symbol
ENSCAFG00000000808	missing_exact_ROS_symbol
ENSCAFG00000000835	missing_exact_ROS_symbol
ENSCAFG00000000842	missing_exact_ROS_symbol
ENSCAFG00000000894	missing_exact_ROS_symbol
ENSCAFG00000001000	missing_exact_ROS_symbol
ENSCAFG00000001038	missing_exact_ROS_symbol
ENSCAFG00000001066	missing_exact_ROS_symbol
ENSCAFG00000001071	missing_exact_ROS_symbol
ENSCAFG00000001098	missing_exact_ROS_symbol
ENSCAFG00000001144	missing_exact_ROS_symbol
ENSCAFG00000001149	missing_exact_ROS_symbol
ENSCAFG00000001207	missing_exact_ROS_symbol
ENSCAFG00000001210	missing_exact_ROS_symbol
ENSCAFG00000001285	missing_exact_ROS_symbol
ENSCAFG00000001302	missing_exact_ROS_symbol
ENSCAFG00000001341	missing_exact_ROS_symbol
