gene	sample	reported_donor	mapping_status	raw_count	CPM	observation
AIMP1	B_B7H3_CAR_T	B	exact_unique	3342	58.67426601995757	positive_assigned_pairs
AIMP1	B_BC_CAR_T	B	exact_unique	2748	49.09969684510684	positive_assigned_pairs
AIMP1	B_T_cell	B	exact_unique	2079	42.87056078590832	positive_assigned_pairs
AIMP1	E_B7H3_CAR_T	E	exact_unique	2373	47.927869949330564	positive_assigned_pairs
AIMP1	E_BC_CAR_T	E	exact_unique	2300	58.18384932710378	positive_assigned_pairs
AIMP1	E_T_cell	E	exact_unique	1611	43.31209499259218	positive_assigned_pairs
AIMP1	M_B7H3_CAR_T	M	exact_unique	2378	49.98412930326727	positive_assigned_pairs
AIMP1	M_BC_CAR_T	M	exact_unique	3052	67.70728684589176	positive_assigned_pairs
AIMP1	M_T_cell	M	exact_unique	1891	41.98169682381489	positive_assigned_pairs
ANO2	B_B7H3_CAR_T	B	exact_unique	4	0.07022653024531128	positive_assigned_pairs
ANO2	B_BC_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
ANO2	B_T_cell	B	exact_unique	3	0.061862281076346774	positive_assigned_pairs
ANO2	E_B7H3_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
ANO2	E_BC_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
ANO2	E_T_cell	E	exact_unique	0	0.0	zero_assigned_pairs
ANO2	M_B7H3_CAR_T	M	exact_unique	1	0.021019398361340317	positive_assigned_pairs
ANO2	M_BC_CAR_T	M	exact_unique	1	0.02218456318672731	positive_assigned_pairs
ANO2	M_T_cell	M	exact_unique	0	0.0	zero_assigned_pairs
APOBEC4	B_B7H3_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
APOBEC4	B_BC_CAR_T	B	exact_unique	6	0.10720457826442542	positive_assigned_pairs
APOBEC4	B_T_cell	B	exact_unique	3	0.061862281076346774	positive_assigned_pairs
APOBEC4	E_B7H3_CAR_T	E	exact_unique	0	0.0	zero_assigned_pairs
APOBEC4	E_BC_CAR_T	E	exact_unique	2	0.0505946515887859	positive_assigned_pairs
APOBEC4	E_T_cell	E	exact_unique	0	0.0	zero_assigned_pairs
APOBEC4	M_B7H3_CAR_T	M	exact_unique	2	0.042038796722680634	positive_assigned_pairs
APOBEC4	M_BC_CAR_T	M	exact_unique	3	0.06655368956018194	positive_assigned_pairs
APOBEC4	M_T_cell	M	exact_unique	3	0.0666023746543864	positive_assigned_pairs
ARHGEF38	B_B7H3_CAR_T	B	exact_unique	0	0.0	zero_assigned_pairs
ARHGEF38	B_BC_CAR_T	B	exact_unique	2	0.03573485942147514	positive_assigned_pairs
ARHGEF38	B_T_cell	B	exact_unique	6	0.12372456215269355	positive_assigned_pairs
ARHGEF38	E_B7H3_CAR_T	E	exact_unique	2	0.04039432781233086	positive_assigned_pairs
ARHGEF38	E_BC_CAR_T	E	exact_unique	1	0.02529732579439295	positive_assigned_pairs
ARHGEF38	E_T_cell	E	exact_unique	2	0.053770446918177756	positive_assigned_pairs
ARHGEF38	M_B7H3_CAR_T	M	exact_unique	3	0.06305819508402094	positive_assigned_pairs
ARHGEF38	M_BC_CAR_T	M	exact_unique	3	0.06655368956018194	positive_assigned_pairs
