gene	mapping_status	absent_published_CPM	nonzero_samples	min_raw	max_raw	min_CPM	max_CPM
AIMP1	exact_unique	False	9	1611	3342	41.98169682381489	67.70728684589176
ANO2	exact_unique	True	4	0	4	0.0	0.07022653024531128
APOBEC4	exact_unique	True	6	0	6	0.0	0.10720457826442542
ARHGEF38	exact_unique	True	8	0	6	0.0	0.12372456215269355
ARPC5	exact_unique	False	9	18112	30295	444.2236932510277	579.3296555354044
C7H1orf21	exact_unique	False	9	755	1823	16.74934520597912	33.12259530159749
CD247	exact_unique	True	9	6800	16027	150.85502966974573	322.9327139075682
CD3D	exact_unique	False	9	4059	9139	90.04714197492616	202.89303398881245
CD3E	exact_unique	False	9	17770	40147	394.21968782814434	830.3096040246838
CD3G	exact_unique	False	9	4246	12170	94.19565529084417	239.5204557970228
CD4	exact_unique	False	9	3609	13406	63.3618869138321	297.62381153890135
CD8A	exact_unique	False	9	2291	21131	50.82483426079227	377.55665721759556
CD8B	exact_unique	True	9	469	17105	10.40456013457511	305.62238520216613
CD9	exact_unique	False	9	19	247	0.33357601866522857	5.483595513211148
COLGALT2	exact_unique	True	7	0	13	0.0	0.28861029016900774
EDEM3	exact_unique	False	9	2039	5525	54.818970633082216	116.13217594640524
GALNT8	exact_unique	True	5	0	5	0.0	0.10754089383635551
GIMD1	exact_unique	True	9	1	8	0.02218456318672731	0.17760633241169707
GSTCD	exact_unique	False	9	152	979	4.086553965781509	21.71868735980604
INTS12	exact_unique	False	9	476	1094	12.125007090963969	19.206956022092633
KCNA1	exact_unique	True	2	0	5	0.0	0.08933714855368785
KCNA5	exact_unique	True	0	0	0	0.0	0.0
KCNA6	exact_unique	True	0	0	0	0.0	0.0
LCK	exact_unique	False	9	5653	28438	125.4093356945695	508.113966113955
LOC119867197	exact_unique	True	9	18	53	0.46621662258070484	1.1140281131510368
LOC119872513	exact_unique	True	0	0	0	0.0	0.0
LOC119876429	exact_unique	True	8	0	32	0.0	0.6990158099363107
NCF2	exact_unique	False	9	28	1138	0.7083251222430026	24.846710769134592
NIBAN1	exact_unique	False	9	13471	22915	277.3596812038569	481.6595134501133
NPNT	exact_unique	False	7	0	13	0.0	0.28861029016900774
NTF3	exact_unique	True	1	0	4	0.0	0.08078865562466173
PLEKHG6	exact_unique	False	9	8	75	0.1774765054938185	1.6399986310044214
PPA2	exact_unique	False	9	1850	3340	38.88588696847958	60.411097112572705
RGL1	exact_unique	False	9	7	279	0.18819656421362213	5.864412142813948
SMG7	exact_unique	False	9	6253	12915	168.11330228968274	226.74390952954877
TBCK	exact_unique	False	9	741	1187	18.177447515548888	23.693253652240816
TET2	exact_unique	False	9	2371	3494	55.794176414619194	67.0141898406569
TNFRSF1A	exact_unique	False	9	276	1338	6.122939439536738	25.057028263870833
TSEN15	exact_unique	False	9	1642	2746	37.120257506127	48.21051301340619
VWF	exact_unique	False	5	0	8	0.0	0.16496608287025807
