gene	condition	n_reported_donors	median_CPM	min_CPM	max_CPM
AIMP1	control	3	42.87056078590832	41.98169682381489	43.31209499259218
AIMP1	single_CAR	3	49.98412930326727	47.927869949330564	58.67426601995757
AIMP1	dual_CAR	3	58.18384932710378	49.09969684510684	67.70728684589176
ANO2	control	3	0.0	0.0	0.061862281076346774
ANO2	single_CAR	3	0.021019398361340317	0.0	0.07022653024531128
ANO2	dual_CAR	3	0.0	0.0	0.02218456318672731
APOBEC4	control	3	0.061862281076346774	0.0	0.0666023746543864
APOBEC4	single_CAR	3	0.0	0.0	0.042038796722680634
APOBEC4	dual_CAR	3	0.06655368956018194	0.0505946515887859	0.10720457826442542
ARHGEF38	control	3	0.053770446918177756	0.04440158310292427	0.12372456215269355
ARHGEF38	single_CAR	3	0.04039432781233086	0.0	0.06305819508402094
ARHGEF38	dual_CAR	3	0.03573485942147514	0.02529732579439295	0.06655368956018194
ARPC5	control	3	560.4104042706255	486.94516729101775	579.3296555354044
ARPC5	single_CAR	3	508.52230455590626	482.5506400461045	531.8781834454263
ARPC5	dual_CAR	3	491.8812027461765	444.2236932510277	524.8021454637839
C7H1orf21	control	3	24.621187868386016	21.64577176267558	33.12259530159749
C7H1orf21	single_CAR	3	31.28540689065025	23.583764961423835	32.00574115930061
C7H1orf21	dual_CAR	3	24.728522719660795	16.74934520597912	31.24219735607529
CD247	control	3	317.2297773595063	313.42793508605814	322.9327139075682
CD247	single_CAR	3	212.66349021536388	202.6690390000433	317.1762619824219
CD247	dual_CAR	3	266.9373817824344	150.85502966974573	286.36129597399105
CD3D	control	3	194.89098485493525	184.98884117863565	202.89303398881245
CD3D	single_CAR	3	140.06681457427334	122.56411184497539	159.0324685971466
CD3D	dual_CAR	3	115.73526550934774	90.04714197492616	160.18150735676232
CD3E	control	3	827.8616661240313	807.1750639122254	830.3096040246838
CD3E	single_CAR	3	628.106086514064	454.9018193361271	672.6261495670274
CD3E	dual_CAR	3	558.8179267981402	394.21968782814434	683.5363910139764
CD3G	control	3	231.1793443823079	215.50308359004293	239.5204557970228
CD3G	single_CAR	3	143.85676238501313	127.00467994864545	196.61939062652047
CD3G	dual_CAR	3	121.60424509364691	94.19565529084417	217.44661957967622
CD4	control	3	223.0935842635195	172.6163849633663	297.62381153890135
CD4	single_CAR	3	161.6580999049481	63.3618869138321	183.625464084669
CD4	dual_CAR	3	118.99799693360531	100.55687003271197	126.87661837594749
CD8A	control	3	152.70806924762482	88.1815440424076	207.17677932468536
CD8A	single_CAR	3	234.95360772042247	51.854855757426556	318.0910687461374
CD8A	dual_CAR	3	231.92588288299456	50.82483426079227	377.55665721759556
CD8B	control	3	86.7855013259389	21.690173345778504	133.12762887629827
CD8B	single_CAR	3	155.0132329798197	11.602707895459854	217.0877616208185
CD8B	dual_CAR	3	169.59327212561033	10.40456013457511	305.62238520216613
CD9	control	3	3.2262268150906652	1.670281589061363	5.483595513211148
CD9	single_CAR	3	0.9896610314021062	0.33357601866522857	3.9726662902933194
CD9	dual_CAR	3	0.7146971884295028	0.6830277964486097	2.1740871922992766
COLGALT2	control	3	0.2419670111317999	0.0	0.28861029016900774
