gene	ROS_gene_ids	mapping_status	absent_published_CPM
AIMP1	gene-AIMP1	exact_unique	False
ANO2	gene-ANO2	exact_unique	True
APOBEC4	gene-APOBEC4	exact_unique	True
ARHGEF38	gene-ARHGEF38	exact_unique	True
ARPC5	gene-ARPC5	exact_unique	False
C7H1orf21	gene-C7H1orf21	exact_unique	False
CD247	gene-CD247	exact_unique	True
CD3D	gene-CD3D	exact_unique	False
CD3E	gene-CD3E	exact_unique	False
CD3G	gene-CD3G	exact_unique	False
CD4	gene-CD4	exact_unique	False
CD8A	gene-CD8A	exact_unique	False
CD8B	gene-CD8B	exact_unique	True
CD9	gene-CD9	exact_unique	False
COLGALT2	gene-COLGALT2	exact_unique	True
EDEM3	gene-EDEM3	exact_unique	False
GALNT8	gene-GALNT8	exact_unique	True
GIMD1	gene-GIMD1	exact_unique	True
GSTCD	gene-GSTCD	exact_unique	False
INTS12	gene-INTS12	exact_unique	False
KCNA1	gene-KCNA1	exact_unique	True
KCNA5	gene-KCNA5	exact_unique	True
KCNA6	gene-KCNA6	exact_unique	True
LCK	gene-LCK	exact_unique	False
LOC119867197	gene-LOC119867197	exact_unique	True
LOC119872513	gene-LOC119872513	exact_unique	True
LOC119876429	gene-LOC119876429	exact_unique	True
NCF2	gene-NCF2	exact_unique	False
NIBAN1	gene-NIBAN1	exact_unique	False
NPNT	gene-NPNT	exact_unique	False
NTF3	gene-NTF3	exact_unique	True
PLEKHG6	gene-PLEKHG6	exact_unique	False
PPA2	gene-PPA2	exact_unique	False
RGL1	gene-RGL1	exact_unique	False
SMG7	gene-SMG7	exact_unique	False
TBCK	gene-TBCK	exact_unique	False
TET2	gene-TET2	exact_unique	False
TNFRSF1A	gene-TNFRSF1A	exact_unique	False
TSEN15	gene-TSEN15	exact_unique	False
VWF	gene-VWF	exact_unique	False
