gene	comparison	reported_donor	numerator_CPM	denominator_CPM	log2_ratio	status
AIMP1	single_vs_control	B	58.67426601995757	42.87056078590832	0.45274060056658466	descriptive_both_positive
AIMP1	single_vs_control	E	47.927869949330564	43.31209499259218	0.14609486711174624	descriptive_both_positive
AIMP1	single_vs_control	M	49.98412930326727	41.98169682381489	0.2517096117680261	descriptive_both_positive
AIMP1	dual_vs_control	B	49.09969684510684	42.87056078590832	0.19572682793459373	descriptive_both_positive
AIMP1	dual_vs_control	E	58.18384932710378	43.31209499259218	0.4258487886095422	descriptive_both_positive
AIMP1	dual_vs_control	M	67.70728684589176	41.98169682381489	0.6895506300777814	descriptive_both_positive
AIMP1	dual_vs_single	B	49.09969684510684	58.67426601995757	-0.25701377263199093	descriptive_both_positive
AIMP1	dual_vs_single	E	58.18384932710378	47.927869949330564	0.27975392149779577	descriptive_both_positive
AIMP1	dual_vs_single	M	67.70728684589176	49.98412930326727	0.4378410183097553	descriptive_both_positive
ANO2	single_vs_control	B	0.07022653024531128	0.061862281076346774	0.18295612464261074	descriptive_both_positive
ANO2	single_vs_control	E	0.0	0.0		zero_no_ratio
ANO2	single_vs_control	M	0.021019398361340317	0.0		zero_no_ratio
ANO2	dual_vs_control	B	0.0	0.061862281076346774		zero_no_ratio
ANO2	dual_vs_control	E	0.0	0.0		zero_no_ratio
ANO2	dual_vs_control	M	0.02218456318672731	0.0		zero_no_ratio
ANO2	dual_vs_single	B	0.0	0.07022653024531128		zero_no_ratio
ANO2	dual_vs_single	E	0.0	0.0		zero_no_ratio
ANO2	dual_vs_single	M	0.02218456318672731	0.021019398361340317	0.07783477122088045	descriptive_both_positive
APOBEC4	single_vs_control	B	0.0	0.061862281076346774		zero_no_ratio
APOBEC4	single_vs_control	E	0.0	0.0		zero_no_ratio
APOBEC4	single_vs_control	M	0.042038796722680634	0.0666023746543864	-0.6638522407490243	descriptive_both_positive
APOBEC4	dual_vs_control	B	0.10720457826442542	0.061862281076346774	0.7932345819748636	descriptive_both_positive
APOBEC4	dual_vs_control	E	0.0505946515887859	0.0		zero_no_ratio
APOBEC4	dual_vs_control	M	0.06655368956018194	0.0666023746543864	-0.0010549688069875689	descriptive_both_positive
APOBEC4	dual_vs_single	B	0.10720457826442542	0.0		zero_no_ratio
APOBEC4	dual_vs_single	E	0.0505946515887859	0.0		zero_no_ratio
APOBEC4	dual_vs_single	M	0.06655368956018194	0.042038796722680634	0.6627972719420366	descriptive_both_positive
ARHGEF38	single_vs_control	B	0.0	0.12372456215269355		zero_no_ratio
ARHGEF38	single_vs_control	E	0.04039432781233086	0.053770446918177756	-0.4126607393756329	descriptive_both_positive
ARHGEF38	single_vs_control	M	0.06305819508402094	0.04440158310292427	0.5060727606932878	descriptive_both_positive
ARHGEF38	dual_vs_control	B	0.03573485942147514	0.12372456215269355	-1.7917279187462924	descriptive_both_positive
ARHGEF38	dual_vs_control	E	0.02529732579439295	0.053770446918177756	-1.0878285785156265	descriptive_both_positive
ARHGEF38	dual_vs_control	M	0.06655368956018194	0.04440158310292427	0.5839075319141684	descriptive_both_positive
ARHGEF38	dual_vs_single	B	0.03573485942147514	0.0		zero_no_ratio
ARHGEF38	dual_vs_single	E	0.02529732579439295	0.04039432781233086	-0.6751678391399938	descriptive_both_positive
ARHGEF38	dual_vs_single	M	0.06655368956018194	0.06305819508402094	0.07783477122088074	descriptive_both_positive
ARPC5	single_vs_control	B	531.8781834454263	560.4104042706255	-0.0753878785248414	descriptive_both_positive
ARPC5	single_vs_control	E	482.5506400461045	486.94516729101775	-0.013078975765856302	descriptive_both_positive
ARPC5	single_vs_control	M	508.52230455590626	579.3296555354044	-0.18807346333550587	descriptive_both_positive
ARPC5	dual_vs_control	B	524.8021454637839	560.4104042706255	-0.0947101223931774	descriptive_both_positive
ARPC5	dual_vs_control	E	491.8812027461765	486.94516729101775	0.01455059744107249	descriptive_both_positive
ARPC5	dual_vs_control	M	444.2236932510277	579.3296555354044	-0.38309817462653706	descriptive_both_positive
ARPC5	dual_vs_single	B	524.8021454637839	531.8781834454263	-0.01932224386833596	descriptive_both_positive
ARPC5	dual_vs_single	E	491.8812027461765	482.5506400461045	0.027629573206928815	descriptive_both_positive
ARPC5	dual_vs_single	M	444.2236932510277	508.52230455590626	-0.19502471129103116	descriptive_both_positive
C7H1orf21	single_vs_control	B	32.00574115930061	24.621187868386016	0.378430350138096	descriptive_both_positive
C7H1orf21	single_vs_control	E	31.28540689065025	33.12259530159749	-0.08232585128096571	descriptive_both_positive
C7H1orf21	single_vs_control	M	23.583764961423835	21.64577176267558	0.12370881194395175	descriptive_both_positive
C7H1orf21	dual_vs_control	B	24.728522719660795	24.621187868386016	0.006275688346782979	descriptive_both_positive
C7H1orf21	dual_vs_control	E	31.24219735607529	33.12259530159749	-0.08431979273848783	descriptive_both_positive
C7H1orf21	dual_vs_control	M	16.74934520597912	21.64577176267558	-0.3699805432315194	descriptive_both_positive
C7H1orf21	dual_vs_single	B	24.728522719660795	32.00574115930061	-0.37215466179131274	descriptive_both_positive
C7H1orf21	dual_vs_single	E	31.24219735607529	31.28540689065025	-0.0019939414575221768	descriptive_both_positive
C7H1orf21	dual_vs_single	M	16.74934520597912	23.583764961423835	-0.49368935517547113	descriptive_both_positive
CD247	single_vs_control	B	212.66349021536388	317.2297773595063	-0.576955824040619	descriptive_both_positive
CD247	single_vs_control	E	317.1762619824219	313.42793508605814	0.01715103178403747	descriptive_both_positive
CD247	single_vs_control	M	202.6690390000433	322.9327139075682	-0.6721078865934342	descriptive_both_positive
CD247	dual_vs_control	B	286.36129597399105	317.2297773595063	-0.1476916846632237	descriptive_both_positive
CD247	dual_vs_control	E	266.9373817824344	313.42793508605814	-0.23163241557058264	descriptive_both_positive
CD247	dual_vs_control	M	150.85502966974573	322.9327139075682	-1.0980707987437395	descriptive_both_positive
CD247	dual_vs_single	B	286.36129597399105	212.66349021536388	0.4292641393773952	descriptive_both_positive
CD247	dual_vs_single	E	266.9373817824344	317.1762619824219	-0.2487834473546201	descriptive_both_positive
CD247	dual_vs_single	M	150.85502966974573	202.6690390000433	-0.42596291215030513	descriptive_both_positive
CD3D	single_vs_control	B	140.06681457427334	184.98884117863565	-0.4013230629587128	descriptive_both_positive
CD3D	single_vs_control	E	159.0324685971466	194.89098485493525	-0.29334601586194076	descriptive_both_positive
CD3D	single_vs_control	M	122.56411184497539	202.89303398881245	-0.7271827298183439	descriptive_both_positive
CD3D	dual_vs_control	B	160.18150735676232	184.98884117863565	-0.2077306466790419	descriptive_both_positive
CD3D	dual_vs_control	E	115.73526550934774	194.89098485493525	-0.7518388241022084	descriptive_both_positive
CD3D	dual_vs_control	M	90.04714197492616	202.89303398881245	-1.171966941322922	descriptive_both_positive
CD3D	dual_vs_single	B	160.18150735676232	140.06681457427334	0.19359241627967078	descriptive_both_positive
CD3D	dual_vs_single	E	115.73526550934774	159.0324685971466	-0.4584928082402676	descriptive_both_positive
CD3D	dual_vs_single	M	90.04714197492616	122.56411184497539	-0.44478421150457803	descriptive_both_positive
CD3E	single_vs_control	B	628.106086514064	827.8616661240313	-0.3983814671715692	descriptive_both_positive
CD3E	single_vs_control	E	672.6261495670274	807.1750639122254	-0.2630767385508669	descriptive_both_positive
CD3E	single_vs_control	M	454.9018193361271	830.3096040246838	-0.8680941811815032	descriptive_both_positive
CD3E	dual_vs_control	B	683.5363910139764	827.8616661240313	-0.27637156869203455	descriptive_both_positive
CD3E	dual_vs_control	E	558.8179267981402	807.1750639122254	-0.5305033029661501	descriptive_both_positive
CD3E	dual_vs_control	M	394.21968782814434	830.3096040246838	-1.0746495575533086	descriptive_both_positive
CD3E	dual_vs_single	B	683.5363910139764	628.106086514064	0.12200989847953468	descriptive_both_positive
CD3E	dual_vs_single	E	558.8179267981402	672.6261495670274	-0.26742656441528306	descriptive_both_positive
CD3E	dual_vs_single	M	394.21968782814434	454.9018193361271	-0.2065553763718055	descriptive_both_positive
CD3G	single_vs_control	B	127.00467994864545	231.1793443823079	-0.8641308410823598	descriptive_both_positive
CD3G	single_vs_control	E	196.61939062652047	239.5204557970228	-0.284743264454896	descriptive_both_positive
CD3G	single_vs_control	M	143.85676238501313	215.50308359004293	-0.583075472151637	descriptive_both_positive
CD3G	dual_vs_control	B	217.44661957967622	231.1793443823079	-0.08835121952594638	descriptive_both_positive
CD3G	dual_vs_control	E	121.60424509364691	239.5204557970228	-0.9779552790646512	descriptive_both_positive
CD3G	dual_vs_control	M	94.19565529084417	215.50308359004293	-1.1939760895147922	descriptive_both_positive
CD3G	dual_vs_single	B	217.44661957967622	127.00467994864545	0.7757796215564133	descriptive_both_positive
CD3G	dual_vs_single	E	121.60424509364691	196.61939062652047	-0.6932120146097551	descriptive_both_positive
CD3G	dual_vs_single	M	94.19565529084417	143.85676238501313	-0.610900617363155	descriptive_both_positive
CD4	single_vs_control	B	63.3618869138321	172.6163849633663	-1.4458822088798433	descriptive_both_positive
CD4	single_vs_control	E	161.6580999049481	223.0935842635195	-0.4647032293415419	descriptive_both_positive
CD4	single_vs_control	M	183.625464084669	297.62381153890135	-0.6967238176147716	descriptive_both_positive
CD4	dual_vs_control	B	126.87661837594749	172.6163849633663	-0.44414318871020836	descriptive_both_positive
CD4	dual_vs_control	E	100.55687003271197	223.0935842635195	-1.1496373753281968	descriptive_both_positive
CD4	dual_vs_control	M	118.99799693360531	297.62381153890135	-1.3225526654092699	descriptive_both_positive
CD4	dual_vs_single	B	126.87661837594749	63.3618869138321	1.001739020169635	descriptive_both_positive
CD4	dual_vs_single	E	100.55687003271197	161.6580999049481	-0.6849341459866547	descriptive_both_positive
CD4	dual_vs_single	M	118.99799693360531	183.625464084669	-0.6258288477944981	descriptive_both_positive
CD8A	single_vs_control	B	318.0910687461374	207.17677932468536	0.6185775522176512	descriptive_both_positive
CD8A	single_vs_control	E	234.95360772042247	152.70806924762482	0.6215996229365102	descriptive_both_positive
CD8A	single_vs_control	M	51.854855757426556	88.1815440424076	-0.7659976472561192	descriptive_both_positive
CD8A	dual_vs_control	B	377.55665721759556	207.17677932468536	0.8658308428498159	descriptive_both_positive
CD8A	dual_vs_control	E	231.92588288299456	152.70806924762482	0.6028875358492339	descriptive_both_positive
CD8A	dual_vs_control	M	50.82483426079227	88.1815440424076	-0.7949431330306866	descriptive_both_positive
CD8A	dual_vs_single	B	377.55665721759556	318.0910687461374	0.24725329063216486	descriptive_both_positive
CD8A	dual_vs_single	E	231.92588288299456	234.95360772042247	-0.01871208708727621	descriptive_both_positive
CD8A	dual_vs_single	M	50.82483426079227	51.854855757426556	-0.02894548577456747	descriptive_both_positive
CD8B	single_vs_control	B	217.0877616208185	133.12762887629827	0.7054683813632866	descriptive_both_positive
CD8B	single_vs_control	E	155.0132329798197	86.7855013259389	0.836865432491491	descriptive_both_positive
CD8B	single_vs_control	M	11.602707895459854	21.690173345778504	-0.9025800352180845	descriptive_both_positive
CD8B	dual_vs_control	B	305.62238520216613	133.12762887629827	1.1989402023523454	descriptive_both_positive
CD8B	dual_vs_control	E	169.59327212561033	86.7855013259389	0.9665529919059447	descriptive_both_positive
CD8B	dual_vs_control	M	10.40456013457511	21.690173345778504	-1.0598256082599964	descriptive_both_positive
CD8B	dual_vs_single	B	305.62238520216613	217.0877616208185	0.4934718209890588	descriptive_both_positive
CD8B	dual_vs_single	E	169.59327212561033	155.0132329798197	0.12968755941445356	descriptive_both_positive
CD8B	dual_vs_single	M	10.40456013457511	11.602707895459854	-0.157245573041912	descriptive_both_positive
CD9	single_vs_control	B	0.33357601866522857	1.670281589061363	-2.324003864077272	descriptive_both_positive
CD9	single_vs_control	E	0.9896610314021062	3.2262268150906652	-1.704841490868943	descriptive_both_positive
CD9	single_vs_control	M	3.9726662902933194	5.483595513211148	-0.4650145473914735	descriptive_both_positive
CD9	dual_vs_control	B	0.7146971884295028	1.670281589061363	-1.2246873260223987	descriptive_both_positive
CD9	dual_vs_control	E	0.6830277964486097	3.2262268150906652	-2.2398316719606766	descriptive_both_positive
CD9	dual_vs_control	M	2.1740871922992766	5.483595513211148	-1.3347123562764573	descriptive_both_positive
CD9	dual_vs_single	B	0.7146971884295028	0.33357601866522857	1.099316538054874	descriptive_both_positive
CD9	dual_vs_single	E	0.6830277964486097	0.9896610314021062	-0.5349901810917334	descriptive_both_positive
CD9	dual_vs_single	M	2.1740871922992766	3.9726662902933194	-0.8696978088849837	descriptive_both_positive
COLGALT2	single_vs_control	B	0.0877831628066391	0.0		zero_no_ratio
COLGALT2	single_vs_control	E	0.04039432781233086	0.2419670111317999	-2.582585740817945	descriptive_both_positive
COLGALT2	single_vs_control	M	0.12611639016804188	0.28861029016900774	-1.1943669574478044	descriptive_both_positive
COLGALT2	dual_vs_control	B	0.05360228913221271	0.0		zero_no_ratio
COLGALT2	dual_vs_control	E	0.0	0.2419670111317999		zero_no_ratio
