sample	run	mode	input_units	unique_pct	assigned_unstranded	assigned_pct	detected_genes
B_B7H3_CAR_T	SRR26729600	paired	100000	92.09	79506	79.506	8832
B_B7H3_CAR_T	SRR26729600	R1	100000	90.52	78120	78.12	8846
B_B7H3_CAR_T	SRR26729600	R2	100000	90.51	78106	78.106	8842
B_BC_CAR_T	SRR26729599	paired	100000	91.88	76483	76.483	9127
B_BC_CAR_T	SRR26729599	R1	100000	90.49	74910	74.91	9135
B_BC_CAR_T	SRR26729599	R2	100000	90.71	74993	74.993	9108
B_T_cell	SRR26729598	paired	100000	91.14	76506	76.506	9117
B_T_cell	SRR26729598	R1	100000	89.89	75217	75.217	9105
B_T_cell	SRR26729598	R2	100000	89.8	75181	75.181	9098
E_B7H3_CAR_T	SRR26729597	paired	100000	93.08	77153	77.153	9086
E_B7H3_CAR_T	SRR26729597	R1	100000	91.62	75457	75.457	9067
E_B7H3_CAR_T	SRR26729597	R2	100000	91.7	75651	75.651	9050
E_BC_CAR_T	SRR26729596	paired	100000	93.04	78793	78.793	8954
E_BC_CAR_T	SRR26729596	R1	100000	91.44	77205	77.205	8946
E_BC_CAR_T	SRR26729596	R2	100000	91.65	77303	77.303	8959
E_T_cell	SRR26729595	paired	100000	93.19	77976	77.976	9266
E_T_cell	SRR26729595	R1	100000	91.49	76174	76.174	9229
E_T_cell	SRR26729595	R2	100000	91.88	76470	76.47	9192
M_B7H3_CAR_T	SRR26729594	paired	100000	88.99	74810	74.81	9258
M_B7H3_CAR_T	SRR26729594	R1	100000	87.63	73431	73.431	9272
M_B7H3_CAR_T	SRR26729594	R2	100000	87.75	73535	73.535	9243
M_BC_CAR_T	SRR26729593	paired	100000	90.7	77402	77.402	9161
M_BC_CAR_T	SRR26729593	R1	100000	89.4	76094	76.094	9168
M_BC_CAR_T	SRR26729593	R2	100000	89.48	76082	76.082	9156
M_T_cell	SRR26729592	paired	100000	89.19	75714	75.714	9165
M_T_cell	SRR26729592	R1	100000	88.07	74720	74.72	9173
M_T_cell	SRR26729592	R2	100000	88.17	74774	74.774	9166
