sample	mode_a	mode_b	genes_nonzero_either	spearman_nonzero_either
B_B7H3_CAR_T	R1	paired	8981	0.982763650343772
B_B7H3_CAR_T	R2	paired	8993	0.9802624255702029
B_B7H3_CAR_T	R1	R2	9085	0.9748531252810992
B_BC_CAR_T	R1	paired	9301	0.9788103019211912
B_BC_CAR_T	R2	paired	9291	0.9803100499275313
B_BC_CAR_T	R1	R2	9397	0.9699072400400068
B_T_cell	R1	paired	9288	0.9753604900085169
B_T_cell	R2	paired	9289	0.9750582744935259
B_T_cell	R1	R2	9380	0.9657431142689424
E_B7H3_CAR_T	R1	paired	9258	0.9792617695545479
E_B7H3_CAR_T	R2	paired	9240	0.9807557747527997
E_B7H3_CAR_T	R1	R2	9353	0.970706058078205
E_BC_CAR_T	R1	paired	9100	0.9816091849157074
E_BC_CAR_T	R2	paired	9101	0.9811884864895625
E_BC_CAR_T	R1	R2	9195	0.9723543836395682
E_T_cell	R1	paired	9433	0.9772900177493354
E_T_cell	R2	paired	9395	0.9796499697476704
E_T_cell	R1	R2	9495	0.9685538039101028
M_B7H3_CAR_T	R1	paired	9440	0.9770328067326608
M_B7H3_CAR_T	R2	paired	9413	0.9762211430457106
M_B7H3_CAR_T	R1	R2	9525	0.968007613593482
M_BC_CAR_T	R1	paired	9324	0.9787144645965171
M_BC_CAR_T	R2	paired	9323	0.9784616204338643
M_BC_CAR_T	R1	R2	9419	0.9711332218933054
M_T_cell	R1	paired	9336	0.9772431374845139
M_T_cell	R2	paired	9316	0.9784709031358864
M_T_cell	R1	R2	9426	0.9700192943768584
