chrom	start0	end0	bases	relation_to_catalogued_span	GC_fraction_canonical	canonical_fraction	N_bases	MAPQ_min	exclude_marked_duplicates	aligned_read_bases	mean_read_base_depth
NC_049253.1	0	100000	100000	outside	0.5621021021021021	0.999	100	20	False	390382	3.90382
NC_049253.1	100000	200000	100000	outside	0.5640840840840841	0.999	100	20	False	589738	5.89738
NC_049253.1	200000	300000	100000	outside	0.56462	1.0	0	20	False	1770486	17.70486
NC_049253.1	300000	400000	100000	outside	0.56495	1.0	0	20	False	2139808	21.39808
NC_049253.1	400000	500000	100000	outside	0.56409	1.0	0	20	False	2038337	20.38337
NC_049253.1	500000	600000	100000	outside	0.56501	1.0	0	20	False	2005498	20.05498
NC_049253.1	600000	700000	100000	outside	0.56518	1.0	0	20	False	1536365	15.36365
NC_049253.1	700000	800000	100000	outside	0.40063	1.0	0	20	False	1782494	17.82494
NC_049253.1	800000	900000	100000	outside	0.38055	1.0	0	20	False	2264583	22.64583
NC_049253.1	900000	1000000	100000	outside	0.47535	1.0	0	20	False	2140855	21.40855
NC_049253.1	1000000	1100000	100000	outside	0.42716	1.0	0	20	False	4377275	43.77275
NC_049253.1	1100000	1200000	100000	outside	0.38277	1.0	0	20	False	2230998	22.30998
NC_049253.1	1200000	1300000	100000	outside	0.37886	1.0	0	20	False	2305370	23.0537
NC_049253.1	1300000	1400000	100000	outside	0.38328	1.0	0	20	False	2238153	22.38153
NC_049253.1	1400000	1500000	100000	outside	0.38058	1.0	0	20	False	2362212	23.62212
NC_049253.1	1500000	1600000	100000	outside	0.38373	1.0	0	20	False	2349438	23.49438
NC_049253.1	1600000	1700000	100000	outside	0.36431	1.0	0	20	False	2319472	23.19472
NC_049253.1	1700000	1800000	100000	outside	0.37111	1.0	0	20	False	2283112	22.83112
NC_049253.1	1800000	1900000	100000	outside	0.39807	1.0	0	20	False	2357801	23.57801
NC_049253.1	1900000	2000000	100000	outside	0.39278	1.0	0	20	False	2272303	22.72303
NC_049253.1	2000000	2100000	100000	outside	0.37859	1.0	0	20	False	2207154	22.07154
NC_049253.1	2100000	2200000	100000	outside	0.36338	1.0	0	20	False	2387476	23.87476
NC_049253.1	2200000	2300000	100000	outside	0.38275	1.0	0	20	False	2318508	23.18508
NC_049253.1	2300000	2400000	100000	outside	0.36117	1.0	0	20	False	2391318	23.91318
NC_049253.1	2400000	2500000	100000	outside	0.35713	1.0	0	20	False	2336041	23.36041
NC_049253.1	2500000	2600000	100000	outside	0.36732	1.0	0	20	False	2323695	23.23695
NC_049253.1	2600000	2700000	100000	outside	0.36123	1.0	0	20	False	2301063	23.01063
NC_049253.1	2700000	2800000	100000	outside	0.34445	1.0	0	20	False	2265518	22.65518
NC_049253.1	2800000	2900000	100000	outside	0.35514	1.0	0	20	False	2296636	22.96636
NC_049253.1	2900000	3000000	100000	outside	0.3456	1.0	0	20	False	2114492	21.14492
NC_049253.1	3000000	3100000	100000	outside	0.33833	1.0	0	20	False	2243441	22.43441
NC_049253.1	3100000	3200000	100000	outside	0.35052	1.0	0	20	False	2253031	22.53031
NC_049253.1	3200000	3300000	100000	outside	0.32982	1.0	0	20	False	2187928	21.87928
NC_049253.1	3300000	3400000	100000	outside	0.36011	1.0	0	20	False	2290451	22.90451
NC_049253.1	3400000	3500000	100000	outside	0.34493	1.0	0	20	False	2157147	21.57147
NC_049253.1	3500000	3600000	100000	outside	0.34689	1.0	0	20	False	2228448	22.28448
NC_049253.1	3600000	3700000	100000	outside	0.34545	1.0	0	20	False	2205574	22.05574
NC_049253.1	3700000	3800000	100000	outside	0.35614	1.0	0	20	False	2250705	22.50705
NC_049253.1	3800000	3900000	100000	outside	0.34328	1.0	0	20	False	2242607	22.42607
NC_049253.1	3900000	4000000	100000	outside	0.3366	1.0	0	20	False	2272095	22.72095
NC_049253.1	4000000	4100000	100000	outside	0.32757	1.0	0	20	False	2185300	21.853
NC_049253.1	4100000	4200000	100000	outside	0.33096	1.0	0	20	False	2217282	22.17282
NC_049253.1	4200000	4300000	100000	outside	0.33876	1.0	0	20	False	2231468	22.31468
NC_049253.1	4300000	4400000	100000	outside	0.34173	1.0	0	20	False	2182937	21.82937
NC_049253.1	4400000	4500000	100000	outside	0.33427	1.0	0	20	False	2136097	21.36097
NC_049253.1	4500000	4600000	100000	outside	0.34638	1.0	0	20	False	2024516	20.24516
NC_049253.1	4600000	4700000	100000	outside	0.33446	1.0	0	20	False	2172431	21.72431
NC_049253.1	4700000	4800000	100000	crosses_catalogue_boundary	0.33219	1.0	0	20	False	1785021	17.85021
NC_049253.1	4800000	4900000	100000	inside	0.34209209209209207	0.999	100	20	False	527920	5.2792
NC_049253.1	4900000	5000000	100000	inside	0.34663	1.0	0	20	False	2170568	21.70568
NC_049253.1	5000000	5100000	100000	inside	0.33749	1.0	0	20	False	2127129	21.27129
NC_049253.1	5100000	5200000	100000	inside	0.34961	1.0	0	20	False	2088978	20.88978
NC_049253.1	5200000	5300000	100000	inside	0.32868	1.0	0	20	False	2299828	22.99828
NC_049253.1	5300000	5400000	100000	inside	0.33703	1.0	0	20	False	2286583	22.86583
NC_049253.1	5400000	5500000	100000	inside	0.3483	1.0	0	20	False	2236089	22.36089
NC_049253.1	5500000	5600000	100000	inside	0.35423	1.0	0	20	False	2316822	23.16822
NC_049253.1	5600000	5700000	100000	inside	0.36366	1.0	0	20	False	2339761	23.39761
NC_049253.1	5700000	5800000	100000	inside	0.37139	1.0	0	20	False	2231464	22.31464
NC_049253.1	5800000	5900000	100000	inside	0.35618	1.0	0	20	False	2277098	22.77098
NC_049253.1	5900000	6000000	100000	inside	0.34017	1.0	0	20	False	2321090	23.2109
NC_049253.1	6000000	6100000	100000	inside	0.35335	1.0	0	20	False	2337715	23.37715
NC_049253.1	6100000	6200000	100000	inside	0.3687	1.0	0	20	False	2307490	23.0749
NC_049253.1	6200000	6300000	100000	inside	0.36326	1.0	0	20	False	2257570	22.5757
NC_049253.1	6300000	6400000	100000	inside	0.36984	1.0	0	20	False	2352575	23.52575
NC_049253.1	6400000	6500000	100000	inside	0.35272	1.0	0	20	False	2362021	23.62021
NC_049253.1	6500000	6600000	100000	inside	0.35048	1.0	0	20	False	2395238	23.95238
NC_049253.1	6600000	6700000	100000	inside	0.35767	1.0	0	20	False	2310901	23.10901
NC_049253.1	6700000	6800000	100000	inside	0.37762	1.0	0	20	False	2342020	23.4202
NC_049253.1	6800000	6900000	100000	inside	0.35588	1.0	0	20	False	2303182	23.03182
NC_049253.1	6900000	7000000	100000	inside	0.36648	1.0	0	20	False	2306730	23.0673
NC_049253.1	7000000	7100000	100000	inside	0.36826	1.0	0	20	False	2257660	22.5766
NC_049253.1	7100000	7200000	100000	inside	0.3558	1.0	0	20	False	2367265	23.67265
NC_049253.1	7200000	7300000	100000	inside	0.37374	1.0	0	20	False	2231887	22.31887
NC_049253.1	7300000	7400000	100000	inside	0.39288	1.0	0	20	False	2263590	22.6359
NC_049253.1	7400000	7500000	100000	inside	0.3786	1.0	0	20	False	2254883	22.54883
NC_049253.1	7500000	7600000	100000	inside	0.39412	1.0	0	20	False	2268365	22.68365
NC_049253.1	7600000	7700000	100000	inside	0.39189	1.0	0	20	False	2335583	23.35583
NC_049253.1	7700000	7800000	100000	inside	0.37388	1.0	0	20	False	2334145	23.34145
NC_049253.1	7800000	7900000	100000	inside	0.3641	1.0	0	20	False	2361837	23.61837
NC_049253.1	7900000	8000000	100000	inside	0.36609	1.0	0	20	False	2294316	22.94316
