chrom	start	end	mapq	has_secondary	has_supplementary	has_xa	n_alignments	low_mappability
NC_051805.1	5377330	5428711	60	False	False	False	1	False
NC_051805.1	7072137	7132579	60	False	False	False	1	False
NC_051805.1	12686627	12749345	60	False	False	False	1	False
NC_051805.1	15464961	15523285	60	False	False	False	1	False
NC_051805.1	16284172	16340519	60	False	False	False	1	False
NC_051805.1	23540619	23593624	60	False	False	False	1	False
NC_051805.1	26121059	26180255	60	False	False	False	1	False
NC_051805.1	29601219	29667821	60	False	False	False	1	False
NC_051805.1	30822469	30875140	60	False	False	False	1	False
NC_051805.1	32197089	32249732	60	False	False	False	1	False
NC_051805.1	48451052	48513492	60	False	False	False	1	False
NC_051805.1	54446758	54504939	60	False	False	False	1	False
NC_051805.1	55288363	55358132	60	False	False	False	1	False
NC_051805.1	55810634	55864353	60	False	False	False	1	False
NC_051805.1	60400908	60462010	60	False	False	False	1	False
NC_051805.1	65127836	65201393	60	False	False	False	1	False
NC_051805.1	68528776	68579924	60	False	False	False	1	False
NC_051805.1	71035668	71094862	60	False	False	False	1	False
NC_051805.1	75730614	75782632	60	False	False	False	1	False
NC_051805.1	76492055	76558248	60	False	False	False	1	False
NC_051805.1	78699957	78766843	60	False	False	False	1	False
NC_051805.1	84616059	84680359	60	False	False	False	1	False
NC_051805.1	85740590	85790734	60	False	False	False	1	False
NC_051805.1	86132349	86196873	60	False	False	False	1	False
NC_051805.1	87683331	87744102	60	False	False	False	1	False
NC_051805.1	91186888	91251253	60	False	False	False	1	False
NC_051805.1	97204375	97272513	60	False	False	False	1	False
NC_051805.1	102569417	102626167	60	False	False	False	1	False
NC_051805.1	118762948	118834530	60	False	False	False	1	False
NC_051805.1	120003827	120058858	60	False	False	False	1	False
NC_051806.1	2276949	2331192	60	False	False	False	1	False
NC_051806.1	5490645	5562196	60	False	False	False	1	False
NC_051806.1	9925163	9998285	60	False	False	False	1	False
NC_051806.1	13354030	13405141	60	False	False	False	1	False
NC_051806.1	17055808	17110317	60	False	False	False	1	False
NC_051806.1	23362298	23415104	60	False	False	False	1	False
NC_051806.1	25264511	25315271	60	False	False	False	1	False
NC_051806.1	29613097	29682625	60	False	False	False	1	False
NC_051806.1	31421264	31473494	60	False	False	False	1	False
NC_051806.1	37763146	37815322	60	False	False	False	1	False
NC_051806.1	38503041	38573083	60	False	False	False	1	False
NC_051806.1	39071176	39129828	60	False	False	False	1	False
NC_051806.1	39159547	39230847	60	False	False	False	1	False
NC_051806.1	55898984	55971473	60	False	False	False	1	False
NC_051806.1	61050066	61110203	60	False	False	False	1	False
NC_051806.1	62723085	62783656	60	False	False	False	1	False
NC_051806.1	63630965	63704659	60	False	False	False	1	False
NC_051806.1	77425724	77486897	60	False	False	False	1	False
NC_051806.1	80612441	80666392	60	False	False	False	1	False
NC_051806.1	84152591	84202660	60	False	False	False	1	False
NC_051806.1	84303869	84363723	60	False	False	False	1	False
NC_051807.1	9691905	9747134	60	False	False	False	1	False
NC_051807.1	10779807	10837318	60	False	False	False	1	False
NC_051807.1	21623166	21678171	60	False	False	False	1	False
NC_051807.1	22304729	22367018	60	False	False	False	1	False
NC_051807.1	25390804	25445201	60	False	False	False	1	False
NC_051807.1	31153307	31211185	60	False	False	False	1	False
NC_051807.1	32087727	32156058	60	False	False	False	1	False
NC_051807.1	34846149	34921008	60	False	False	False	1	False
NC_051807.1	35803900	35876584	60	False	False	False	1	False
NC_051807.1	44207725	44265967	60	False	False	False	1	False
NC_051807.1	50781019	50831091	60	False	False	False	1	False
NC_051807.1	56269278	56323122	60	False	False	False	1	False
NC_051807.1	60928139	60979861	60	False	False	False	1	False
NC_051807.1	67665045	67732484	60	False	False	False	1	False
NC_051807.1	72901974	72956918	60	False	False	False	1	False
NC_051807.1	73210443	73261055	60	False	False	False	1	False
NC_051807.1	74470819	74522415	60	False	False	False	1	False
NC_051807.1	76113264	76180116	60	False	False	False	1	False
NC_051807.1	76613649	76664485	60	False	False	False	1	False
NC_051807.1	77813684	77865855	60	False	False	False	1	False
NC_051807.1	81859047	81912809	60	False	False	False	1	False
NC_051807.1	85288823	85342443	60	False	False	False	1	False
NC_051808.1	1943254	2003893	60	False	False	False	1	False
NC_051808.1	4984288	5034699	60	False	False	False	1	False
NC_051808.1	5485501	5546210	60	False	False	False	1	False
