# ucsc	assembly	genbank	refseq
chr1	1	CM000001.4	NC_006583.4
chr10	10	CM000010.4	NC_006592.4
chr11	11	CM000011.4	NC_006593.4
chr12	12	CM000012.4	NC_006594.4
chr13	13	CM000013.4	NC_006595.4
chr14	14	CM000014.4	NC_006596.4
chr15	15	CM000015.4	NC_006597.4
chr16	16	CM000016.4	NC_006598.4
chr17	17	CM000017.4	NC_006599.4
chr18	18	CM000018.4	NC_006600.4
chr19	19	CM000019.4	NC_006601.4
chr2	2	CM000002.4	NC_006584.4
chr20	20	CM000020.4	NC_006602.4
chr21	21	CM000021.4	NC_006603.4
chr22	22	CM000022.4	NC_006604.4
chr23	23	CM000023.4	NC_006605.4
chr24	24	CM000024.4	NC_006606.4
chr25	25	CM000025.4	NC_006607.4
chr26	26	CM000026.4	NC_006608.4
chr27	27	CM000027.5	NC_006609.4
chr28	28	CM000028.4	NC_006610.4
chr29	29	CM000029.4	NC_006611.4
chr3	3	CM000003.4	NC_006585.4
chr30	30	CM000030.4	NC_006612.4
chr31	31	CM000031.4	NC_006613.4
chr32	32	CM000032.5	NC_006614.4
chr33	33	CM000033.4	NC_006615.4
chr34	34	CM000034.4	NC_006616.4
chr35	35	CM000035.4	NC_006617.4
chr36	36	CM000036.4	NC_006618.4
chr37	37	CM000037.4	NC_006619.4
chr38	38	CM000038.4	NC_006620.4
chr4	4	CM000004.4	NC_006586.4
chr5	5	CM000005.4	NC_006587.4
chr6	6	CM000006.4	NC_006588.4
chr7	7	CM000007.4	NC_006589.4
chr8	8	CM000008.4	NC_006590.4
chr9	9	CM000009.4	NC_006591.4
chrM	MT	U96639.2	NC_002008.4
chrUn_NW_023329667v1	chrUn10	AAEX04000040.1	NW_023329667.1
chrUn_NW_023329668v1	chrUn100	AAEX04000072.1	NW_023329668.1
chrUn_NW_023329669v1	chrUn101	AAEX04000073.1	NW_023329669.1
chrUn_NW_023329670v1	chrUn103	AAEX04000074.1	NW_023329670.1
chrUn_NW_023329671v1	chrUn105	AAEX04000075.1	NW_023329671.1
chrUn_NW_023329672v1	chrUn106	AAEX04000076.1	NW_023329672.1
chrUn_NW_023329673v1	chrUn107	AAEX04000077.1	NW_023329673.1
chrUn_NW_023329674v1	chrUn108	AAEX04000078.1	NW_023329674.1
chrUn_NW_023329675v1	chrUn111	AAEX04000079.1	NW_023329675.1
chrUn_NW_023329676v1	chrUn112	AAEX04000080.1	NW_023329676.1
chrUn_NW_023329677v1	chrUn113	AAEX04000081.1	NW_023329677.1
chrUn_NW_023329678v1	chrUn114	AAEX04000082.1	NW_023329678.1
chrUn_NW_023329679v1	chrUn118	AAEX04000083.1	NW_023329679.1
chrUn_NW_023329680v1	chrUn120	AAEX04000084.1	NW_023329680.1
chrUn_NW_023329681v1	chrUn121	AAEX04000085.1	NW_023329681.1
chrUn_NW_023329682v1	chrUn122	AAEX04000086.1	NW_023329682.1
chrUn_NW_023329683v1	chrUn123	AAEX04000087.1	NW_023329683.1
chrUn_NW_023329684v1	chrUn124	AAEX04000088.1	NW_023329684.1
chrUn_NW_023329685v1	chrUn125	AAEX04000089.1	NW_023329685.1
chrUn_NW_023329686v1	chrUn126	AAEX04000090.1	NW_023329686.1
chrUn_NW_023329687v1	chrUn127	AAEX04000091.1	NW_023329687.1
chrUn_NW_023329688v1	chrUn128	AAEX04000092.1	NW_023329688.1
chrUn_NW_023329689v1	chrUn130	AAEX04000093.1	NW_023329689.1
chrUn_NW_023329690v1	chrUn132	AAEX04000094.1	NW_023329690.1
chrUn_NW_023329691v1	chrUn133	AAEX04000095.1	NW_023329691.1
chrUn_NW_023329692v1	chrUn135	AAEX04000096.1	NW_023329692.1
chrUn_NW_023329693v1	chrUn136	AAEX04000097.1	NW_023329693.1
chrUn_NW_023329694v1	chrUn137	AAEX04000098.1	NW_023329694.1
chrUn_NW_023329695v1	chrUn141	AAEX04000099.1	NW_023329695.1
chrUn_NW_023329696v1	chrUn142	AAEX04000100.1	NW_023329696.1
chrUn_NW_023329697v1	chrUn145	AAEX04000101.1	NW_023329697.1
chrUn_NW_023329698v1	chrUn148	AAEX04000102.1	NW_023329698.1
chrUn_NW_023329699v1	chrUn149	AAEX04000103.1	NW_023329699.1
chrUn_NW_023329700v1	chrUn152	AAEX04000104.1	NW_023329700.1
chrUn_NW_023329701v1	chrUn153	AAEX04000105.1	NW_023329701.1
chrUn_NW_023329702v1	chrUn154	AAEX04000106.1	NW_023329702.1
chrUn_NW_023329703v1	chrUn155	AAEX04000107.1	NW_023329703.1
chrUn_NW_023329704v1	chrUn156	AAEX04000108.1	NW_023329704.1
chrUn_NW_023329705v1	chrUn157	AAEX04000109.1	NW_023329705.1
chrUn_NW_023329706v1	chrUn160	AAEX04000110.1	NW_023329706.1
chrUn_NW_023329707v1	chrUn161	AAEX04000111.1	NW_023329707.1
chrUn_NW_023329708v1	chrUn162	AAEX04000112.1	NW_023329708.1
chrUn_NW_023329709v1	chrUn163	AAEX04000113.1	NW_023329709.1
chrUn_NW_023329710v1	chrUn167	AAEX04000114.1	NW_023329710.1
chrUn_NW_023329711v1	chrUn168	AAEX04000115.1	NW_023329711.1
chrUn_NW_023329712v1	chrUn169	AAEX04000116.1	NW_023329712.1
chrUn_NW_023329713v1	chrUn171	AAEX04000117.1	NW_023329713.1
chrUn_NW_023329714v1	chrUn172	AAEX04000118.1	NW_023329714.1
chrUn_NW_023329715v1	chrUn173	AAEX04000119.1	NW_023329715.1
chrUn_NW_023329716v1	chrUn174	AAEX04000120.1	NW_023329716.1
chrUn_NW_023329717v1	chrUn177	AAEX04000121.1	NW_023329717.1
chrUn_NW_023329718v1	chrUn178	AAEX04000122.1	NW_023329718.1
chrUn_NW_023329719v1	chrUn179	AAEX04000123.1	NW_023329719.1
chrUn_NW_023329720v1	chrUn180	AAEX04000124.1	NW_023329720.1
chrUn_NW_023329721v1	chrUn181	AAEX04000125.1	NW_023329721.1
chrUn_NW_023329722v1	chrUn182	AAEX04000126.1	NW_023329722.1
chrUn_NW_023329723v1	chrUn183	AAEX04000127.1	NW_023329723.1
chrUn_NW_023329724v1	chrUn184	AAEX04000128.1	NW_023329724.1
chrUn_NW_023329725v1	chrUn185	AAEX04000129.1	NW_023329725.1
chrUn_NW_023329726v1	chrUn189	AAEX04000130.1	NW_023329726.1
chrUn_NW_023329727v1	chrUn19	AAEX04000041.1	NW_023329727.1
chrUn_NW_023329728v1	chrUn190	AAEX04000131.1	NW_023329728.1
chrUn_NW_023329729v1	chrUn193	AAEX04000132.1	NW_023329729.1
chrUn_NW_023329730v1	chrUn194	AAEX04000133.1	NW_023329730.1
chrUn_NW_023329731v1	chrUn197	AAEX04000134.1	NW_023329731.1
chrUn_NW_023329732v1	chrUn199	AAEX04000135.1	NW_023329732.1
chrUn_NW_023329733v1	chrUn200	AAEX04000136.1	NW_023329733.1
chrUn_NW_023329734v1	chrUn201	AAEX04000137.1	NW_023329734.1
chrUn_NW_023329735v1	chrUn203	AAEX04000138.1	NW_023329735.1
chrUn_NW_023329736v1	chrUn204	AAEX04000139.1	NW_023329736.1
chrUn_NW_023329737v1	chrUn205	AAEX04000140.1	NW_023329737.1
chrUn_NW_023329738v1	chrUn206	AAEX04000141.1	NW_023329738.1
chrUn_NW_023329739v1	chrUn207	AAEX04000142.1	NW_023329739.1
chrUn_NW_023329740v1	chrUn209	AAEX04000143.1	NW_023329740.1
chrUn_NW_023329741v1	chrUn210	AAEX04000144.1	NW_023329741.1
chrUn_NW_023329742v1	chrUn211	AAEX04000145.1	NW_023329742.1
chrUn_NW_023329743v1	chrUn24	AAEX04000042.1	NW_023329743.1
chrUn_NW_023329744v1	chrUn28	AAEX04000043.1	NW_023329744.1
chrUn_NW_023329745v1	chrUn32	AAEX04000044.1	NW_023329745.1
chrUn_NW_023329746v1	chrUn40	AAEX04000045.1	NW_023329746.1
chrUn_NW_023329747v1	chrUn42	AAEX04000046.1	NW_023329747.1
chrUn_NW_023329748v1	chrUn43	AAEX04000047.1	NW_023329748.1
chrUn_NW_023329749v1	chrUn56	AAEX04000048.1	NW_023329749.1
chrUn_NW_023329750v1	chrUn57	AAEX04000049.1	NW_023329750.1
