id	chrom	start0	end0	atac_mean	atac_percentile	GC	GC_distance_w01	coding_TSS_distance	miRNA_distance	risk_gene_distance	screen_flags	stage	pending
bg1k_2054	NC_051826.1	46097112	46098112	0.9188145959973335	23.527431841130934	0.339	0.07199999999999995	156889	3217091	1794465		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0567	NC_051823.1	3770399	3771399	1.0287606527805329	60.68663749579266	0.452	0.041000000000000036	77819	9963021	469808		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_2848	NC_051840.1	28808728	28809728	0.8909203255772591	15.213732749915854	0.359	0.05199999999999999	140510	7548721	3788526		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0045	NC_051825.1	9610913	9611913	0.9134818447263617	21.743520700100976	0.373	0.03799999999999998	245325	3146107	3150415		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_2865	NC_051815.1	42906991	42907991	0.9617757417559624	38.640188488724334	0.405	0.00599999999999995	401519	1060321	699841		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0442	NC_051837.1	10430486	10431486	0.8479521748423576	7.0346684617973745	0.317	0.09399999999999997	710285	8320858	986558		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_2901	NC_051831.1	27679801	27680801	0.9187100813984871	23.493773140356783	0.325	0.08599999999999997	170394	10753474	2797966		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0202	NC_051816.1	30227611	30228611	0.9285530526041984	26.35476270615954	0.363	0.04799999999999999	973925	4069545	2639003		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0334	NC_051825.1	16855903	16856903	1.0109108077287674	56.0753954897341	0.374	0.03699999999999998	311532	2881961	903510		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_2545	NC_051839.1	1367230	1368230	1.0174210676550866	57.5563783237967	0.399	0.011999999999999955	326530		344049		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
