sample	cohort	genes	chrom	start	end	cpm_mean	raw_to_genome_mean_ratio	gate_fraction	has_peak_overlap
SRR27376618	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.06500394500792027	2.59760410875314	0.449	False
SRR27376618	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.11936525987088681	4.769921109329946	0.544	False
SRR27376618	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.052170125767588615	2.084755518015782	0.375	False
SRR27376618	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.02611765303134121	1.0436800846000132	0.18561746325147435	False
SRR27376618	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.035935001002059305	1.4359883271642058	0.2599035673666843	False
SRR27376618	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.021633656445639096	0.8644963757768689	0.1628296650550678	False
SRR27376619	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.08325812201946974	3.293653242373271	0.649	False
SRR27376619	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.027781196497380735	1.0990114321724618	0.25	False
SRR27376619	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.02350719179958105	0.9299337603564364	0.275	False
SRR27376619	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.012602766464397884	0.49855967948244606	0.11398644485520641	False
SRR27376619	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.02420355825742655	0.9574816990575573	0.21306485975619524	False
SRR27376619	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.018388787763541085	0.7274520367699109	0.1649416159042117	True
SRR27376620	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.053409823402762416	2.1341235324897108	0.45	False
SRR27376620	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.06898768432438374	2.7565760601452216	0.475	False
SRR27376620	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.04922608901560307	1.966951925461679	0.364	False
SRR27376620	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.02323153783932778	0.9282743967333602	0.2112490097702667	False
SRR27376620	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.025348710622473465	1.0128713485859335	0.2222756179217326	False
SRR27376620	original71	NPNT/TBCK_region	NC_051836.1	27013911	27071204	0.026496869862873407	1.0587489324810397	0.2282826872392788	False
SRR27376621	original71	ANO2/NTF3	NC_051831.1	39728324	39729324	0.017059183456003667	0.674727130090076	0.249	False
SRR27376621	original71	LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	0.04770263417810201	1.886741035392299	0.575	False
SRR27376621	original71	NPNT/TBCK	NC_051836.1	27057411	27058411	0.028221385404467583	1.116216050447654	0.336	False
SRR27376621	original71	LOC119876429/LOC119872513_region	NC_051811.1	17217706	17274511	0.02192089116239661	0.8670180504926506	0.2807851421529795	False
SRR27376621	original71	ANO2/NTF3_region	NC_051831.1	39677324	39739751	0.02983579764807912	1.1800695017411234	0.36762939112883847	False
