gene	scope	model	bp	observed_fraction	mean	max50bp_mean	fraction_observed_ge2
LOC119876429	region	pilot	56805	0.9989085467828536	0.27962261424316653	4.013520000000001	0.062633276351268
LOC119876429	region	published	56805	0.9989085467828536	0.04268813774386268	3.2294800000000006	0.029642422853920308
ANO2	region	pilot	62427	0.9983660915949829	0.27473830726032894	5.1012200000000005	0.06923385479342158
ANO2	region	published	62427	0.9983660915949829	0.02725253108704371	4.3769	0.0371760930605696
NPNT	region	pilot	57293	0.9993192885692842	0.1954183987145003	4.2259199999999995	0.05403989240926398
NPNT	region	published	57293	0.9993192885692842	-0.008329618891256508	3.26356	0.027247004576099486
LOC119876429	previous_selected_1kb	pilot	1000	1.0	0.2901990000000001	0.97258	0.083
LOC119876429	previous_selected_1kb	published	1000	1.0	-0.035352	0.6249399999999999	0.029
ANO2	previous_selected_1kb	pilot	1000	1.0	0.41943199999999997	1.99976	0.104
ANO2	previous_selected_1kb	published	1000	1.0	0.04605499999999998	1.4749600000000003	0.045
NPNT	previous_selected_1kb	pilot	1000	1.0	0.367814	1.5662800000000001	0.113
NPNT	previous_selected_1kb	published	1000	1.0	0.026737999999999977	1.09474	0.056
