genes	tissue_code	state	overlap_bp	canfam3_chrom	annotation_start	annotation_end
ANO2/NTF3	CL	13	1000	chr27	39370800	39378800
NPNT/TBCK	CL	13	1000	chr32	26815000	26873200
LOC119876429/LOC119872513	CL	13	1000	chr7	17500200	17531800
ANO2/NTF3	CO	13	1000	chr27	39356400	39423600
NPNT/TBCK	CO	13	1000	chr32	26732400	27056200
LOC119876429/LOC119872513	CO	13	1000	chr7	17480200	17527200
ANO2/NTF3	CR	13	1000	chr27	39371400	39375400
NPNT/TBCK	CR	13	1000	chr32	26812400	27061200
LOC119876429/LOC119872513	CR	13	1000	chr7	17480400	17554400
ANO2/NTF3	KI	9	651	chr27	39371600	39372400
ANO2/NTF3	KI	13	349	chr27	39372400	39374000
NPNT/TBCK	KI	5	462	chr32	26825200	26825800
NPNT/TBCK	KI	6	200	chr32	26825800	26826000
NPNT/TBCK	KI	13	338	chr32	26826000	26826600
LOC119876429/LOC119872513	KI	13	1000	chr7	17490200	17515200
ANO2/NTF3	LI	13	1000	chr27	39332400	39418200
NPNT/TBCK	LI	13	1000	chr32	26797400	26862200
LOC119876429/LOC119872513	LI	13	1000	chr7	17477400	17552600
ANO2/NTF3	LU	7	451	chr27	39371400	39372200
ANO2/NTF3	LU	13	549	chr27	39372200	39389800
NPNT/TBCK	LU	13	1000	chr32	26806000	26827400
LOC119876429/LOC119872513	LU	13	1000	chr7	17477400	17522400
ANO2/NTF3	MG	13	651	chr27	39366600	39372400
ANO2/NTF3	MG	7	349	chr27	39372400	39373000
NPNT/TBCK	MG	13	1000	chr32	26814600	26832600
LOC119876429/LOC119872513	MG	13	1000	chr7	17500000	17530000
ANO2/NTF3	OV	13	1000	chr27	39336800	39453000
NPNT/TBCK	OV	13	1000	chr32	26773800	26828800
LOC119876429/LOC119872513	OV	13	1000	chr7	17479200	17554400
ANO2/NTF3	PA	13	1000	chr27	39367400	39416600
NPNT/TBCK	PA	13	1000	chr32	26721000	27049800
LOC119876429/LOC119872513	PA	13	1000	chr7	17486800	17540200
ANO2/NTF3	SP	13	1000	chr27	39307200	39384800
NPNT/TBCK	SP	13	1000	chr32	26797400	26922400
LOC119876429/LOC119872513	SP	13	1000	chr7	17487000	17553800
ANO2/NTF3	ST	13	1000	chr27	39366800	39409400
NPNT/TBCK	ST	13	1000	chr32	26823400	26836200
LOC119876429/LOC119872513	ST	13	1000	chr7	17388800	17518200
