tile_id	window_id	chrom	start	end	length	mapq	correct_exact_self_alignment	other_alignment_reported	passes_remap_proxy
0	w00	NC_051811.1	17234956	17235056	100	60	True	False	True
1	w00	NC_051811.1	17234981	17235081	100	60	True	False	True
2	w00	NC_051811.1	17235006	17235106	100	60	True	False	True
3	w00	NC_051811.1	17235031	17235131	100	60	True	False	True
4	w00	NC_051811.1	17235056	17235156	100	60	True	False	True
5	w00	NC_051811.1	17235081	17235181	100	60	True	False	True
6	w00	NC_051811.1	17235106	17235206	100	60	True	False	True
7	w00	NC_051811.1	17235131	17235231	100	60	True	False	True
8	w00	NC_051811.1	17235156	17235256	100	60	True	False	True
9	w00	NC_051811.1	17235181	17235281	100	60	True	False	True
10	w00	NC_051811.1	17235206	17235306	100	60	True	False	True
11	w00	NC_051811.1	17235231	17235331	100	60	True	False	True
12	w00	NC_051811.1	17235256	17235356	100	60	True	False	True
13	w00	NC_051811.1	17235281	17235381	100	60	True	False	True
14	w00	NC_051811.1	17235306	17235406	100	60	True	False	True
15	w00	NC_051811.1	17235331	17235431	100	60	True	False	True
16	w00	NC_051811.1	17235356	17235456	100	60	True	False	True
17	w00	NC_051811.1	17235381	17235481	100	60	True	False	True
18	w00	NC_051811.1	17235406	17235506	100	60	True	False	True
19	w00	NC_051811.1	17235431	17235531	100	60	True	False	True
20	w00	NC_051811.1	17235456	17235556	100	60	True	False	True
21	w00	NC_051811.1	17235481	17235581	100	60	True	False	True
22	w00	NC_051811.1	17235506	17235606	100	60	True	False	True
23	w00	NC_051811.1	17235531	17235631	100	60	True	False	True
24	w00	NC_051811.1	17235556	17235656	100	60	True	False	True
25	w00	NC_051811.1	17235581	17235681	100	60	True	False	True
26	w00	NC_051811.1	17235606	17235706	100	60	True	False	True
27	w00	NC_051811.1	17235631	17235731	100	60	True	False	True
28	w00	NC_051811.1	17235656	17235756	100	60	True	False	True
29	w00	NC_051811.1	17235681	17235781	100	60	True	False	True
30	w00	NC_051811.1	17235706	17235806	100	60	True	False	True
31	w00	NC_051811.1	17235731	17235831	100	60	True	False	True
32	w00	NC_051811.1	17235756	17235856	100	60	True	False	True
33	w00	NC_051811.1	17235781	17235881	100	60	True	False	True
34	w00	NC_051811.1	17235806	17235906	100	60	True	False	True
35	w00	NC_051811.1	17235831	17235931	100	60	True	False	True
36	w00	NC_051811.1	17235856	17235956	100	60	True	False	True
37	w00	NC_051811.1	17234956	17235106	150	60	True	False	True
38	w00	NC_051811.1	17234981	17235131	150	60	True	False	True
39	w00	NC_051811.1	17235006	17235156	150	60	True	False	True
40	w00	NC_051811.1	17235031	17235181	150	60	True	False	True
41	w00	NC_051811.1	17235056	17235206	150	60	True	False	True
42	w00	NC_051811.1	17235081	17235231	150	60	True	False	True
43	w00	NC_051811.1	17235106	17235256	150	60	True	False	True
44	w00	NC_051811.1	17235131	17235281	150	60	True	False	True
45	w00	NC_051811.1	17235156	17235306	150	60	True	False	True
46	w00	NC_051811.1	17235181	17235331	150	60	True	False	True
47	w00	NC_051811.1	17235206	17235356	150	60	True	False	True
48	w00	NC_051811.1	17235231	17235381	150	60	True	False	True
49	w00	NC_051811.1	17235256	17235406	150	60	True	False	True
50	w00	NC_051811.1	17235281	17235431	150	60	True	False	True
51	w00	NC_051811.1	17235306	17235456	150	60	True	False	True
52	w00	NC_051811.1	17235331	17235481	150	60	True	False	True
53	w00	NC_051811.1	17235356	17235506	150	60	True	False	True
54	w00	NC_051811.1	17235381	17235531	150	60	True	False	True
55	w00	NC_051811.1	17235406	17235556	150	60	True	False	True
56	w00	NC_051811.1	17235431	17235581	150	60	True	False	True
57	w00	NC_051811.1	17235456	17235606	150	60	True	False	True
58	w00	NC_051811.1	17235481	17235631	150	60	True	False	True
59	w00	NC_051811.1	17235506	17235656	150	60	True	False	True
60	w00	NC_051811.1	17235531	17235681	150	60	True	False	True
61	w00	NC_051811.1	17235556	17235706	150	60	True	False	True
62	w00	NC_051811.1	17235581	17235731	150	60	True	False	True
63	w00	NC_051811.1	17235606	17235756	150	60	True	False	True
64	w00	NC_051811.1	17235631	17235781	150	60	True	False	True
65	w00	NC_051811.1	17235656	17235806	150	60	True	False	True
66	w00	NC_051811.1	17235681	17235831	150	60	True	False	True
67	w00	NC_051811.1	17235706	17235856	150	60	True	False	True
68	w00	NC_051811.1	17235731	17235881	150	60	True	False	True
69	w00	NC_051811.1	17235756	17235906	150	60	True	False	True
70	w00	NC_051811.1	17235781	17235931	150	60	True	False	True
71	w00	NC_051811.1	17235806	17235956	150	60	True	False	True
72	w00	NC_051811.1	17234956	17235206	250	60	True	False	True
73	w00	NC_051811.1	17234981	17235231	250	60	True	False	True
74	w00	NC_051811.1	17235006	17235256	250	60	True	False	True
75	w00	NC_051811.1	17235031	17235281	250	60	True	False	True
76	w00	NC_051811.1	17235056	17235306	250	60	True	False	True
77	w00	NC_051811.1	17235081	17235331	250	60	True	False	True
78	w00	NC_051811.1	17235106	17235356	250	60	True	False	True
79	w00	NC_051811.1	17235131	17235381	250	60	True	False	True
80	w00	NC_051811.1	17235156	17235406	250	60	True	False	True
81	w00	NC_051811.1	17235181	17235431	250	60	True	False	True
82	w00	NC_051811.1	17235206	17235456	250	60	True	False	True
83	w00	NC_051811.1	17235231	17235481	250	60	True	False	True
84	w00	NC_051811.1	17235256	17235506	250	60	True	False	True
85	w00	NC_051811.1	17235281	17235531	250	60	True	False	True
86	w00	NC_051811.1	17235306	17235556	250	60	True	False	True
87	w00	NC_051811.1	17235331	17235581	250	60	True	False	True
88	w00	NC_051811.1	17235356	17235606	250	60	True	False	True
89	w00	NC_051811.1	17235381	17235631	250	60	True	False	True
90	w00	NC_051811.1	17235406	17235656	250	60	True	False	True
91	w00	NC_051811.1	17235431	17235681	250	60	True	False	True
92	w00	NC_051811.1	17235456	17235706	250	60	True	False	True
93	w00	NC_051811.1	17235481	17235731	250	60	True	False	True
94	w00	NC_051811.1	17235506	17235756	250	60	True	False	True
95	w00	NC_051811.1	17235531	17235781	250	60	True	False	True
96	w00	NC_051811.1	17235556	17235806	250	60	True	False	True
97	w00	NC_051811.1	17235581	17235831	250	60	True	False	True
98	w00	NC_051811.1	17235606	17235856	250	60	True	False	True
99	w00	NC_051811.1	17235631	17235881	250	60	True	False	True
100	w00	NC_051811.1	17235656	17235906	250	60	True	False	True
101	w00	NC_051811.1	17235681	17235931	250	60	True	False	True
102	w00	NC_051811.1	17235706	17235956	250	60	True	False	True
103	w01	NC_051811.1	17255706	17255806	100	60	True	False	True
104	w01	NC_051811.1	17255731	17255831	100	60	True	False	True
105	w01	NC_051811.1	17255756	17255856	100	60	True	False	True
106	w01	NC_051811.1	17255781	17255881	100	60	True	False	True
