genes	model	scored_bp	mean	max50bp_mean	fraction_phyloP_ge_2
ANO2/NTF3	pilot	1000	0.41943199999999997	1.99976	0.104
ANO2/NTF3	scale_check	1000	0.01442700000000005	1.4488999999999999	0.064
LOC119876429/LOC119872513	pilot	1000	0.29017300000000007	0.97258	0.083
LOC119876429/LOC119872513	scale_check	1000	-0.08698399999999999	0.5437200000000001	0.039
NPNT/TBCK	pilot	1000	0.36778099999999997	1.5662800000000001	0.113
NPNT/TBCK	scale_check	1000	-0.05657100000000001	1.054	0.066
