evaluation_status	missing_evidence	chrom	start	end	length	orientation	left_gene	right_gene	hard_veto	veto_tad_boundary	veto_atac_peak	veto_risk_gene	veto_low_mappability	veto_mirna_nearby	veto_risk_gene_radius	veto_gene_dense_neighborhood	veto_lncrna_smallrna	veto_tad_risk_gene	veto_high_repeat_content	pct_repeat	veto_ultraconserved_element	max_50bp_rolling_phyloP	veto_external_regulatory_element	veto_low_atac_accessibility	no_rrbs_coverage	atac_mean	atac_mean_percentile	atac_mean_narrow	atac_mean_narrow_percentile	atac_variability	atac_peak_frequency	rrbs_mean	rrbs_observed_fraction	rrbs_observed_bp	rrbs_variability	tad_boundary_distance	mirna_distance	risk_gene_radius_distance	gene_5prime_clearance	gene_dense_clearance_old_bodydist	score_stability_atac	score_low_peak_frequency	score_low_methylation	score_stability_rrbs	score_tad_distance	final_score	final_score_percentile
excluded	repeat_content;conservation	NC_051805.1	5377330	5428711	51381	convergent	LOC111090571	LOC111090572	True	False	False	False	False	False	False	False	False	False	False		False		True	True	False	0.9568234426151293	0.31566666666666665	0.9702642517152664	0.3923333333333333	0.05014803792150463	1.0	85.4920180856365	0.07103793230960861	3650	12.777171888134696	178020	12071148	660814	384680	12788	0.6987	0.5053	0.118	0.776	0.772	0.574	84.8
excluded		NC_051805.1	7072137	7132579	60442	convergent	LOC111090579	LOC100685067	True	False	False	False	False	False	False	False	False	False	False	31.25	False	4.15556	False	True	False	0.9394420234717034	0.227	0.9361402849227191	0.22933333333333333	0.04924295302217127	1.0	72.22372026443482	0.0330895734753979	2000	23.147630348205567	447642	10371810	812616	383530	120385	0.8223	0.5053	0.692	0.0363	0.9643	0.6041	90.7
excluded		NC_051805.1	12686627	12749345	62718	convergent	LOC111093764	LOC607190	True	False	False	False	False	False	False	False	False	False	False	37.17	False	4.39912	False	True	False	0.9522442214446171	0.293	0.9203419022862985	0.15266666666666667	0.0506056793288036	2.0	84.16116632521152	0.051022035141426704	3200	18.342065620422364	232014	4756182	704919	332720	65011	0.638	0.4627	0.1693	0.262	0.85	0.4764	59.2
excluded	repeat_content;conservation	NC_051805.1	15464961	15523285	58324	convergent	LOC111090610	LOC100688146	True	False	False	False	False	False	False	False	False	False	False		False		False	True	False	0.9531931597073908	0.2996666666666667	0.966892830964923	0.37833333333333335	0.04915564265473246	1.0	79.74241300748423	0.04010355942665112	2339	23.171606577174618	344123	1980045	846396	205959	14232	0.8333	0.5053	0.3637	0.036	0.9318	0.534	78.3
excluded	repeat_content;conservation	NC_051805.1	16284172	16340519	56347	convergent	LOC119869864	PMAIP1	True	False	True	True	False	False	True	True	False	True	False		False		True	False	False	1.3204291611729317	0.935	1.0873870321810246	0.7113333333333334	0.07116852887506057	61.0	77.46301744100103	0.12013061919889258	6769	18.540418343001253	37345	1161823	28174	3842	92123	0.0573	0.0517	0.484	0.2467	0.2885	0.2256	0.7
excluded	repeat_content;conservation	NC_051805.1	23540619	23593624	53005	convergent	LOC119870725	LOC119870724	True	False	True	False	False	False	True	False	False	False	False		False		False	True	False	1.0587770551566855	0.6546666666666666	1.0066815730139613	0.528	0.056217088061393646	41.0	80.89144086249081	0.07640788604848599	4050	16.23979918162028	157879	6092931	200280	115978	7937	0.291	0.147	0.3073	0.4573	0.7294	0.3864	33.4
excluded	repeat_content;conservation	NC_051805.1	26121059	26180255	59196	convergent	LOC111095273	LOC476208	True	False	False	False	False	False	True	True	False	True	False		False		False	True	False	0.9425669902636593	0.244	0.8624122081780093	0.033	0.049744325017629064	14.0	79.91048926159388	0.052216365970673695	3091	16.77658143951054	50657	8676467	160573	1215	22847	0.7517	0.304	0.358	0.403	0.3524	0.4338	46.2
excluded	repeat_content;conservation	NC_051805.1	29601219	29667821	66602	convergent	LOC100856045	IL20RA	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9752267595338147	0.3933333333333333	0.9858759344443679	0.4523333333333333	0.05123184422454053	5.0	78.1745125906808	0.0683162667787754	4550	17.1860857547169	40480	12160330	596972	14053	10367	0.5723	0.4037	0.447	0.3617	0.3033	0.4176	42.1
excluded	repeat_content;conservation	NC_051805.1	30822469	30875140	52671	convergent	ARFGEF3	LOC111095460	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9535247514561667	0.30033333333333334	0.9412235421471298	0.25466666666666665	0.04945629433437048	1.0	82.57628094708478	0.0512616050578117	2700	15.799850463867188	248804	13374614	418211	4644	4644	0.7943	0.5053	0.2323	0.5023	0.8668	0.5802	86.3
excluded		NC_051805.1	32197089	32249732	52643	convergent	LOC119870654	LOC111090654	True	False	False	False	False	False	False	False	False	False	False	27.97	True	6.91712	True	True	False	0.973499673509925	0.388	0.9384818200026644	0.23833333333333334	0.05154417609781928	12.0	80.0232955188286	0.038941549683718636	2050	17.457620228038113	26590	12405452	1792817	510233	282559	0.5437	0.3233	0.3503	0.3377	0.2325	0.3575	22.3
excluded	repeat_content;conservation	NC_051805.1	48451052	48513492	62440	convergent	LOC111095873	RSPH3	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.1192464012309145	0.7623333333333333	1.0410122287005186	0.628	0.05876710661150246	27.0	81.75723915565305	0.09849455477258168	6150	16.63738420365871	42728	733093	84534	20864	12483	0.2257	0.219	0.2663	0.4173	0.3132	0.2883	4.1
excluded	repeat_content;conservation	NC_051805.1	54446758	54504939	58181	convergent	LOC119869870	PRR18	True	True	True	False	False	False	True	True	False	True	False		False		True	False	False	1.233027742689355	0.878	1.513411764920503	0.958	0.06493227536448586	43.0	70.42664296896511	0.2627833828913219	15289	17.540817072343778	25848	5260460	116958	669	3885	0.115	0.1383	0.736	0.332	0.2274	0.3098	8.7
excluded	repeat_content;conservation	NC_051805.1	55288363	55358132	69769	convergent	LOC102153253	LOC111090695	True	True	False	False	False	False	True	True	False	True	False		False		True	False	False	1.1090118169254728	0.7463333333333333	1.1578388723552226	0.803	0.056761235979758344	2.0	76.40730181043448	0.2376700253694334	16582	17.702007427403593	23247	6107859	256635	12490	12490	0.2753	0.4627	0.534	0.3187	0.217	0.3615	23.6
excluded	repeat_content;conservation	NC_051805.1	55810634	55864353	53719	convergent	LOC119870159	LOC111090696	True	False	False	False	False	False	True	True	False	True	False		False		True	False	False	1.1725530688741561	0.828	1.1543030036568642	0.799	0.06033979104108712	1.0	79.20671346821362	0.294123122172788	15800	17.417166964402274	37493	6622105	72862	1595	1595	0.1887	0.5053	0.394	0.3413	0.2886	0.3436	17.6
excluded		NC_051805.1	60400908	60462010	61102	convergent	LOC119869937	LOC111089986	True	False	False	False	False	False	False	False	False	False	False	38.17	False	5.4602200000000005	False	True	False	0.9092820855175349	0.085	0.9314253773838281	0.20533333333333334	0.047918709531360265	1.0	77.4235668182373	0.045006710091322705	2750	17.10731092840433	343541	11216071	698716	329898	70594	0.9423	0.5053	0.485	0.3717	0.9313	0.6471	94.6
excluded	repeat_content;conservation	NC_051805.1	65127836	65201393	73557	convergent	TRMT11	LOC100682630	True	False	False	False	False	False	False	False	False	True	False		False		True	False	False	1.0553833303632367	0.6476666666666666	1.0157628895632922	0.564	0.05545214290391057	11.0	85.00845422126629	0.14682491129328276	10800	13.651432768718616	39614	6817352	884788	55951	4557	0.3187	0.3303	0.132	0.6993	0.2984	0.3558	21.3
excluded	repeat_content;conservation	NC_051805.1	68528776	68579924	51148	convergent	LOC111090714	TMEM244	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	1.0063299053346635	0.5066666666666667	0.9750633497536182	0.415	0.052308732506231956	1.0	84.05065181799102	0.22288261515601784	11400	13.561201597662533	29350	3427616	1197047	16225	46339	0.4807	0.5053	0.174	0.706	0.2478	0.4228	43.6
excluded	repeat_content;conservation	NC_051805.1	71035668	71094862	59194	convergent	LOC111096339	ERCC6L2	True	False	False	False	False	False	False	False	False	False	False		False		True	False	False	1.126441314367757	0.773	1.1691189899593593	0.815	0.057719105229035145	3.0	68.19071855980863	0.15711051795790115	9300	16.46639594968581	140265	916701	477694	121269	35792	0.247	0.4403	0.78	0.4377	0.6889	0.5188	74.0
excluded	repeat_content;conservation	NC_051805.1	75730614	75782632	52018	convergent	LOC100684008	RMI1	True	True	False	False	False	True	True	True	False	True	False		False		False	True	False	0.9541760112233378	0.30433333333333334	0.9638290845483541	0.36466666666666664	0.05062792256018577	1.0	82.31373043449558	0.047099081087315926	2450	14.073790724460896	6623	54435	44011	18002	2984	0.635	0.5053	0.2437	0.6647	0.1247	0.4347	46.4
excluded	repeat_content;conservation	NC_051805.1	76492055	76558248	66193	convergent	FRMD3	LOC111096570	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9685735585319017	0.36933333333333335	0.9591446754563856	0.339	0.05055685177770599	0.0	70.58894778836158	0.04683274666505522	3100	18.966725836408898	224849	714070	712332	7637	7637	0.6433	0.885	0.7327	0.2173	0.8409	0.6638	95.9
excluded	repeat_content;conservation	NC_051805.1	78699957	78766843	66886	convergent	LOC100685388	LOC476315	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9071177626028238	0.07766666666666666	0.8568206937280174	0.030666666666666665	0.048625957123212764	1.0	83.65708121248366	0.03801991448135634	2543	15.613710545204782	266600	2922319	756588	31879	2947	0.896	0.5053	0.1863	0.5173	0.8832	0.5976	89.6
excluded	repeat_content;conservation	NC_051805.1	84616059	84680359	64300	convergent	LOC119869841	LOC100686852	True	False	False	False	False	False	False	False	False	False	False		False		False	True	False	0.9359295009069643	0.211	0.9246659038811922	0.16933333333333334	0.04979866193506746	1.0	80.79246351453993	0.020995334370139968	1350	27.062154657700482	501791	2623158	546039	499534	17725	0.747	0.5053	0.3133	0.005	0.9739	0.5089	70.3
excluded		NC_051805.1	85740590	85790734	50144	convergent	LOC119869527	LOC102153097	True	False	False	False	False	False	False	False	False	False	False	28.76	False	4.517519999999999	True	False	False	1.1493750822402389	0.7973333333333333	1.1460234465658665	0.7906666666666666	0.0628301202981804	25.0	64.85067168526028	0.022933950223356734	1150	10.623716433842977	90662	1505705	320906	78303	67378	0.1433	0.2273	0.8327	0.908	0.5275	0.5278	76.6
excluded	repeat_content;conservation;TAD_assignment	NC_051805.1	86132349	86196873	64524	convergent	LOC102153343	C1H9orf85	True	True	False	False	False	False	False	False	False	False	False		False		True	True	False	1.0205806329223717	0.548	1.0141907256491045	0.5586666666666666	0.05271248591896767	15.0	76.6507750919887	0.07051639699956605	4550	16.96176848321591	0	1106756	719855	60116	60471	0.4503	0.294	0.5223	0.3893	0.0901	0.3492	19.5
excluded	repeat_content;conservation	NC_051805.1	87683331	87744102	60771	convergent	KLF9	SMC5	True	False	True	True	False	False	True	True	False	True	False		False		True	False	False	1.0442047857658674	0.6183333333333333	1.0135399990654708	0.5566666666666666	0.05409399993008223	40.0	80.37828775119009	0.06695627848809466	4069	14.991497535365658	136284	442327	30385	22488	23373	0.3763	0.154	0.3313	0.5773	0.6786	0.4235	44.0
