id	chrom	start0	end0	atac_mean	atac_percentile	GC	GC_distance_w01	coding_TSS_distance	miRNA_distance	risk_gene_distance	screen_flags	stage	pending
bg1k_0000	NC_051816.1	6230629	6231629	1.1451068543791771	82.1272298889263	0.471	0.06	19904	2697457	126664	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0001	NC_051831.1	42883322	42884322	1.084137762784958	73.64523729384045	0.474	0.063	17347	4448603	77069	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0002	NC_051829.1	44178189	44179189	0.997660413980484	51.46415348367553	0.322	0.08899999999999997	167188	1332660	580160	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0003	NC_051822.1	2690542	2691542	1.1420541691184043	81.82430158195893	0.66	0.24900000000000005	228463	23566936	585045	regulatory_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0004	NC_051827.1	38586327	38587327	0.9136829889416694	21.878155503197576	0.315	0.09599999999999997	58451	11232822	77586	gene_overlap;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0005	NC_051810.1	77790258	77791258	1.0310203537344933	61.42712891282397	0.446	0.03500000000000003	139405	2318053	201662	risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0006	NC_051831.1	25471388	25472388	0.9946544705033302	50.42073375967688	0.366	0.044999999999999984	52048	12961887	1409931	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0007	NC_051813.1	37909465	37910465	0.944053360670805	31.80747223157186	0.352	0.059	21207	2758559	337709	gene_overlap;coding_5prime_under_50kb;regulatory_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0008	NC_051819.1	42638788	42639788	1.031930807173252	61.629081117468864	0.405	0.00599999999999995	207008	2797730	285980	risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0009	NC_051820.1	7096400	7097400	1.296215645968914	91.92191181420397	0.46	0.049000000000000044	42172	3256859	380252	gene_overlap;coding_5prime_under_50kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0010	NC_051826.1	5592956	5593956	0.9041823000609874	18.882531134298215	0.374	0.03699999999999998	9842	633569	235109	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0011	NC_051837.1	22224464	22225464	1.0797833685874938	72.63547627061595	0.404	0.006999999999999951	838495	1664375	1470699	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0012	NC_051815.1	10683768	10684768	0.9592985162734985	37.76506226859643	0.411	0.0	207395	4040365	2045513		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0013	NC_051805.1	23108972	23109972	1.0143796152472495	56.98418041063615	0.41	0.0010000000000000009	333980	5634782	333980	gene_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0014	NC_051843.1	3765282	3766282	0.9350684123039246	28.475260854931	0.375	0.035999999999999976	75195	35889558	2063206		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0015	NC_051819.1	9414679	9415679	0.8842982879649687	14.035678222820598	0.383	0.02799999999999997	9350	164164	326067	gene_overlap;coding_5prime_under_50kb;miRNA_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0016	NC_051812.1	26756192	26757192	1.163171220779419	84.079434533827	0.453	0.04200000000000004	57332	6341889	336280	gene_overlap;lnc_smallRNA_overlap	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0017	NC_051843.1	26168768	26169768	0.8612451587319374	9.660047122181084	0.35	0.061	16161	13486072	150061	gene_overlap;coding_5prime_under_50kb;risk_gene_under_300kb	preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
