genes	chrom	start	end	window_bp	atac_mean	atac_observed_fraction	atac_length_matched_percentile	atac_peak_frequency_max	rrbs_observed_fraction	rrbs_mean_observed	rrbs_dogs_max	repeat_overlap_bp	phylop_scored_fraction	phylop_mean_observed	phylop_max_observed	atac-peaks-bed_overlap_bp	external-regulatory-bed_overlap_bp	tad-boundaries-bed_overlap_bp	cpg_overlap_bp	epic_nonquiescent_bp_union	epic_promoter_enhancer_bp_union	epic_regulatory_tissues	local_review_status	selected_1kb_previously	small_variant_review	small_variant_PASS_SNP_records	small_variant_PASS_nonSNP_records	SV_review	conservation_status	T_cell_accessibility_status	CAR_T_functional_safety_status	decision_status	previous_atac_mean	previous_atac_length_matched_percentile	gate_evidence_dogs_min	gate_evidence_dogs_median	gate_evidence_dogs_max	exploratory_Pareto_front	pilot_phyloP_observed_fraction	pilot_phyloP_max50bp_mean	pilot_phyloP_mean	published_phyloP_observed_fraction	published_phyloP_max50bp_mean	published_phyloP_mean	legacy_phylop_columns_model	NPNT_regional_SV_context	previous_SV_review
LOC119876429/LOC119872513	NC_051811.1	17222706	17223706	1000	1.059945181787014	1.0	68.63009087849208	0.0	0.3	78.08043924967448	6.0	169	0.995	0.528886432160804	6.936	0	0	0	147	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0617749153971672	69.63333333333334	13	24.0	33	True	0.995	2.3162200000000004	0.528886432160804	0.995	1.9376200000000001	0.19241909547738695	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
LOC119876429/LOC119872513	NC_051811.1	17222956	17223956	1000	1.088001625597477	1.0	74.48670481319422	0.0	0.3	78.08043924967448	6.0	245	0.995	0.4336391959798995	6.936	0	0	0	219	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0897151943445205	75.4	14	25.0	33	True	0.995	2.3162200000000004	0.4336391959798995	0.995	1.9376200000000001	0.08267336683417084	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
LOC119876429/LOC119872513	NC_051811.1	17230206	17231206	1000	1.0668024423122406	1.0	70.07741501178054	0.0	0.306	90.57288949006524	70.0	100	1.0	1.007741	10.784	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0661127686500549	70.46666666666667	10	20.0	32	True	1.0	4.013520000000001	1.007741	1.0	3.2294800000000006	0.6003180000000001	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
LOC119876429/LOC119872513	NC_051811.1	17234956	17235956	1000	1.2039294957518578	1.0	86.94042409962975	0.0	0.05	33.33333206176758	1.0	204	1.0	0.322791	5.848	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.2033100192546844	87.16666666666667	10	29.0	46	True	1.0	1.14644	0.322791	1.0	0.6823400000000001	0.08352100000000001	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
LOC119876429/LOC119872513	NC_051811.1	17235206	17236206	1000	1.230921023786068	1.0	89.29653315382026	3.0	0.056	35.27677304404123	46.0	105	1.0	0.28481300000000004	5.848	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.2303167140483857	89.46666666666667	10	32.0	46	True	1.0	1.14644	0.28481300000000004	1.0	0.6823400000000001	0.004836999999999989	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	1000	1.41790101313591	1.0	96.02827330865028	3.0	0.2	59.53159141540527	60.0	94	1.0	0.2901990000000001	5.848	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	True	assessed_catalogue_variants_present	13	2	no_overlapping_record_in_consulted_catalogue	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	no_fragment_starts_in_155_consensus_or_157_union_RNA_T_enriched_nuclei; not_proof_of_closed_chromatin	not_validated	insufficient_evidence_for_safe_harbor	1.4151809779405593	96.06666666666666	16	34.0	57	True	1.0	0.97258	0.2901990000000001	1.0	0.6249399999999999	-0.035352	pilot; use published_phyloP_* for updated calibration	not_applicable	no_overlapping_record_in_consulted_catalogue
LOC119876429/LOC119872513	NC_051811.1	17240706	17241706	1000	1.0595675044059754	1.0	68.56277347694379	0.0	0.2	97.9525260925293	67.0	43	1.0	0.21247699999999997	4.737	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.060449974477291	69.26666666666667	8	20.0	31	True	1.0	1.4069	0.21247699999999997	1.0	1.10866	-0.040391	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
LOC119876429/LOC119872513	NC_051811.1	17242956	17243956	1000	1.2494415211081504	1.0	90.13800067317402	1.0	0.144	100.0	1.0	87	1.0	0.105174	10.183	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.2499471078515052	90.43333333333334	23	28.0	39	True	1.0	1.60718	0.105174	1.0	0.9183800000000001	-0.2828960000000001	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
LOC119876429/LOC119872513	NC_051811.1	17245456	17246456	1000	1.1499532160162926	1.0	82.63211040053854	0.0	0.05	100.0	1.0	62	1.0	0.560387	7.339	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.149960955440998	82.89999999999999	15	28.0	35	True	1.0	1.9997	0.560387	1.0	1.3946399999999999	0.21530699999999997	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
LOC119876429/LOC119872513	NC_051811.1	17252456	17253456	1000	1.0303339300751686	1.0	61.25883540895322	0.0	0.25	74.97273864746094	64.0	465	1.0	0.17620300000000003	6.119	0	0	0	0	200	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0301662625670434	61.93333333333333	9	22.0	33	True	1.0	0.6789200000000001	0.17620300000000003	1.0	0.34042	0.014008000000000003	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	1000	1.0401423190832138	1.0	63.74957926624032	0.0	0.2	60.70986366271973	66.0	0	1.0	0.283797	5.195	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0401493315696717	64.46666666666667	11	19.0	31	True	1.0	0.6673600000000001	0.283797	1.0	0.34154000000000007	-0.0006510000000000034	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
LOC119876429/LOC119872513	NC_051811.1	17256206	17257206	1000	1.0871196376681327	1.0	74.11645910467855	0.0	0.194	60.161468033938064	66.0	0	1.0	0.263188	5.195	0	0	0	0	400	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0871269720196723	74.56666666666666	13	21.0	31	True	1.0	0.7259200000000001	0.263188	1.0	0.43130000000000007	0.016960999999999997	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39682574	39683574	1000	1.1731715720295905	1.0	85.02187815550319	0.0	0.1	40.12803268432617	6.0	164	1.0	0.372202	7.691	0	0	0	0	383	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1731794629096985	85.26666666666667	16	24.5	40	True	1.0	1.88558	0.372202	1.0	1.1492	-0.0001599999999999966	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
ANO2/NTF3	NC_051831.1	39685324	39686324	1000	1.1233978053927423	1.0	79.60282733086504	0.0	0.3	65.62463569641113	50.0	187	1.0	0.023638000000000003	4.195	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1234053812623024	79.96666666666667	10	25.0	39	True	1.0	0.31389999999999996	0.023638000000000003	1.0	0.17668	-0.23299899999999998	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed
