cand_n	ros_chrom	ros_start	ros_end	mean_phyloP	max_50bp_rolling_mean	n_50bp_windows_above_2.0	frac_50bp_windows_above_2.0	total_bp	final_score_v6
18	NC_051827.1	34198197	34269938	0.7844166909671596	8.54362	5862	0.08145513158991746	72015	0.6306
25	NC_051807.1	44207725	44265967	0.38333861852163603	7.80566	3233	0.05558421016436284	58213	0.5814
43	NC_051815.1	74432972	74494463	0.44136810428013024	7.307460000000001	4160	0.0680917929747602	61143	0.0473
6	NC_051812.1	5534832	5600865	0.3956746158080304	7.07716	2683	0.039943427125204704	67219	0.6865
34	NC_051805.1	32197089	32249732	0.43930512177514336	6.91712	2366	0.04499039723136017	52638	0.5426
17	NC_051815.1	15804115	15863613	0.4804327823645138	6.66906	3361	0.05656154286291273	59471	0.6414
5	NC_051807.1	77813684	77865855	0.10789375995029706	6.1870400000000005	1378	0.02677964125386245	51506	0.7006
39	NC_051821.1	4818014	4875944	-0.011792506504770164	6.178679999999999	1059	0.01838509748094651	57650	0.4866
19	NC_051843.1	104147730	104215864	0.772373476452279	5.8894	4322	0.06290662979404701	68754	0.6295
30	NC_051820.1	51445768	51508808	0.17846985123862089	5.761419999999999	2485	0.039441314181414174	63054	0.5694
21	NC_051826.1	29235878	29299159	0.38718993192971346	5.65148	1653	0.0261877980386876	63170	0.6176
40	NC_051841.1	7533022	7602083	0.2406562825106924	5.647460000000001	1408	0.02035888315331338	69208	0.4792
2	NC_051835.1	23436373	23508916	0.1749617388900408	5.49128	973	0.013458559256390395	72345	0.7546
4	NC_051805.1	60400908	60462010	0.2849896561563704	5.4602200000000005	1778	0.0317369651750174	56072	0.737
31	NC_051843.1	10578732	10643009	0.5956651639981346	5.37718	2695	0.041925296743983445	64330	0.5656
26	NC_051826.1	55859005	55918918	0.23352471883786316	5.220280000000001	2430	0.04070147228782473	59752	0.5776
36	NC_051831.1	39677324	39739751	0.2745256282856776	5.1012200000000005	1166	0.01870298189050896	62392	0.5267
14	NC_051812.1	21931015	21992476	0.282597154145014	4.96006	893	0.014650872817955112	61001	0.6673
37	NC_051837.1	7790832	7842018	0.3619583716426378	4.81276	546	0.010691208145682397	51119	0.5067
28	NC_051808.1	81940968	82004288	0.06950776338350162	4.810820000000001	844	0.013409809498085448	62988	0.5752
20	NC_051833.1	23112498	23172320	0.287759967439697	4.77938	771	0.012818594443613147	60196	0.6242
11	NC_051812.1	58732540	58805036	0.2525915387599047	4.7614600000000005	2047	0.028375774546361886	72188	0.6756
23	NC_051815.1	7585907	7653876	0.17176671605852933	4.64874	581	0.008974497598047545	64788	0.5952
41	NC_051805.1	85740590	85790734	0.4416720656667532	4.517519999999999	709	0.014173763544040622	50071	0.4461
38	NC_051826.1	1416239	1480570	0.41911807833895537	4.48116	1695	0.02612757036717329	64923	0.4868
24	NC_051823.1	43660794	43734482	0.25636560687753807	4.45736	2175	0.029558859503682967	73631	0.5857
9	NC_051805.1	12686627	12749345	0.2168158475740139	4.39912	1274	0.02216654487246407	57523	0.6787
16	NC_051807.1	10779807	10837318	0.2252991363517404	4.32784	1040	0.01816086333950337	57315	0.6423
33	NC_051811.1	25873242	25943461	0.19962023523351652	4.32162	662	0.009478944429330317	69888	0.5556
1	NC_051811.1	48020921	48077046	0.20091898067396916	4.31966	566	0.009880767417907582	57332	0.7743
8	NC_051826.1	19596764	19663367	0.10261767356625709	4.29328	671	0.010086433671552049	66574	0.6819
3	NC_051805.1	7072137	7132579	0.0250064364544898	4.15556	297	0.004918195668013513	60437	0.7512
12	NC_051817.1	12626538	12686868	0.10797223147621939	4.02278	249	0.004884268340525696	51029	0.6743
15	NC_051807.1	22304729	22367018	0.0635775744222326	4.00506	449	0.007226782552712055	62179	0.6526
32	NC_051843.1	79168554	79226339	-0.05350667970624051	3.70414	162	0.0029919660171761012	54194	0.5656
7	NC_051816.1	40263604	40321877	0.22110896881165842	3.54012	509	0.00881705901713177	57778	0.6861
29	NC_051817.1	24350676	24411685	0.15761802911717127	3.44548	639	0.010449372056514914	61201	0.5735
27	NC_051823.1	40699370	40753962	0.3514377477033222	3.31068	1061	0.019395291020766307	54753	0.5757
13	NC_051835.1	18249632	18323889	-0.00739274320012978	2.96612	92	0.001244538235731775	73972	0.6686
42	NC_051827.1	1109045	1172665	0.051656561461794016	2.41274	131	0.0020940232420594957	62608	0.4202
35	NC_051806.1	17055808	17110317	-0.01830769230769231	1.74708	0	0.0	54314	0.5411
22	NC_051843.1	69851587	69907041	0.030753396714384585	1.59948	0	0.0	54906	0.608
10	NC_051843.1	59813343	59874197	0.07259876951574491	1.28456	0	0.0	60464	0.6787
