region	anchor_chrom	anchor_start	anchor_end	gene	gene_start	gene_end	strand	body_gap_bp
ANO2/NTF3	NC_051831.1	39728324	39729324	NTF3	39739751	39811227	-	10427
ANO2/NTF3	NC_051831.1	39728324	39729324	ANO2	39333633	39677324	+	51000
ANO2/NTF3	NC_051831.1	39728324	39729324	VWF	39191849	39329540	+	398784
ANO2/NTF3	NC_051831.1	39728324	39729324	KCNA5	40165045	40166848	-	435721
ANO2/NTF3	NC_051831.1	39728324	39729324	KCNA1	40289955	40291443	-	560631
ANO2/NTF3	NC_051831.1	39728324	39729324	CD9	39099215	39131465	-	596859
ANO2/NTF3	NC_051831.1	39728324	39729324	GALNT8	40358999	40493551	-	629675
ANO2/NTF3	NC_051831.1	39728324	39729324	KCNA6	40397854	40401770	-	668530
ANO2/NTF3	NC_051831.1	39728324	39729324	PLEKHG6	39011001	39026871	-	701453
ANO2/NTF3	NC_051831.1	39728324	39729324	TNFRSF1A	38997950	39010819	+	717505
LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	C7H1orf21	17367215	17584529	+	110509
LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	TSEN15	17091395	17122507	+	133199
LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	COLGALT2	16975756	17091912	-	163794
LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	RGL1	16718211	16968704	+	287002
LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	EDEM3	17655245	17725323	-	398539
LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	NIBAN1	17755745	17967535	-	499039
LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	APOBEC4	16726549	16734519	-	521187
LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	ARPC5	16708284	16717919	-	537787
LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	NCF2	16646646	16676710	-	578996
LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	SMG7	16552547	16645376	+	610330
NPNT/TBCK	NC_051836.1	27041161	27042161	NPNT	26938243	27013911	+	27250
NPNT/TBCK	NC_051836.1	27041161	27042161	TBCK	27071204	27294356	-	29043
NPNT/TBCK	NC_051836.1	27041161	27042161	GSTCD	26771036	26897517	+	143644
NPNT/TBCK	NC_051836.1	27041161	27042161	LOC119867197	26819005	26819975	-	221186
NPNT/TBCK	NC_051836.1	27041161	27042161	AIMP1	27294549	27334400	+	252388
NPNT/TBCK	NC_051836.1	27041161	27042161	INTS12	26732899	26771351	-	269810
NPNT/TBCK	NC_051836.1	27041161	27042161	GIMD1	27342022	27354854	-	299861
NPNT/TBCK	NC_051836.1	27041161	27042161	ARHGEF38	26595763	26739765	+	301396
NPNT/TBCK	NC_051836.1	27041161	27042161	PPA2	26444702	26526297	-	514864
NPNT/TBCK	NC_051836.1	27041161	27042161	TET2	26234027	26359107	+	682054
