chrom	start	end	max_50bp_rolling_phyloP
NC_051827.1	34198197	34269938	8.54362
NC_051807.1	44207725	44265967	7.80566
NC_051815.1	74432972	74494463	7.307460000000001
NC_051812.1	5534832	5600865	7.07716
NC_051805.1	32197089	32249732	6.91712
NC_051815.1	15804115	15863613	6.66906
NC_051807.1	77813684	77865855	6.1870400000000005
NC_051821.1	4818014	4875944	6.178679999999999
NC_051843.1	104147730	104215864	5.8894
NC_051820.1	51445768	51508808	5.761419999999999
NC_051826.1	29235878	29299159	5.65148
NC_051841.1	7533022	7602083	5.647460000000001
NC_051835.1	23436373	23508916	5.49128
NC_051805.1	60400908	60462010	5.4602200000000005
NC_051843.1	10578732	10643009	5.37718
NC_051826.1	55859005	55918918	5.220280000000001
NC_051831.1	39677324	39739751	5.1012200000000005
NC_051812.1	21931015	21992476	4.96006
NC_051837.1	7790832	7842018	4.81276
NC_051808.1	81940968	82004288	4.810820000000001
NC_051833.1	23112498	23172320	4.77938
NC_051812.1	58732540	58805036	4.7614600000000005
NC_051815.1	7585907	7653876	4.64874
NC_051805.1	85740590	85790734	4.517519999999999
NC_051826.1	1416239	1480570	4.48116
NC_051823.1	43660794	43734482	4.45736
NC_051805.1	12686627	12749345	4.39912
NC_051807.1	10779807	10837318	4.32784
NC_051811.1	25873242	25943461	4.32162
NC_051811.1	48020921	48077046	4.31966
NC_051826.1	19596764	19663367	4.29328
NC_051805.1	7072137	7132579	4.15556
NC_051817.1	12626538	12686868	4.02278
NC_051807.1	22304729	22367018	4.00506
NC_051843.1	79168554	79226339	3.70414
NC_051816.1	40263604	40321877	3.54012
NC_051817.1	24350676	24411685	3.44548
NC_051823.1	40699370	40753962	3.31068
NC_051835.1	18249632	18323889	2.96612
NC_051827.1	1109045	1172665	2.41274
NC_051806.1	17055808	17110317	1.74708
NC_051843.1	69851587	69907041	1.59948
NC_051843.1	59813343	59874197	1.28456
