window_id	genes	ros_chrom	ros_start	ros_end	uu_contig	vcf_contig	start	end	strand	mapq	NM	cigar	query_aligned_bp	alternatives	eligible_for_variant_lookup	sv_records
w00	LOC119876429/LOC119872513	NC_051811.1	17234956	17235956	NC_049228.1	chr7	17382280	17383266	+	60	23	452M16I183M2D349M	1000	False	False	
w01	LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	NC_049228.1	chr7	17403010	17404010	+	60	0	1000M	1000	False	True	0
w02	LOC119876429/LOC119872513	NC_051811.1	17256206	17257206	NC_049228.1	chr7	17403510	17404510	+	60	0	1000M	1000	False	True	0
w03	ANO2/NTF3	NC_051831.1	39713074	39714074	NC_049248.1	chr27	6736835	6737835	-	60	2	1000M	1000	False	True	0
w04	ANO2/NTF3	NC_051831.1	39729824	39730824	NC_049248.1	chr27	6720125	6721125	-	60	2	1000M	1000	False	True	0
w05	ANO2/NTF3	NC_051831.1	39730074	39731074	NC_049248.1	chr27	6719875	6720875	-	60	2	1000M	1000	False	True	0
w06	ANO2/NTF3	NC_051831.1	39730324	39731324	NC_049248.1	chr27	6719625	6720625	-	60	3	1000M	1000	False	True	0
w07	NPNT/TBCK	NC_051836.1	27039161	27040161	NC_049253.1	chr32	13080665	13081664	-	60	5	467M1I532M	1000	False	True	2
w08	NPNT/TBCK	NC_051836.1	27039411	27040411	NC_049253.1	chr32	13080415	13081414	-	60	4	717M1I282M	1000	False	True	1
w09	NPNT/TBCK	NC_051836.1	27040661	27041661	NC_049253.1	chr32	13079164	13080165	-	60	4	870M1D130M	1000	False	True	1
w10	NPNT/TBCK	NC_051836.1	27040911	27041911	NC_049253.1	chr32	13078914	13079914	-	60	0	1000M	1000	False	True	1
w11	NPNT/TBCK	NC_051836.1	27041161	27042161	NC_049253.1	chr32	13078664	13079664	-	60	0	1000M	1000	False	True	1
w12	NPNT/TBCK	NC_051836.1	27041411	27042411	NC_049253.1	chr32	13078414	13079414	-	60	0	1000M	1000	False	True	1
w13	NPNT/TBCK	NC_051836.1	27041661	27042661	NC_049253.1	chr32	13078164	13079164	-	60	0	1000M	1000	False	True	1
w14	NPNT/TBCK	NC_051836.1	27050411	27051411	NC_049253.1	chr32	13069408	13070408	-	60	0	1000M	1000	False	True	1
w15	NPNT/TBCK	NC_051836.1	27050661	27051661	NC_049253.1	chr32	13069158	13070158	-	60	0	1000M	1000	False	True	1
