chrom	start	end	length	masked_bp	pct_repeat
NC_051805.1	5377330	5428711	51381	13164	25.62
NC_051805.1	7072137	7132579	60442	20054	33.18
NC_051805.1	12686627	12749345	62718	21757	34.69
NC_051805.1	15464961	15523285	58324	17448	29.92
NC_051805.1	16284172	16340519	56347	17901	31.77
NC_051805.1	23540619	23593624	53005	14912	28.13
NC_051805.1	26121059	26180255	59196	20657	34.9
NC_051805.1	29601219	29667821	66602	23426	35.17
NC_051805.1	30822469	30875140	52671	21719	41.24
NC_051805.1	32197089	32249732	52643	14787	28.09
NC_051805.1	48451052	48513492	62440	23605	37.8
NC_051805.1	54446758	54504939	58181	17303	29.74
NC_051805.1	55288363	55358132	69769	15665	22.45
NC_051805.1	55810634	55864353	53719	10840	20.18
NC_051805.1	60400908	60462010	61102	27470	44.96
NC_051805.1	65127836	65201393	73557	15467	21.03
NC_051805.1	68528776	68579924	51148	14784	28.9
NC_051805.1	71035668	71094862	59194	13302	22.47
NC_051805.1	75730614	75782632	52018	28581	54.94
NC_051805.1	76492055	76558248	66193	30358	45.86
NC_051805.1	78699957	78766843	66886	27654	41.34
NC_051805.1	84616059	84680359	64300	18853	29.32
NC_051805.1	85740590	85790734	50144	14490	28.9
NC_051805.1	86132349	86196873	64524	27543	42.69
NC_051805.1	87683331	87744102	60771	23661	38.93
NC_051805.1	91186888	91251253	64365	12202	18.96
NC_051805.1	97204375	97272513	68138	9938	14.59
NC_051805.1	102569417	102626167	56750	35537	62.62
NC_051805.1	118762948	118834530	71582	34404	48.06
NC_051805.1	120003827	120058858	55031	15453	28.08
NC_051806.1	2276949	2331192	54243	19581	36.1
NC_051806.1	5490645	5562196	71551	31191	43.59
NC_051806.1	9925163	9998285	73122	33225	45.44
NC_051806.1	13354030	13405141	51111	13644	26.69
NC_051806.1	17055808	17110317	54509	21851	40.09
NC_051806.1	23362298	23415104	52806	19966	37.81
NC_051806.1	25264511	25315271	50760	9933	19.57
NC_051806.1	29613097	29682625	69528	20533	29.53
NC_051806.1	31421264	31473494	52230	17413	33.34
NC_051806.1	37763146	37815322	52176	17154	32.88
NC_051806.1	38503041	38573083	70042	35785	51.09
NC_051806.1	39071176	39129828	58652	13715	23.38
NC_051806.1	39159547	39230847	71300	16332	22.91
NC_051806.1	55898984	55971473	72489	17089	23.57
NC_051806.1	61050066	61110203	60137	14279	23.74
NC_051806.1	62723085	62783656	60571	19226	31.74
NC_051806.1	63630965	63704659	73694	16090	21.83
NC_051806.1	77425724	77486897	61173	14145	23.12
NC_051806.1	80612441	80666392	53951	11845	21.96
NC_051806.1	84152591	84202660	50069	17011	33.98
NC_051806.1	84303869	84363723	59854	15682	26.2
NC_051807.1	9691905	9747134	55229	19305	34.95
NC_051807.1	10779807	10837318	57511	21321	37.07
NC_051807.1	21623166	21678171	55005	19113	34.75
NC_051807.1	22304729	22367018	62289	23392	37.55
NC_051807.1	25390804	25445201	54397	17507	32.18
NC_051807.1	31153307	31211185	57878	30539	52.76
NC_051807.1	32087727	32156058	68331	47176	69.04
NC_051807.1	34846149	34921008	74859	31019	41.44
NC_051807.1	35803900	35876584	72684	46419	63.86
NC_051807.1	44207725	44265967	58242	15456	26.54
NC_051807.1	50781019	50831091	50072	18487	36.92
NC_051807.1	56269278	56323122	53844	9918	18.42
NC_051807.1	60928139	60979861	51722	9274	17.93
NC_051807.1	67665045	67732484	67439	19230	28.51
NC_051807.1	72901974	72956918	54944	17468	31.79
NC_051807.1	73210443	73261055	50612	28476	56.26
NC_051807.1	74470819	74522415	51596	13567	26.29
NC_051807.1	76113264	76180116	66852	29642	44.34
NC_051807.1	76613649	76664485	50836	26518	52.16
NC_051807.1	77813684	77865855	52171	21928	42.03
NC_051807.1	81859047	81912809	53762	18466	34.35
NC_051807.1	85288823	85342443	53620	11924	22.24
NC_051808.1	1943254	2003893	60639	24263	40.01
NC_051808.1	4984288	5034699	50411	9905	19.65
NC_051808.1	5485501	5546210	60709	35555	58.57
NC_051808.1	6820779	6870891	50112	21556	43.02
NC_051808.1	12066504	12128157	61653	23576	38.24
NC_051808.1	13169783	13237184	67401	21901	32.49
NC_051808.1	14781335	14832377	51042	12723	24.93
NC_051808.1	17362530	17419663	57133	26706	46.74
NC_051808.1	28998408	29056566	58158	9459	16.26
NC_051808.1	36047237	36120971	73734	31108	42.19
NC_051808.1	37518160	37569466	51306	10564	20.59
NC_051808.1	37795829	37851034	55205	14040	25.43
NC_051808.1	42728958	42791035	62077	22402	36.09
NC_051808.1	55513056	55565959	52903	16845	31.84
NC_051808.1	56109927	56183571	73644	21809	29.61
NC_051808.1	61210674	61263506	52832	13943	26.39
NC_051808.1	64067111	64119158	52047	21212	40.76
NC_051808.1	65949583	66022083	72500	24701	34.07
NC_051808.1	76456036	76509373	53337	11504	21.57
NC_051808.1	77033647	77089414	55767	15890	28.49
NC_051808.1	81940968	82004288	63320	22984	36.3
NC_051808.1	83742031	83797839	55808	18772	33.64
NC_051808.1	87580819	87638502	57683	11719	20.32
NC_051809.1	2620428	2685222	64794	13831	21.35
NC_051809.1	6345291	6400601	55310	18903	34.18
NC_051809.1	14259045	14318214	59169	14100	23.83
NC_051809.1	18909987	18974471	64484	16421	25.47
NC_051809.1	23237689	23310760	73071	22799	31.2
NC_051809.1	27846016	27902436	56420	21794	38.63
NC_051809.1	32059172	32124240	65068	26236	40.32
NC_051809.1	47160487	47220638	60151	18556	30.85
NC_051809.1	67812010	67871860	59850	11186	18.69
NC_051809.1	89203545	89257435	53890	17229	31.97
NC_051810.1	3695908	3765879	69971	24003	34.3
NC_051810.1	15694571	15754185	59614	8162	13.69
NC_051810.1	43751242	43809227	57985	15520	26.77
NC_051810.1	46489068	46547626	58558	19541	33.37
NC_051810.1	50658944	50727578	68634	20693	30.15
NC_051810.1	54055016	54116812	61796	13697	22.16
NC_051810.1	54185278	54253504	68226	20078	29.43
NC_051810.1	65303098	65376045	72947	22426	30.74
NC_051810.1	68878658	68947141	68483	20687	30.21
NC_051811.1	2494758	2545521	50763	15221	29.98
NC_051811.1	11479120	11529669	50549	10284	20.34
NC_051811.1	15394995	15461327	66332	16678	25.14
NC_051811.1	17217706	17274511	56805	14638	25.77
NC_051811.1	22837876	22907514	69638	29493	42.35
NC_051811.1	25873242	25943461	70219	27258	38.82
NC_051811.1	35118386	35179633	61247	14217	23.21
NC_051811.1	48020921	48077046	56125	15447	27.52
NC_051811.1	54309697	54360521	50824	24809	48.81
NC_051811.1	57734073	57792841	58768	22518	38.32
NC_051811.1	59853346	59916313	62967	23879	37.92
NC_051811.1	62263653	62326266	62613	20608	32.91
NC_051811.1	69954234	70019343	65109	26018	39.96
NC_051811.1	72146896	72199972	53076	13008	24.51
NC_051811.1	77245369	77305935	60566	20333	33.57
NC_051811.1	80890788	80943582	52794	20971	39.72
NC_051812.1	52431	118675	66244	46313	69.91
NC_051812.1	788172	845815	57643	33110	57.44
NC_051812.1	5172690	5239184	66494	17926	26.96
NC_051812.1	5534832	5600865	66033	19685	29.81
NC_051812.1	6167980	6227889	59909	16625	27.75
NC_051812.1	8640791	8694857	54066	16670	30.83
NC_051812.1	10610167	10663583	53416	24881	46.58
NC_051812.1	12903397	12977974	74577	19140	25.66
NC_051812.1	21931015	21992476	61461	23426	38.12
NC_051812.1	27735066	27803631	68565	23711	34.58
NC_051812.1	28781785	28839966	58181	31568	54.26
NC_051812.1	36266983	36333691	66708	14938	22.39
NC_051812.1	54071776	54128751	56975	14044	24.65
NC_051812.1	55781421	55851186	69765	36178	51.86
NC_051812.1	58732540	58805036	72496	21152	29.18
NC_051812.1	61680835	61737486	56651	16210	28.61
NC_051812.1	67788194	67843405	55211	18436	33.39
NC_051812.1	70725627	70776316	50689	14831	29.26
NC_051812.1	71254791	71309046	54255	17131	31.57
NC_051813.1	8313493	8376479	62986	11949	18.97
NC_051813.1	8406782	8479948	73166	15887	21.71
NC_051813.1	15175682	15238845	63163	13023	20.62
NC_051813.1	33214836	33269418	54582	14392	26.37
NC_051813.1	35794767	35867117	72350	40247	55.63
NC_051813.1	42596793	42666787	69994	30304	43.3
NC_051813.1	44260433	44316601	56168	32217	57.36
NC_051813.1	53233104	53304110	71006	12759	17.97
NC_051813.1	55289222	55342350	53128	14000	26.35
NC_051813.1	60390416	60460489	70073	25661	36.62
NC_051814.1	6647061	6715959	68898	29545	42.88
NC_051814.1	16586697	16654416	67719	33392	49.31
NC_051814.1	22082493	22156729	74236	14308	19.27
NC_051814.1	24918877	24986657	67780	30031	44.31
