window_id	chrom	start0	end0	length	pattern_id	exact_locus_count_both_strands	unique_exact
w01	NC_051811.1	17255706	17255726	20	0	1	True
w01	NC_051811.1	17255707	17255727	20	1	1	True
w01	NC_051811.1	17255708	17255728	20	2	1	True
w01	NC_051811.1	17255709	17255729	20	3	1	True
w01	NC_051811.1	17255710	17255730	20	4	1	True
w01	NC_051811.1	17255711	17255731	20	5	1	True
w01	NC_051811.1	17255712	17255732	20	6	1	True
w01	NC_051811.1	17255713	17255733	20	7	1	True
w01	NC_051811.1	17255714	17255734	20	8	1	True
w01	NC_051811.1	17255715	17255735	20	9	1	True
w01	NC_051811.1	17255716	17255736	20	10	1	True
w01	NC_051811.1	17255717	17255737	20	11	1	True
w01	NC_051811.1	17255718	17255738	20	12	1	True
w01	NC_051811.1	17255719	17255739	20	13	1	True
w01	NC_051811.1	17255720	17255740	20	14	1	True
w01	NC_051811.1	17255721	17255741	20	15	1	True
w01	NC_051811.1	17255722	17255742	20	16	1	True
w01	NC_051811.1	17255723	17255743	20	17	1	True
w01	NC_051811.1	17255724	17255744	20	18	1	True
w01	NC_051811.1	17255725	17255745	20	19	1	True
w01	NC_051811.1	17255726	17255746	20	20	1	True
w01	NC_051811.1	17255727	17255747	20	21	1	True
w01	NC_051811.1	17255728	17255748	20	22	1	True
w01	NC_051811.1	17255729	17255749	20	23	1	True
w01	NC_051811.1	17255730	17255750	20	24	1	True
w01	NC_051811.1	17255731	17255751	20	25	1	True
w01	NC_051811.1	17255732	17255752	20	26	1	True
w01	NC_051811.1	17255733	17255753	20	27	1	True
w01	NC_051811.1	17255734	17255754	20	28	1	True
w01	NC_051811.1	17255735	17255755	20	29	1	True
w01	NC_051811.1	17255736	17255756	20	30	1	True
w01	NC_051811.1	17255737	17255757	20	31	1	True
w01	NC_051811.1	17255738	17255758	20	32	1	True
w01	NC_051811.1	17255739	17255759	20	33	1	True
w01	NC_051811.1	17255740	17255760	20	34	1	True
w01	NC_051811.1	17255741	17255761	20	35	1	True
w01	NC_051811.1	17255742	17255762	20	36	1	True
w01	NC_051811.1	17255743	17255763	20	37	1	True
w01	NC_051811.1	17255744	17255764	20	38	1	True
w01	NC_051811.1	17255745	17255765	20	39	1	True
w01	NC_051811.1	17255746	17255766	20	40	1	True
w01	NC_051811.1	17255747	17255767	20	41	1	True
w01	NC_051811.1	17255748	17255768	20	42	1	True
w01	NC_051811.1	17255749	17255769	20	43	1	True
w01	NC_051811.1	17255750	17255770	20	44	1	True
w01	NC_051811.1	17255751	17255771	20	45	1	True
w01	NC_051811.1	17255752	17255772	20	46	1	True
w01	NC_051811.1	17255753	17255773	20	47	1	True
w01	NC_051811.1	17255754	17255774	20	48	1	True
w01	NC_051811.1	17255755	17255775	20	49	1	True
w01	NC_051811.1	17255756	17255776	20	50	1	True
w01	NC_051811.1	17255757	17255777	20	51	1	True
w01	NC_051811.1	17255758	17255778	20	52	1	True
w01	NC_051811.1	17255759	17255779	20	53	1	True
w01	NC_051811.1	17255760	17255780	20	54	1	True
w01	NC_051811.1	17255761	17255781	20	55	1	True
w01	NC_051811.1	17255762	17255782	20	56	1	True
w01	NC_051811.1	17255763	17255783	20	57	1	True
w01	NC_051811.1	17255764	17255784	20	58	1	True
w01	NC_051811.1	17255765	17255785	20	59	1	True
w01	NC_051811.1	17255766	17255786	20	60	1	True
w01	NC_051811.1	17255767	17255787	20	61	1	True
w01	NC_051811.1	17255768	17255788	20	62	1	True
w01	NC_051811.1	17255769	17255789	20	63	1	True
w01	NC_051811.1	17255770	17255790	20	64	1	True
w01	NC_051811.1	17255771	17255791	20	65	1	True
w01	NC_051811.1	17255772	17255792	20	66	1	True
w01	NC_051811.1	17255773	17255793	20	67	1	True
w01	NC_051811.1	17255774	17255794	20	68	1	True
w01	NC_051811.1	17255775	17255795	20	69	1	True
w01	NC_051811.1	17255776	17255796	20	70	1	True
w01	NC_051811.1	17255777	17255797	20	71	1	True
w01	NC_051811.1	17255778	17255798	20	72	1	True
w01	NC_051811.1	17255779	17255799	20	73	1	True
w01	NC_051811.1	17255780	17255800	20	74	1	True
w01	NC_051811.1	17255781	17255801	20	75	1	True
w01	NC_051811.1	17255782	17255802	20	76	1	True
w01	NC_051811.1	17255783	17255803	20	77	1	True
w01	NC_051811.1	17255784	17255804	20	78	1	True
w01	NC_051811.1	17255785	17255805	20	79	1	True
w01	NC_051811.1	17255786	17255806	20	80	1	True
w01	NC_051811.1	17255787	17255807	20	81	1	True
w01	NC_051811.1	17255788	17255808	20	82	1	True
w01	NC_051811.1	17255789	17255809	20	83	1	True
w01	NC_051811.1	17255790	17255810	20	84	1	True
w01	NC_051811.1	17255791	17255811	20	85	1	True
w01	NC_051811.1	17255792	17255812	20	86	1	True
w01	NC_051811.1	17255793	17255813	20	87	1	True
w01	NC_051811.1	17255794	17255814	20	88	1	True
w01	NC_051811.1	17255795	17255815	20	89	1	True
w01	NC_051811.1	17255796	17255816	20	90	3	False
w01	NC_051811.1	17255797	17255817	20	91	1	True
w01	NC_051811.1	17255798	17255818	20	92	1	True
w01	NC_051811.1	17255799	17255819	20	93	1	True
w01	NC_051811.1	17255800	17255820	20	94	2	False
w01	NC_051811.1	17255801	17255821	20	95	1	True
w01	NC_051811.1	17255802	17255822	20	96	1	True
w01	NC_051811.1	17255803	17255823	20	97	1	True
w01	NC_051811.1	17255804	17255824	20	98	1	True
w01	NC_051811.1	17255805	17255825	20	99	1	True
w01	NC_051811.1	17255806	17255826	20	100	1	True
w01	NC_051811.1	17255807	17255827	20	101	1	True
w01	NC_051811.1	17255808	17255828	20	102	1	True
