genes	chrom	start	end	window_bp	atac_mean	atac_observed_fraction	atac_length_matched_percentile	atac_peak_frequency_max	rrbs_observed_fraction	rrbs_mean_observed	rrbs_dogs_max	repeat_overlap_bp	phylop_scored_fraction	phylop_mean_observed	phylop_max_observed	atac-peaks-bed_overlap_bp	external-regulatory-bed_overlap_bp	tad-boundaries-bed_overlap_bp	cpg_overlap_bp
ANO2/NTF3	NC_051831.1	39729824	39730324	500	1.4614289984703064	1.0	96.93333333333334	1.0	0.3	54.804768880208336	3.0	258	1.0	0.188776	4.513	0	0	0	0
ANO2/NTF3	NC_051831.1	39728324	39728824	500	1.3806941986083985	1.0	95.86666666666666	0.0	0.248	73.96610106191328	18.0	0	1.0	0.6068999999999999	7.039	0	0	0	0
ANO2/NTF3	NC_051831.1	39737074	39737574	500	1.3589232034683227	1.0	95.39999999999999	0.0	0.448	94.39894798823765	53.0	0	1.0	0.06332199999999998	7.175	0	0	0	0
ANO2/NTF3	NC_051831.1	39728324	39729324	1000	1.3454099329710008	1.0	94.1	0.0	0.274	64.79277506361913	18.0	0	1.0	0.41943199999999997	7.039	0	0	0	0
ANO2/NTF3	NC_051831.1	39736824	39737824	1000	1.3296369533538819	1.0	93.53333333333333	0.0	0.35	92.90697152273995	53.0	180	1.0	0.05776199999999999	7.175	0	0	0	0
ANO2/NTF3	NC_051831.1	39729824	39730824	1000	1.3245440834760667	1.0	93.36666666666666	1.0	0.25	32.882861328125	3.0	374	1.0	0.43123500000000003	6.716	0	0	0	0
ANO2/NTF3	NC_051831.1	39728324	39730324	2000	1.3284509319365025	1.0	93.03333333333333	1.0	0.25	59.45154876708985	18.0	258	1.0	0.285995	7.039	0	0	0	0
ANO2/NTF3	NC_051831.1	39736824	39738824	2000	1.2568463822305203	1.0	90.0	0.0	0.175	92.90697152273995	53.0	394	0.999	0.03680030030030028	7.175	0	0	0	0
ANO2/NTF3	NC_051831.1	39708324	39710324	2000	1.2267921168804168	1.0	88.6	1.0	0.225	72.45985921223958	33.0	458	0.9995	0.15265782891445723	7.874	0	0	0	0
LOC119876429/LOC119872513	NC_051811.1	17235956	17236456	500	1.6310728163719177	1.0	98.16666666666667	3.0	0.3	68.2643445332845	60.0	85	1.0	0.203984	4.836	0	0	0	0
LOC119876429/LOC119872513	NC_051811.1	17243206	17243706	500	1.2784551203250885	1.0	92.03333333333333	1.0	0.088	100.0	1.0	0	1.0	0.20986600000000002	10.183	0	0	0	0
LOC119876429/LOC119872513	NC_051811.1	17233956	17234456	500	1.2636916000843048	1.0	91.23333333333333	0.0	0.0		0.0	34	1.0	-0.04477000000000002	3.63	0	0	0	0
LOC119876429/LOC119872513	NC_051811.1	17235706	17236706	1000	1.4151809779405593	1.0	96.06666666666666	3.0	0.2	59.53159141540527	60.0	94	1.0	0.2901990000000001	5.848	0	0	0	0
LOC119876429/LOC119872513	NC_051811.1	17242956	17243956	1000	1.2499471078515052	1.0	90.43333333333334	1.0	0.144	100.0	1.0	87	1.0	0.105174	10.183	0	0	0	0
LOC119876429/LOC119872513	NC_051811.1	17234206	17235206	1000	1.2159110369086266	1.0	88.46666666666667	0.0	0.0		0.0	295	1.0	0.15390399999999999	6.154	0	0	0	0
LOC119876429/LOC119872513	NC_051811.1	17234456	17236456	2000	1.2955226723253728	1.0	91.8	3.0	0.1	59.53159141540527	60.0	485	1.0	0.25840250000000003	6.154	0	0	0	0
LOC119876429/LOC119872513	NC_051811.1	17242956	17244956	2000	1.1589693933427334	1.0	83.66666666666667	1.0	0.097	100.0	1.0	352	1.0	0.0041419999999999955	10.183	0	0	0	0
LOC119876429/LOC119872513	NC_051811.1	17245456	17247456	2000	1.1237610659748316	1.0	79.7	0.0	0.025	100.0	1.0	319	0.995	0.27546683417085427	7.339	0	0	0	0
NPNT/TBCK	NC_051836.1	27057911	27058411	500	1.8008260744810105	1.0	98.6	9.0	0.0		0.0	137	1.0	0.43405199999999994	6.726	0	0	0	0
NPNT/TBCK	NC_051836.1	27035411	27035911	500	1.5615019648075104	1.0	97.93333333333332	1.0	0.0		0.0	110	1.0	-0.17125599999999996	3.816	0	0	0	0
NPNT/TBCK	NC_051836.1	27041411	27041911	500	1.3421220446825028	1.0	94.83333333333334	2.0	0.2	63.92643928527832	68.0	28	1.0	0.010931999999999996	4.905	0	0	0	0
NPNT/TBCK	NC_051836.1	27057411	27058411	1000	1.4599380260705948	1.0	96.63333333333334	9.0	0.089	100.0	3.0	137	1.0	0.367814	6.726	0	0	0	0
NPNT/TBCK	NC_051836.1	27035411	27036411	1000	1.400010933279991	1.0	95.6	1.0	0.1	41.66666603088379	1.0	110	1.0	-0.10053299999999998	4.978	0	0	0	0
NPNT/TBCK	NC_051836.1	27028911	27029911	1000	1.2713715574145317	1.0	91.10000000000001	0.0	0.15	45.75299835205078	28.0	124	1.0	0.60252	10.621	0	0	0	0
NPNT/TBCK	NC_051836.1	27034411	27036411	2000	1.2473781406879425	1.0	89.63333333333333	1.0	0.125	69.57737655639649	36.0	416	1.0	-0.07333599999999998	6.284	0	0	0	0
NPNT/TBCK	NC_051836.1	27057161	27059161	2000	1.2396922506690025	1.0	89.23333333333333	9.0	0.075	100.0	3.0	614	1.0	0.2617835	6.726	0	0	0	0
NPNT/TBCK	NC_051836.1	27028661	27030661	2000	1.183993337482214	1.0	85.76666666666667	0.0	0.075	45.75299835205078	28.0	158	1.0	0.255839	10.621	0	0	0	0
