id	genes	chrom	start	end	length	mapq	correct_exact_self_alignment	other_alignment_reported	passes_remap_proxy
0	ANO2/NTF3	NC_051831.1	39728324	39728424	100	60	True	False	True
1	ANO2/NTF3	NC_051831.1	39728349	39728449	100	60	True	False	True
2	ANO2/NTF3	NC_051831.1	39728374	39728474	100	60	True	False	True
3	ANO2/NTF3	NC_051831.1	39728399	39728499	100	60	True	False	True
4	ANO2/NTF3	NC_051831.1	39728424	39728524	100	60	True	False	True
5	ANO2/NTF3	NC_051831.1	39728449	39728549	100	60	True	False	True
6	ANO2/NTF3	NC_051831.1	39728474	39728574	100	60	True	False	True
7	ANO2/NTF3	NC_051831.1	39728499	39728599	100	60	True	False	True
8	ANO2/NTF3	NC_051831.1	39728524	39728624	100	60	True	False	True
9	ANO2/NTF3	NC_051831.1	39728549	39728649	100	60	True	False	True
10	ANO2/NTF3	NC_051831.1	39728574	39728674	100	60	True	False	True
11	ANO2/NTF3	NC_051831.1	39728599	39728699	100	60	True	False	True
12	ANO2/NTF3	NC_051831.1	39728624	39728724	100	60	True	False	True
13	ANO2/NTF3	NC_051831.1	39728649	39728749	100	60	True	False	True
14	ANO2/NTF3	NC_051831.1	39728674	39728774	100	60	True	False	True
15	ANO2/NTF3	NC_051831.1	39728699	39728799	100	60	True	False	True
16	ANO2/NTF3	NC_051831.1	39728724	39728824	100	60	True	False	True
17	ANO2/NTF3	NC_051831.1	39728749	39728849	100	60	True	False	True
18	ANO2/NTF3	NC_051831.1	39728774	39728874	100	60	True	False	True
19	ANO2/NTF3	NC_051831.1	39728799	39728899	100	60	True	False	True
20	ANO2/NTF3	NC_051831.1	39728824	39728924	100	60	True	False	True
21	ANO2/NTF3	NC_051831.1	39728849	39728949	100	60	True	False	True
22	ANO2/NTF3	NC_051831.1	39728874	39728974	100	60	True	False	True
23	ANO2/NTF3	NC_051831.1	39728899	39728999	100	60	True	False	True
24	ANO2/NTF3	NC_051831.1	39728924	39729024	100	60	True	False	True
25	ANO2/NTF3	NC_051831.1	39728949	39729049	100	60	True	False	True
26	ANO2/NTF3	NC_051831.1	39728974	39729074	100	60	True	False	True
27	ANO2/NTF3	NC_051831.1	39728999	39729099	100	60	True	False	True
28	ANO2/NTF3	NC_051831.1	39729024	39729124	100	60	True	False	True
29	ANO2/NTF3	NC_051831.1	39729049	39729149	100	60	True	False	True
30	ANO2/NTF3	NC_051831.1	39729074	39729174	100	60	True	False	True
31	ANO2/NTF3	NC_051831.1	39729099	39729199	100	60	True	False	True
32	ANO2/NTF3	NC_051831.1	39729124	39729224	100	60	True	False	True
33	ANO2/NTF3	NC_051831.1	39729149	39729249	100	60	True	False	True
34	ANO2/NTF3	NC_051831.1	39729174	39729274	100	60	True	False	True
35	ANO2/NTF3	NC_051831.1	39729199	39729299	100	60	True	False	True
36	ANO2/NTF3	NC_051831.1	39729224	39729324	100	60	True	False	True
37	ANO2/NTF3	NC_051831.1	39728324	39728474	150	60	True	False	True
38	ANO2/NTF3	NC_051831.1	39728349	39728499	150	60	True	False	True
39	ANO2/NTF3	NC_051831.1	39728374	39728524	150	60	True	False	True
40	ANO2/NTF3	NC_051831.1	39728399	39728549	150	60	True	False	True
41	ANO2/NTF3	NC_051831.1	39728424	39728574	150	60	True	False	True
42	ANO2/NTF3	NC_051831.1	39728449	39728599	150	60	True	False	True
43	ANO2/NTF3	NC_051831.1	39728474	39728624	150	60	True	False	True
44	ANO2/NTF3	NC_051831.1	39728499	39728649	150	60	True	False	True
45	ANO2/NTF3	NC_051831.1	39728524	39728674	150	60	True	False	True
46	ANO2/NTF3	NC_051831.1	39728549	39728699	150	60	True	False	True
47	ANO2/NTF3	NC_051831.1	39728574	39728724	150	60	True	False	True
48	ANO2/NTF3	NC_051831.1	39728599	39728749	150	60	True	False	True
49	ANO2/NTF3	NC_051831.1	39728624	39728774	150	60	True	False	True
50	ANO2/NTF3	NC_051831.1	39728649	39728799	150	60	True	False	True
51	ANO2/NTF3	NC_051831.1	39728674	39728824	150	60	True	False	True
52	ANO2/NTF3	NC_051831.1	39728699	39728849	150	60	True	False	True
53	ANO2/NTF3	NC_051831.1	39728724	39728874	150	60	True	False	True
54	ANO2/NTF3	NC_051831.1	39728749	39728899	150	60	True	False	True
55	ANO2/NTF3	NC_051831.1	39728774	39728924	150	60	True	False	True
56	ANO2/NTF3	NC_051831.1	39728799	39728949	150	60	True	False	True
57	ANO2/NTF3	NC_051831.1	39728824	39728974	150	60	True	False	True
58	ANO2/NTF3	NC_051831.1	39728849	39728999	150	60	True	False	True
59	ANO2/NTF3	NC_051831.1	39728874	39729024	150	60	True	False	True
60	ANO2/NTF3	NC_051831.1	39728899	39729049	150	60	True	False	True
61	ANO2/NTF3	NC_051831.1	39728924	39729074	150	60	True	False	True
62	ANO2/NTF3	NC_051831.1	39728949	39729099	150	60	True	False	True
63	ANO2/NTF3	NC_051831.1	39728974	39729124	150	60	True	False	True
64	ANO2/NTF3	NC_051831.1	39728999	39729149	150	60	True	False	True
65	ANO2/NTF3	NC_051831.1	39729024	39729174	150	60	True	False	True
66	ANO2/NTF3	NC_051831.1	39729049	39729199	150	60	True	False	True
67	ANO2/NTF3	NC_051831.1	39729074	39729224	150	60	True	False	True
68	ANO2/NTF3	NC_051831.1	39729099	39729249	150	60	True	False	True
69	ANO2/NTF3	NC_051831.1	39729124	39729274	150	60	True	False	True
70	ANO2/NTF3	NC_051831.1	39729149	39729299	150	60	True	False	True
71	ANO2/NTF3	NC_051831.1	39729174	39729324	150	60	True	False	True
72	ANO2/NTF3	NC_051831.1	39728324	39728574	250	60	True	False	True
73	ANO2/NTF3	NC_051831.1	39728349	39728599	250	60	True	False	True
74	ANO2/NTF3	NC_051831.1	39728374	39728624	250	60	True	False	True
75	ANO2/NTF3	NC_051831.1	39728399	39728649	250	60	True	False	True
76	ANO2/NTF3	NC_051831.1	39728424	39728674	250	60	True	False	True
77	ANO2/NTF3	NC_051831.1	39728449	39728699	250	60	True	False	True
78	ANO2/NTF3	NC_051831.1	39728474	39728724	250	60	True	False	True
79	ANO2/NTF3	NC_051831.1	39728499	39728749	250	60	True	False	True
80	ANO2/NTF3	NC_051831.1	39728524	39728774	250	60	True	False	True
81	ANO2/NTF3	NC_051831.1	39728549	39728799	250	60	True	False	True
82	ANO2/NTF3	NC_051831.1	39728574	39728824	250	60	True	False	True
83	ANO2/NTF3	NC_051831.1	39728599	39728849	250	60	True	False	True
84	ANO2/NTF3	NC_051831.1	39728624	39728874	250	60	True	False	True
85	ANO2/NTF3	NC_051831.1	39728649	39728899	250	60	True	False	True
86	ANO2/NTF3	NC_051831.1	39728674	39728924	250	60	True	False	True
87	ANO2/NTF3	NC_051831.1	39728699	39728949	250	60	True	False	True
88	ANO2/NTF3	NC_051831.1	39728724	39728974	250	60	True	False	True
