id	chrom	start0	end0	atac_mean	atac_percentile	GC	GC_distance_w01	coding_TSS_distance	miRNA_distance	risk_gene_distance	screen_flags	stage	pending
bg1k_0228	NC_051826.1	56546547	56547547	0.9046653767824173	19.050824638168965	0.41	0.0010000000000000009	394290	13666526	2271392		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_1958	NC_051809.1	83663220	83664220	0.783729065595002	2.457085156512959	0.412	0.0010000000000000009	362453	1061823	559087		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_2686	NC_051837.1	7716819	7717819	0.8508549840003252	7.573207674183776	0.408	0.0030000000000000027	76836	11034525	310625		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_1023	NC_051816.1	46678467	46679467	0.8753683442473411	12.083473577919893	0.415	0.0040000000000000036	263847	5194680	389248		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0023	NC_051830.1	35042788	35043788	0.6268493895523647	0.4039044092898014	0.416	0.0050000000000000044	336819	2712563	1028947		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0878	NC_051811.1	52129900	52130900	0.8977389335632324	17.300572197913162	0.417	0.006000000000000005	542605	2101922	2531715		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_1650	NC_051820.1	195668	196668	0.7373371371626853	1.413665432514305	0.404	0.006999999999999951	64355	891387	811902		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_2228	NC_051806.1	39725551	39726551	0.8539509971737862	8.31369909121508	0.402	0.008999999999999952	332640	3277484	1033088		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_2867	NC_051829.1	33663188	33664188	0.8776033525973295	12.554695388757994	0.396	0.014999999999999958	160265	1563994	357135		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
bg1k_0117	NC_051819.1	26093664	26094664	0.6507473913431168	0.572197913160552	0.393	0.01799999999999996	716484	1506820	1882389		preliminary_annotation_screen_only	alternative_transcripts;TAD;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype
