chrom	start0	end0	bases	relation_to_catalogued_span	GC_fraction_canonical	canonical_fraction	N_bases	MAPQ_min	exclude_marked_duplicates	aligned_read_bases	mean_read_base_depth	sampled	canonical_probes	excluded_noncanonical	origin_MAPQ30	sampled_origin_MAPQ30_fraction
NC_049253.1	0	100000	100000	outside	0.5621021021021021	0.999	100	30	True	265820	2.6582	100	99	1	10	0.10101010101010101
NC_049253.1	100000	200000	100000	outside	0.5640840840840841	0.999	100	30	True	415631	4.15631	100	100		17	0.17
NC_049253.1	200000	300000	100000	outside	0.56462	1.0	0	30	True	1334371	13.34371	100	100		56	0.56
NC_049253.1	300000	400000	100000	outside	0.56495	1.0	0	30	True	1753645	17.53645	100	100		79	0.79
NC_049253.1	400000	500000	100000	outside	0.56409	1.0	0	30	True	1619960	16.1996	100	100		70	0.7
NC_049253.1	500000	600000	100000	outside	0.56501	1.0	0	30	True	1615837	16.15837	100	100		71	0.71
NC_049253.1	600000	700000	100000	outside	0.56518	1.0	0	30	True	1219949	12.19949	100	100		77	0.77
NC_049253.1	700000	800000	100000	outside	0.40063	1.0	0	30	True	1481965	14.81965	100	100		69	0.69
NC_049253.1	800000	900000	100000	outside	0.38055	1.0	0	30	True	1905547	19.05547	100	100		68	0.68
NC_049253.1	900000	1000000	100000	outside	0.47535	1.0	0	30	True	1790077	17.90077	100	100		76	0.76
NC_049253.1	1000000	1100000	100000	outside	0.42716	1.0	0	30	True	3644992	36.44992	100	100		93	0.93
NC_049253.1	1100000	1200000	100000	outside	0.38277	1.0	0	30	True	1905310	19.0531	100	100		83	0.83
NC_049253.1	1200000	1300000	100000	outside	0.37886	1.0	0	30	True	1966044	19.66044	100	100		93	0.93
NC_049253.1	1300000	1400000	100000	outside	0.38328	1.0	0	30	True	1913747	19.13747	100	100		86	0.86
NC_049253.1	1400000	1500000	100000	outside	0.38058	1.0	0	30	True	2027236	20.27236	100	100		100	1.0
NC_049253.1	1500000	1600000	100000	outside	0.38373	1.0	0	30	True	2021368	20.21368	100	100		100	1.0
NC_049253.1	1600000	1700000	100000	outside	0.36431	1.0	0	30	True	1993364	19.93364	100	100		100	1.0
NC_049253.1	1700000	1800000	100000	outside	0.37111	1.0	0	30	True	1946609	19.46609	100	100		96	0.96
NC_049253.1	1800000	1900000	100000	outside	0.39807	1.0	0	30	True	2025811	20.25811	100	100		100	1.0
NC_049253.1	1900000	2000000	100000	outside	0.39278	1.0	0	30	True	1973095	19.73095	100	100		97	0.97
NC_049253.1	2000000	2100000	100000	outside	0.37859	1.0	0	30	True	1916957	19.16957	100	100		100	1.0
NC_049253.1	2100000	2200000	100000	outside	0.36338	1.0	0	30	True	2039294	20.39294	100	100		100	1.0
NC_049253.1	2200000	2300000	100000	outside	0.38275	1.0	0	30	True	1995377	19.95377	100	100		100	1.0
NC_049253.1	2300000	2400000	100000	outside	0.36117	1.0	0	30	True	2036461	20.36461	100	100		99	0.99
NC_049253.1	2400000	2500000	100000	outside	0.35713	1.0	0	30	True	2017701	20.17701	100	100		99	0.99
NC_049253.1	2500000	2600000	100000	outside	0.36732	1.0	0	30	True	1996459	19.96459	100	100		99	0.99
NC_049253.1	2600000	2700000	100000	outside	0.36123	1.0	0	30	True	1975314	19.75314	100	100		96	0.96
NC_049253.1	2700000	2800000	100000	outside	0.34445	1.0	0	30	True	1926238	19.26238	100	100		98	0.98
NC_049253.1	2800000	2900000	100000	outside	0.35514	1.0	0	30	True	1973178	19.73178	100	100		99	0.99
NC_049253.1	2900000	3000000	100000	outside	0.3456	1.0	0	30	True	1809357	18.09357	100	100		80	0.8
NC_049253.1	3000000	3100000	100000	outside	0.33833	1.0	0	30	True	1917626	19.17626	100	100		99	0.99
NC_049253.1	3100000	3200000	100000	outside	0.35052	1.0	0	30	True	1925539	19.25539	100	100		98	0.98
NC_049253.1	3200000	3300000	100000	outside	0.32982	1.0	0	30	True	1864225	18.64225	100	100		100	1.0
NC_049253.1	3300000	3400000	100000	outside	0.36011	1.0	0	30	True	1954885	19.54885	100	100		100	1.0
NC_049253.1	3400000	3500000	100000	outside	0.34493	1.0	0	30	True	1844262	18.44262	100	100		95	0.95
NC_049253.1	3500000	3600000	100000	outside	0.34689	1.0	0	30	True	1921129	19.21129	100	100		99	0.99
NC_049253.1	3600000	3700000	100000	outside	0.34545	1.0	0	30	True	1893530	18.9353	100	100		97	0.97
NC_049253.1	3700000	3800000	100000	outside	0.35614	1.0	0	30	True	1930520	19.3052	100	100		97	0.97
NC_049253.1	3800000	3900000	100000	outside	0.34328	1.0	0	30	True	1919742	19.19742	100	100		100	1.0
NC_049253.1	3900000	4000000	100000	outside	0.3366	1.0	0	30	True	1932755	19.32755	100	100		98	0.98
NC_049253.1	4000000	4100000	100000	outside	0.32757	1.0	0	30	True	1878498	18.78498	100	100		99	0.99
NC_049253.1	4100000	4200000	100000	outside	0.33096	1.0	0	30	True	1898656	18.98656	100	100		98	0.98
NC_049253.1	4200000	4300000	100000	outside	0.33876	1.0	0	30	True	1901914	19.01914	100	100		97	0.97
NC_049253.1	4300000	4400000	100000	outside	0.34173	1.0	0	30	True	1873275	18.73275	100	100		98	0.98
NC_049253.1	4400000	4500000	100000	outside	0.33427	1.0	0	30	True	1840930	18.4093	100	100		99	0.99
NC_049253.1	4500000	4600000	100000	outside	0.34638	1.0	0	30	True	1739467	17.39467	100	100		92	0.92
NC_049253.1	4600000	4700000	100000	outside	0.33446	1.0	0	30	True	1864304	18.64304	100	100		98	0.98
NC_049253.1	4800000	4900000	100000	inside	0.34209209209209207	0.999	100	30	True	287823	2.87823	100	100		13	0.13
NC_049253.1	4900000	5000000	100000	inside	0.34663	1.0	0	30	True	1843695	18.43695	100	100		97	0.97
NC_049253.1	5000000	5100000	100000	inside	0.33749	1.0	0	30	True	1838060	18.3806	100	100		96	0.96
NC_049253.1	5100000	5200000	100000	inside	0.34961	1.0	0	30	True	1787888	17.87888	100	100		93	0.93
NC_049253.1	5200000	5300000	100000	inside	0.32868	1.0	0	30	True	1956942	19.56942	100	100		100	1.0
NC_049253.1	5300000	5400000	100000	inside	0.33703	1.0	0	30	True	1949221	19.49221	100	100		98	0.98
NC_049253.1	5400000	5500000	100000	inside	0.3483	1.0	0	30	True	1911670	19.1167	100	100		96	0.96
NC_049253.1	5500000	5600000	100000	inside	0.35423	1.0	0	30	True	1989881	19.89881	100	100		100	1.0
NC_049253.1	5600000	5700000	100000	inside	0.36366	1.0	0	30	True	2003113	20.03113	100	100		100	1.0
NC_049253.1	5700000	5800000	100000	inside	0.37139	1.0	0	30	True	1934689	19.34689	100	100		99	0.99
NC_049253.1	5800000	5900000	100000	inside	0.35618	1.0	0	30	True	1944070	19.4407	100	100		98	0.98
NC_049253.1	5900000	6000000	100000	inside	0.34017	1.0	0	30	True	1984272	19.84272	100	100		100	1.0
NC_049253.1	6000000	6100000	100000	inside	0.35335	1.0	0	30	True	1988247	19.88247	100	100		97	0.97
NC_049253.1	6100000	6200000	100000	inside	0.3687	1.0	0	30	True	1990165	19.90165	100	100		99	0.99
NC_049253.1	6200000	6300000	100000	inside	0.36326	1.0	0	30	True	1939673	19.39673	100	100		95	0.95
NC_049253.1	6300000	6400000	100000	inside	0.36984	1.0	0	30	True	2014437	20.14437	100	100		99	0.99
NC_049253.1	6400000	6500000	100000	inside	0.35272	1.0	0	30	True	2024196	20.24196	100	100		97	0.97
NC_049253.1	6500000	6600000	100000	inside	0.35048	1.0	0	30	True	2061555	20.61555	100	100		100	1.0
NC_049253.1	6600000	6700000	100000	inside	0.35767	1.0	0	30	True	1990965	19.90965	100	100		98	0.98
NC_049253.1	6700000	6800000	100000	inside	0.37762	1.0	0	30	True	2013734	20.13734	100	100		100	1.0
NC_049253.1	6800000	6900000	100000	inside	0.35588	1.0	0	30	True	1989664	19.89664	100	100		100	1.0
NC_049253.1	6900000	7000000	100000	inside	0.36648	1.0	0	30	True	1986412	19.86412	100	100		97	0.97
NC_049253.1	7000000	7100000	100000	inside	0.36826	1.0	0	30	True	1958902	19.58902	100	100		100	1.0
NC_049253.1	7100000	7200000	100000	inside	0.3558	1.0	0	30	True	2033984	20.33984	100	100		99	0.99
NC_049253.1	7200000	7300000	100000	inside	0.37374	1.0	0	30	True	1933936	19.33936	100	100		99	0.99
NC_049253.1	7300000	7400000	100000	inside	0.39288	1.0	0	30	True	1946473	19.46473	100	100		99	0.99
NC_049253.1	7400000	7500000	100000	inside	0.3786	1.0	0	30	True	1931453	19.31453	100	100		100	1.0
NC_049253.1	7500000	7600000	100000	inside	0.39412	1.0	0	30	True	1950123	19.50123	100	100		99	0.99
