chrom	start	end	length	orientation	left_gene	right_gene	hard_veto	veto_tad_boundary	veto_atac_peak	veto_risk_gene	veto_low_mappability	veto_mirna_nearby	veto_risk_gene_radius	veto_gene_dense_neighborhood	veto_lncrna_smallrna	veto_tad_risk_gene	veto_high_repeat_content	pct_repeat	veto_ultraconserved_element	max_50bp_rolling_phyloP	veto_external_regulatory_element	veto_low_atac_accessibility	no_rrbs_coverage	atac_mean	atac_mean_percentile	atac_variability	atac_peak_frequency	rrbs_mean	rrbs_variability	tad_boundary_distance	mirna_distance	risk_gene_radius_distance	gene_dense_clearance	score_stability_atac	score_low_peak_frequency	score_low_methylation	score_stability_rrbs	score_tad_distance	final_score	final_score_display
NC_051805.1	5377330	5428711	51381	convergent	LOC111090571	LOC111090572	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9597474104018201	0.44050013708022406	0.04724774868303338	1.0	10.33834705603718	0.5137347636648217	178020	12071148	660814	12788							
NC_051805.1	7072137	7132579	60442	convergent	LOC111090579	LOC100685067	True	False	False	False	False	False	False	False	False	False	False	31.25	False	4.15556	False	True	False	0.9505572135673322	0.4237472283432151	0.046515098357025615	1.0	4.14576126789335	0.4269547934638199	447642	10371810	812616	120385							
NC_051805.1	12686627	12749345	62718	convergent	LOC111093764	LOC607190	True	False	False	False	False	False	False	False	False	False	False	37.17	False	4.39912	False	True	False	0.9035171132555689	0.33949235623251917	0.04423017092810597	12.0	8.893172120273194	0.6203617824074517	232014	4756182	704919	65011							
NC_051805.1	15464961	15523285	58324	convergent	LOC111090610	LOC100688146	True	False	False	False	False	False	False	True	False	False	False		False		False	True	False	0.9653190537233525	0.450674978642656	0.047228715498998236	1.0	6.984528047361349	0.4619753946232288	344123	1980045	846396	14232							
NC_051805.1	16284172	16340519	56347	convergent	LOC119869864	PMAIP1	True	False	True	True	False	False	True	False	False	True	False		False		True	False	False	1.2774477478820925	0.8704941453941123	0.06739933788996776	61.0	14.728572679036953	1.1839522621766223	37345	1161823	28174	92123							
NC_051805.1	23540619	23593624	53005	convergent	LOC119870725	LOC119870724	True	False	True	False	False	False	True	True	False	False	False		False		False	False	False	1.0635223719982465	0.6224830446339155	0.0540974548936876	41.0	13.967244010779254	0.9878985017404335	157879	6092931	200280	7937							
NC_051805.1	26121059	26180255	59196	convergent	LOC111095273	LOC476208	True	False	False	False	False	False	True	True	False	True	False		False		False	True	False	0.9413721742620768	0.4070355714446117	0.045823071667422374	14.0	6.716701819387801	0.5748126687147135	50657	8676467	160573	22847							
NC_051805.1	29601219	29667821	66602	convergent	LOC100856045	IL20RA	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9837783408611492	0.48425661397087644	0.04876706749178447	5.0	9.173142309905593	0.9442532692647062	40480	12160330	596972	10367							
NC_051805.1	30822469	30875140	52671	convergent	ARFGEF3	LOC111095460	True	False	False	False	False	False	False	True	False	False	False		False		True	True	False	0.9672169508028136	0.45412470665431787	0.04708364724905071	6.0	8.798948199427258	0.6779366702127256	248804	13374614	418211	4644							
NC_051805.1	32197089	32249732	52643	convergent	LOC119870654	LOC111090654	True	False	False	False	False	False	False	False	False	False	False	27.97	True	6.91712	True	True	False	0.9843180518966783	0.48522791484264616	0.048928704610129305	12.0	5.868042018262537	0.27984302287361734	26590	12405452	1792817	282559							
