callset	genes	all_records	PASS_records	PASS_AF_ge_001	max_PASS_AF	callset_samples
AutoAndXPAR.SNPs.vqsr99.vcf.gz	ANO2/NTF3	24	20	8	0.6919999718666077	1987
AutoAndXPAR.SNPs.vqsr99.vcf.gz	LOC119876429/LOC119872513	20	13	3	0.2150000035762787	1987
AutoAndXPAR.SNPs.vqsr99.vcf.gz	NPNT/TBCK	23	23	9	0.32199999690055847	1987
AutoAndXPAR.nonSNPs.filter.vcf.gz	ANO2/NTF3	1	1	1	0.335999995470047	1987
AutoAndXPAR.nonSNPs.filter.vcf.gz	LOC119876429/LOC119872513	2	2	0	0.0005032999906688929	1987
AutoAndXPAR.nonSNPs.filter.vcf.gz	NPNT/TBCK	8	8	3	0.3240000009536743	1987
