chrom	start0	end0	bases	relation_to_catalogued_span	GC_fraction_canonical	canonical_fraction	N_bases
NC_049253.1	0	100000	100000	outside	0.5621021021021021	0.999	100
NC_049253.1	100000	200000	100000	outside	0.5640840840840841	0.999	100
NC_049253.1	200000	300000	100000	outside	0.56462	1.0	0
NC_049253.1	300000	400000	100000	outside	0.56495	1.0	0
NC_049253.1	400000	500000	100000	outside	0.56409	1.0	0
NC_049253.1	500000	600000	100000	outside	0.56501	1.0	0
NC_049253.1	600000	700000	100000	outside	0.56518	1.0	0
NC_049253.1	700000	800000	100000	outside	0.40063	1.0	0
NC_049253.1	800000	900000	100000	outside	0.38055	1.0	0
NC_049253.1	900000	1000000	100000	outside	0.47535	1.0	0
NC_049253.1	1000000	1100000	100000	outside	0.42716	1.0	0
NC_049253.1	1100000	1200000	100000	outside	0.38277	1.0	0
NC_049253.1	1200000	1300000	100000	outside	0.37886	1.0	0
NC_049253.1	1300000	1400000	100000	outside	0.38328	1.0	0
NC_049253.1	1400000	1500000	100000	outside	0.38058	1.0	0
NC_049253.1	1500000	1600000	100000	outside	0.38373	1.0	0
NC_049253.1	1600000	1700000	100000	outside	0.36431	1.0	0
NC_049253.1	1700000	1800000	100000	outside	0.37111	1.0	0
NC_049253.1	1800000	1900000	100000	outside	0.39807	1.0	0
NC_049253.1	1900000	2000000	100000	outside	0.39278	1.0	0
NC_049253.1	2000000	2100000	100000	outside	0.37859	1.0	0
NC_049253.1	2100000	2200000	100000	outside	0.36338	1.0	0
NC_049253.1	2200000	2300000	100000	outside	0.38275	1.0	0
NC_049253.1	2300000	2400000	100000	outside	0.36117	1.0	0
NC_049253.1	2400000	2500000	100000	outside	0.35713	1.0	0
NC_049253.1	2500000	2600000	100000	outside	0.36732	1.0	0
NC_049253.1	2600000	2700000	100000	outside	0.36123	1.0	0
NC_049253.1	2700000	2800000	100000	outside	0.34445	1.0	0
NC_049253.1	2800000	2900000	100000	outside	0.35514	1.0	0
NC_049253.1	2900000	3000000	100000	outside	0.3456	1.0	0
NC_049253.1	3000000	3100000	100000	outside	0.33833	1.0	0
NC_049253.1	3100000	3200000	100000	outside	0.35052	1.0	0
NC_049253.1	3200000	3300000	100000	outside	0.32982	1.0	0
NC_049253.1	3300000	3400000	100000	outside	0.36011	1.0	0
NC_049253.1	3400000	3500000	100000	outside	0.34493	1.0	0
NC_049253.1	3500000	3600000	100000	outside	0.34689	1.0	0
NC_049253.1	3600000	3700000	100000	outside	0.34545	1.0	0
NC_049253.1	3700000	3800000	100000	outside	0.35614	1.0	0
NC_049253.1	3800000	3900000	100000	outside	0.34328	1.0	0
NC_049253.1	3900000	4000000	100000	outside	0.3366	1.0	0
NC_049253.1	4000000	4100000	100000	outside	0.32757	1.0	0
NC_049253.1	4100000	4200000	100000	outside	0.33096	1.0	0
NC_049253.1	4200000	4300000	100000	outside	0.33876	1.0	0
NC_049253.1	4300000	4400000	100000	outside	0.34173	1.0	0
NC_049253.1	4400000	4500000	100000	outside	0.33427	1.0	0
NC_049253.1	4500000	4600000	100000	outside	0.34638	1.0	0
NC_049253.1	4600000	4700000	100000	outside	0.33446	1.0	0
NC_049253.1	4700000	4800000	100000	crosses_catalogue_boundary	0.33219	1.0	0
NC_049253.1	4800000	4900000	100000	inside	0.34209209209209207	0.999	100
NC_049253.1	4900000	5000000	100000	inside	0.34663	1.0	0
NC_049253.1	5000000	5100000	100000	inside	0.33749	1.0	0
NC_049253.1	5100000	5200000	100000	inside	0.34961	1.0	0
NC_049253.1	5200000	5300000	100000	inside	0.32868	1.0	0
NC_049253.1	5300000	5400000	100000	inside	0.33703	1.0	0
NC_049253.1	5400000	5500000	100000	inside	0.3483	1.0	0
NC_049253.1	5500000	5600000	100000	inside	0.35423	1.0	0
NC_049253.1	5600000	5700000	100000	inside	0.36366	1.0	0
NC_049253.1	5700000	5800000	100000	inside	0.37139	1.0	0
NC_049253.1	5800000	5900000	100000	inside	0.35618	1.0	0
NC_049253.1	5900000	6000000	100000	inside	0.34017	1.0	0
NC_049253.1	6000000	6100000	100000	inside	0.35335	1.0	0
NC_049253.1	6100000	6200000	100000	inside	0.3687	1.0	0
NC_049253.1	6200000	6300000	100000	inside	0.36326	1.0	0
NC_049253.1	6300000	6400000	100000	inside	0.36984	1.0	0
NC_049253.1	6400000	6500000	100000	inside	0.35272	1.0	0
NC_049253.1	6500000	6600000	100000	inside	0.35048	1.0	0
NC_049253.1	6600000	6700000	100000	inside	0.35767	1.0	0
NC_049253.1	6700000	6800000	100000	inside	0.37762	1.0	0
NC_049253.1	6800000	6900000	100000	inside	0.35588	1.0	0
NC_049253.1	6900000	7000000	100000	inside	0.36648	1.0	0
NC_049253.1	7000000	7100000	100000	inside	0.36826	1.0	0
NC_049253.1	7100000	7200000	100000	inside	0.3558	1.0	0
NC_049253.1	7200000	7300000	100000	inside	0.37374	1.0	0
NC_049253.1	7300000	7400000	100000	inside	0.39288	1.0	0
NC_049253.1	7400000	7500000	100000	inside	0.3786	1.0	0
NC_049253.1	7500000	7600000	100000	inside	0.39412	1.0	0
NC_049253.1	7600000	7700000	100000	inside	0.39189	1.0	0
NC_049253.1	7700000	7800000	100000	inside	0.37388	1.0	0
NC_049253.1	7800000	7900000	100000	inside	0.3641	1.0	0
NC_049253.1	7900000	8000000	100000	inside	0.36609	1.0	0
NC_049253.1	8000000	8100000	100000	inside	0.34919	1.0	0
NC_049253.1	8100000	8200000	100000	inside	0.34656	1.0	0
NC_049253.1	8200000	8300000	100000	inside	0.3548	1.0	0
NC_049253.1	8300000	8400000	100000	inside	0.3514	1.0	0
NC_049253.1	8400000	8500000	100000	inside	0.34497	1.0	0
NC_049253.1	8500000	8600000	100000	inside	0.33842	1.0	0
NC_049253.1	8600000	8700000	100000	inside	0.34704	1.0	0
NC_049253.1	8700000	8800000	100000	inside	0.35095	1.0	0
NC_049253.1	8800000	8900000	100000	inside	0.35219	1.0	0
NC_049253.1	8900000	9000000	100000	inside	0.3703	1.0	0
NC_049253.1	9000000	9100000	100000	inside	0.36734	1.0	0
NC_049253.1	9100000	9200000	100000	inside	0.42965	1.0	0
NC_049253.1	9200000	9300000	100000	inside	0.37001	1.0	0
NC_049253.1	9300000	9400000	100000	inside	0.38431	1.0	0
NC_049253.1	9400000	9500000	100000	inside	0.38754	1.0	0
NC_049253.1	9500000	9600000	100000	inside	0.39532	1.0	0
NC_049253.1	9600000	9700000	100000	inside	0.38649	1.0	0
NC_049253.1	9700000	9800000	100000	inside	0.38067	1.0	0
NC_049253.1	9800000	9900000	100000	inside	0.37217	1.0	0
NC_049253.1	9900000	10000000	100000	inside	0.3897	1.0	0
NC_049253.1	10000000	10100000	100000	inside	0.40155	1.0	0
NC_049253.1	10100000	10200000	100000	inside	0.35972	1.0	0
NC_049253.1	10200000	10300000	100000	inside	0.39708	1.0	0
NC_049253.1	10300000	10400000	100000	inside	0.35703	1.0	0
NC_049253.1	10400000	10500000	100000	inside	0.35174	1.0	0
NC_049253.1	10500000	10600000	100000	inside	0.35629	1.0	0
NC_049253.1	10600000	10700000	100000	inside	0.35842	1.0	0
NC_049253.1	10700000	10800000	100000	inside	0.37385	1.0	0
NC_049253.1	10800000	10900000	100000	inside	0.39952	1.0	0
NC_049253.1	10900000	11000000	100000	inside	0.39162	1.0	0
NC_049253.1	11000000	11100000	100000	inside	0.41378	1.0	0
NC_049253.1	11100000	11200000	100000	inside	0.39431	1.0	0
NC_049253.1	11200000	11300000	100000	inside	0.40214	1.0	0
NC_049253.1	11300000	11400000	100000	inside	0.41818	1.0	0
NC_049253.1	11400000	11500000	100000	inside	0.4122	1.0	0
NC_049253.1	11500000	11600000	100000	inside	0.39621	1.0	0
NC_049253.1	11600000	11700000	100000	inside	0.38832	1.0	0
NC_049253.1	11700000	11800000	100000	inside	0.38337	1.0	0
NC_049253.1	11800000	11900000	100000	inside	0.37784	1.0	0
NC_049253.1	11900000	12000000	100000	inside	0.35919	1.0	0
NC_049253.1	12000000	12100000	100000	inside	0.36853	1.0	0
NC_049253.1	12100000	12200000	100000	inside	0.36103	1.0	0
NC_049253.1	12200000	12300000	100000	inside	0.36067	1.0	0
NC_049253.1	12300000	12400000	100000	inside	0.36242	1.0	0
NC_049253.1	12400000	12500000	100000	inside	0.3438	1.0	0
NC_049253.1	12500000	12600000	100000	inside	0.35321	1.0	0
NC_049253.1	12600000	12700000	100000	inside	0.35927	1.0	0
NC_049253.1	12700000	12800000	100000	inside	0.35816	1.0	0
NC_049253.1	12800000	12900000	100000	inside	0.34823	1.0	0
NC_049253.1	12900000	13000000	100000	inside	0.34351	1.0	0
NC_049253.1	13000000	13100000	100000	inside	0.38806	1.0	0
NC_049253.1	13100000	13200000	100000	inside	0.39013	1.0	0
NC_049253.1	13200000	13300000	100000	inside	0.35933	1.0	0
NC_049253.1	13300000	13400000	100000	inside	0.35447	1.0	0
NC_049253.1	13400000	13500000	100000	inside	0.37917	1.0	0
NC_049253.1	13500000	13600000	100000	inside	0.38358	1.0	0
NC_049253.1	13600000	13700000	100000	inside	0.35527	1.0	0
NC_049253.1	13700000	13800000	100000	inside	0.36775	1.0	0
NC_049253.1	13800000	13900000	100000	inside	0.35757	1.0	0
NC_049253.1	13900000	14000000	100000	inside	0.38156	1.0	0
NC_049253.1	14000000	14100000	100000	inside	0.36638	1.0	0
NC_049253.1	14100000	14200000	100000	inside	0.36974	1.0	0
NC_049253.1	14200000	14300000	100000	inside	0.36678	1.0	0
NC_049253.1	14300000	14400000	100000	inside	0.38092	1.0	0
NC_049253.1	14400000	14500000	100000	inside	0.35849	1.0	0
NC_049253.1	14500000	14600000	100000	inside	0.35075	1.0	0
NC_049253.1	14600000	14700000	100000	inside	0.35141	1.0	0
NC_049253.1	14700000	14800000	100000	inside	0.35815	1.0	0
NC_049253.1	14800000	14900000	100000	inside	0.35503	1.0	0
NC_049253.1	14900000	15000000	100000	inside	0.35255	1.0	0
NC_049253.1	15000000	15100000	100000	inside	0.35286	1.0	0
NC_049253.1	15100000	15200000	100000	inside	0.35974	1.0	0
NC_049253.1	15200000	15300000	100000	inside	0.36447	1.0	0
NC_049253.1	15300000	15400000	100000	inside	0.36308	1.0	0
NC_049253.1	15400000	15500000	100000	inside	0.37344	1.0	0
NC_049253.1	15500000	15600000	100000	inside	0.36106	1.0	0
NC_049253.1	15600000	15700000	100000	inside	0.37461	1.0	0
NC_049253.1	15700000	15800000	100000	inside	0.3777	1.0	0
NC_049253.1	15800000	15900000	100000	inside	0.40277	1.0	0
NC_049253.1	15900000	16000000	100000	inside	0.38435	1.0	0
NC_049253.1	16000000	16100000	100000	inside	0.38303	1.0	0
NC_049253.1	16100000	16200000	100000	inside	0.37794	1.0	0
NC_049253.1	16200000	16300000	100000	inside	0.37964	1.0	0
NC_049253.1	16300000	16400000	100000	inside	0.35057	1.0	0
NC_049253.1	16400000	16500000	100000	inside	0.34938	1.0	0
NC_049253.1	16500000	16600000	100000	inside	0.35255	1.0	0
NC_049253.1	16600000	16700000	100000	inside	0.35992	1.0	0
NC_049253.1	16700000	16800000	100000	inside	0.35266	1.0	0
NC_049253.1	16800000	16900000	100000	inside	0.36801	1.0	0
NC_049253.1	16900000	17000000	100000	inside	0.35546	1.0	0
NC_049253.1	17000000	17100000	100000	inside	0.36405	1.0	0
NC_049253.1	17100000	17200000	100000	inside	0.36306	1.0	0
NC_049253.1	17200000	17300000	100000	inside	0.37452	1.0	0
NC_049253.1	17300000	17400000	100000	inside	0.37601	1.0	0
NC_049253.1	17400000	17500000	100000	inside	0.35909	1.0	0
NC_049253.1	17500000	17600000	100000	inside	0.36421	1.0	0
NC_049253.1	17600000	17700000	100000	inside	0.3672	1.0	0
NC_049253.1	17700000	17800000	100000	inside	0.38799	1.0	0
NC_049253.1	17800000	17900000	100000	inside	0.39619	1.0	0
NC_049253.1	17900000	18000000	100000	inside	0.39156	1.0	0
NC_049253.1	18000000	18100000	100000	inside	0.36992	1.0	0
NC_049253.1	18100000	18200000	100000	inside	0.39789	1.0	0
NC_049253.1	18200000	18300000	100000	inside	0.40035	1.0	0
NC_049253.1	18300000	18400000	100000	inside	0.36868	1.0	0
NC_049253.1	18400000	18500000	100000	inside	0.38381	1.0	0
NC_049253.1	18500000	18600000	100000	inside	0.37419	1.0	0
NC_049253.1	18600000	18700000	100000	inside	0.3754	1.0	0
NC_049253.1	18700000	18800000	100000	inside	0.3884	1.0	0
NC_049253.1	18800000	18900000	100000	inside	0.36946	1.0	0
NC_049253.1	18900000	19000000	100000	inside	0.40089	1.0	0
NC_049253.1	19000000	19100000	100000	inside	0.41288	1.0	0
NC_049253.1	19100000	19200000	100000	inside	0.42907	1.0	0
NC_049253.1	19200000	19300000	100000	inside	0.36691	1.0	0
NC_049253.1	19300000	19400000	100000	inside	0.3512	1.0	0
NC_049253.1	19400000	19500000	100000	inside	0.36513	1.0	0
NC_049253.1	19500000	19600000	100000	inside	0.35203	1.0	0
NC_049253.1	19600000	19700000	100000	inside	0.34536	1.0	0
NC_049253.1	19700000	19800000	100000	inside	0.34074	1.0	0
NC_049253.1	19800000	19900000	100000	inside	0.33486	1.0	0
NC_049253.1	19900000	20000000	100000	inside	0.33891	1.0	0
NC_049253.1	20000000	20100000	100000	inside	0.36021	1.0	0
NC_049253.1	20100000	20200000	100000	inside	0.35506	1.0	0
NC_049253.1	20200000	20300000	100000	inside	0.35357	1.0	0
NC_049253.1	20300000	20400000	100000	inside	0.34871	1.0	0
NC_049253.1	20400000	20500000	100000	inside	0.35759	1.0	0
NC_049253.1	20500000	20600000	100000	inside	0.33779	1.0	0
NC_049253.1	20600000	20700000	100000	inside	0.34164	1.0	0
NC_049253.1	20700000	20800000	100000	inside	0.34857	1.0	0
NC_049253.1	20800000	20900000	100000	inside	0.33898	1.0	0
NC_049253.1	20900000	21000000	100000	inside	0.34999	1.0	0
NC_049253.1	21000000	21100000	100000	inside	0.35476	1.0	0
NC_049253.1	21100000	21200000	100000	inside	0.35198	1.0	0
NC_049253.1	21200000	21300000	100000	inside	0.3517	1.0	0
NC_049253.1	21300000	21400000	100000	inside	0.35298	1.0	0
NC_049253.1	21400000	21500000	100000	inside	0.35107	1.0	0
NC_049253.1	21500000	21600000	100000	inside	0.36823	1.0	0
NC_049253.1	21600000	21700000	100000	inside	0.35498	1.0	0
NC_049253.1	21700000	21800000	100000	inside	0.36473	1.0	0
NC_049253.1	21800000	21900000	100000	inside	0.37904	1.0	0
NC_049253.1	21900000	22000000	100000	inside	0.40795	1.0	0
NC_049253.1	22000000	22100000	100000	inside	0.35902	1.0	0
NC_049253.1	22100000	22200000	100000	inside	0.36145	1.0	0
NC_049253.1	22200000	22300000	100000	inside	0.36088	1.0	0
NC_049253.1	22300000	22400000	100000	inside	0.38833	1.0	0
NC_049253.1	22400000	22500000	100000	inside	0.35592	1.0	0
NC_049253.1	22500000	22600000	100000	inside	0.35164	1.0	0
NC_049253.1	22600000	22700000	100000	inside	0.3732	1.0	0
NC_049253.1	22700000	22800000	100000	inside	0.35685	1.0	0
NC_049253.1	22800000	22900000	100000	inside	0.3593	1.0	0
NC_049253.1	22900000	23000000	100000	inside	0.35926	1.0	0
NC_049253.1	23000000	23100000	100000	inside	0.36858	1.0	0
NC_049253.1	23100000	23200000	100000	inside	0.3941	1.0	0
NC_049253.1	23200000	23300000	100000	inside	0.36303	1.0	0
NC_049253.1	23300000	23400000	100000	inside	0.35441	1.0	0
NC_049253.1	23400000	23500000	100000	inside	0.34199	1.0	0
NC_049253.1	23500000	23600000	100000	inside	0.3469	1.0	0
NC_049253.1	23600000	23700000	100000	inside	0.34901	1.0	0
NC_049253.1	23700000	23800000	100000	inside	0.34875	1.0	0
NC_049253.1	23800000	23900000	100000	inside	0.336	1.0	0
NC_049253.1	23900000	24000000	100000	inside	0.33685	1.0	0
NC_049253.1	24000000	24100000	100000	inside	0.33935	1.0	0
NC_049253.1	24100000	24200000	100000	inside	0.33673	1.0	0
NC_049253.1	24200000	24300000	100000	inside	0.33382	1.0	0
NC_049253.1	24300000	24400000	100000	inside	0.33764	1.0	0
NC_049253.1	24400000	24500000	100000	inside	0.34343	1.0	0
NC_049253.1	24500000	24600000	100000	inside	0.338	1.0	0
NC_049253.1	24600000	24700000	100000	inside	0.34616	1.0	0
NC_049253.1	24700000	24800000	100000	inside	0.35405	1.0	0
NC_049253.1	24800000	24900000	100000	inside	0.35889	1.0	0
NC_049253.1	24900000	25000000	100000	inside	0.34516	1.0	0
NC_049253.1	25000000	25100000	100000	inside	0.33566	1.0	0
NC_049253.1	25100000	25200000	100000	inside	0.34405	1.0	0
NC_049253.1	25200000	25300000	100000	inside	0.34399	1.0	0
NC_049253.1	25300000	25400000	100000	inside	0.34301	1.0	0
NC_049253.1	25400000	25500000	100000	inside	0.34593	1.0	0
NC_049253.1	25500000	25600000	100000	inside	0.34453	1.0	0
NC_049253.1	25600000	25700000	100000	inside	0.3334	1.0	0
NC_049253.1	25700000	25800000	100000	inside	0.34247	1.0	0
NC_049253.1	25800000	25900000	100000	inside	0.34724	1.0	0
NC_049253.1	25900000	26000000	100000	inside	0.34119	1.0	0
NC_049253.1	26000000	26100000	100000	inside	0.33892	1.0	0
NC_049253.1	26100000	26200000	100000	inside	0.33726	1.0	0
NC_049253.1	26200000	26300000	100000	inside	0.3439	1.0	0
NC_049253.1	26300000	26400000	100000	inside	0.33851	1.0	0
NC_049253.1	26400000	26500000	100000	inside	0.35292	1.0	0
NC_049253.1	26500000	26600000	100000	inside	0.35546	1.0	0
NC_049253.1	26600000	26700000	100000	inside	0.35634	1.0	0
NC_049253.1	26700000	26800000	100000	inside	0.35419	1.0	0
NC_049253.1	26800000	26900000	100000	inside	0.35981	1.0	0
NC_049253.1	26900000	27000000	100000	inside	0.34481	1.0	0
NC_049253.1	27000000	27100000	100000	inside	0.35222	1.0	0
NC_049253.1	27100000	27200000	100000	inside	0.3688	1.0	0
NC_049253.1	27200000	27300000	100000	inside	0.3603	1.0	0
NC_049253.1	27300000	27400000	100000	inside	0.38629	1.0	0
NC_049253.1	27400000	27500000	100000	inside	0.39005	1.0	0
NC_049253.1	27500000	27600000	100000	inside	0.38223	1.0	0
NC_049253.1	27600000	27700000	100000	inside	0.36869	1.0	0
NC_049253.1	27700000	27800000	100000	inside	0.34575	1.0	0
NC_049253.1	27800000	27900000	100000	inside	0.36939	1.0	0
NC_049253.1	27900000	28000000	100000	inside	0.3991	1.0	0
NC_049253.1	28000000	28100000	100000	inside	0.3924	1.0	0
NC_049253.1	28100000	28200000	100000	inside	0.39665	1.0	0
NC_049253.1	28200000	28300000	100000	inside	0.40183	1.0	0
NC_049253.1	28300000	28400000	100000	inside	0.40124	1.0	0
NC_049253.1	28400000	28500000	100000	inside	0.39518	1.0	0
NC_049253.1	28500000	28600000	100000	inside	0.3837037037037037	0.999	100
NC_049253.1	28600000	28700000	100000	inside	0.37635	1.0	0
NC_049253.1	28700000	28800000	100000	inside	0.36799	1.0	0
NC_049253.1	28800000	28900000	100000	inside	0.37031	1.0	0
NC_049253.1	28900000	29000000	100000	inside	0.37347	1.0	0
NC_049253.1	29000000	29100000	100000	inside	0.37671	1.0	0
NC_049253.1	29100000	29200000	100000	inside	0.37777	1.0	0
NC_049253.1	29200000	29300000	100000	inside	0.38556	1.0	0
NC_049253.1	29300000	29400000	100000	inside	0.38009	1.0	0
NC_049253.1	29400000	29500000	100000	inside	0.40917	1.0	0
NC_049253.1	29500000	29600000	100000	inside	0.41921	1.0	0
