window_id	decision	reason	genes	chrom	start	end	window_bp	atac_mean	atac_observed_fraction	atac_length_matched_percentile	atac_peak_frequency_max	rrbs_observed_fraction	rrbs_mean_observed	rrbs_dogs_max	repeat_overlap_bp	phylop_scored_fraction	phylop_mean_observed	phylop_max_observed	atac-peaks-bed_overlap_bp	external-regulatory-bed_overlap_bp	tad-boundaries-bed_overlap_bp	cpg_overlap_bp	epic_nonquiescent_bp_union	epic_promoter_enhancer_bp_union	epic_regulatory_tissues	local_review_status	selected_1kb_previously	small_variant_review	small_variant_PASS_SNP_records	small_variant_PASS_nonSNP_records	SV_review	conservation_status	T_cell_accessibility_status	CAR_T_functional_safety_status	decision_status	previous_atac_mean	previous_atac_length_matched_percentile	gate_evidence_dogs_min	gate_evidence_dogs_median	gate_evidence_dogs_max	exploratory_Pareto_front	pilot_phyloP_observed_fraction	pilot_phyloP_max50bp_mean	pilot_phyloP_mean	published_phyloP_observed_fraction	published_phyloP_max50bp_mean	published_phyloP_mean	legacy_phylop_columns_model	NPNT_regional_SV_context	previous_SV_review	canfam6_mapping_status	canfam6_chrom	canfam6_start	canfam6_end	T_consensus_fragment_starts	T_consensus_nuclei_with_start	T_union_fragment_starts	T_union_nuclei_with_start	all_QC_fragment_starts	all_QC_nuclei_with_start	T_review_status	shared_mapped_bp	source_mapping_agreement_fraction	shared_blocks_count	T_consensus_shared_fragment_starts	T_consensus_shared_nuclei_with_start	T_union_shared_fragment_starts	T_union_shared_nuclei_with_start	all_QC_shared_fragment_starts	all_QC_shared_nuclei_with_start	T_support_group	uu_ros_chrom	uu_ros_start	uu_ros_end	uu_uu_contig	uu_vcf_contig	uu_start	uu_end	uu_strand	uu_mapq	uu_NM	uu_cigar	uu_query_aligned_bp	uu_alternatives	uu_eligible_for_variant_lookup	uu_sv_records	nearest_gene_body	gene_body_gap_bp	nearest_gene_5prime	gene_5prime_gap_bp	nearest_risk_gene	risk_gene_categories	risk_gene_body_gap_bp	epic_promoter_enhancer_bp	epic_observed_nonquiescent_states	lncrna_smallrna_overlap_bp	mirna_overlap_bp	external_regulatory_overlap_bp	remap_tiles_tested	remap_tiles_failed_proxy	SNP_records	SNP_PASS	SNP_PASS_max_alt_AF_ge_0_01	nonSNP_records	nonSNP_PASS	nonSNP_PASS_max_alt_AF_ge_0_01	local_review_decision	additional_mapping_flag	v1222_supplementary_lookup	v1222_mapping_comment	supplementary_SNP_PASS	supplementary_nonSNP_PASS
w00	NOT_ADVANCED	Only 5% RRBS coverage, max one dog; 204 bp repeat; cross-assembly core differs and flanks split; 923/1000 bp shared for T evidence.	LOC119876429/LOC119872513	NC_051811.1	17234956	17235956	1000	1.2039294957518578	1.0	86.94042409962975	0.0	0.05	33.33333206176758	1.0	204	1.0	0.322791	5.848	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.2033100192546844	87.16666666666667	10	29.0	46	True	1.0	1.14644	0.322791	1.0	0.6823400000000001	0.08352100000000001	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed	incomplete_ambiguous_or_noncontiguous_not_quantified										not_quantified_mapping_unresolved	923	0.923	13	1	1	1	1	23	22	consensus_and_union	NC_051811.1	17234956	17235956	NC_049228.1	chr7	17382280	17383266	+	60	23	452M16I183M2D349M	1000	False	False		TSEN15	112449	C7H1orf21	131259	ARPC5	oncogene	517037	0		0	0	0	103	0							exploratory_only_no_safe_harbor_validation	cross_reference_difference_exceeds_existing_NM10_lookup_rule; variants_not_assessed	UU_span_queried_after_reciprocal_core_confirmation; original_automated_gate_still_failed	984_reciprocal_pairs;16_ROS_unpaired_bp;2_UU_unpaired_bp;5_substitutions;flanks_split_and_alternatives	19	1
w01	PRIORITY_1_VALIDATION	No tested repeat overlap; full cross-reference mapping; no catalogue SV hit; better RRBS coverage than w11; two sparse T starts. Methylation remains high and CAR-T accessibility unproven.	LOC119876429/LOC119872513	NC_051811.1	17255706	17256706	1000	1.0401423190832138	1.0	63.74957926624032	0.0	0.2	60.70986366271973	66.0	0	1.0	0.283797	5.195	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0401493315696717	64.46666666666667	11	19.0	31	True	1.0	0.6673600000000001	0.283797	1.0	0.34154000000000007	-0.0006510000000000034	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed	two_routes_unique_identical_contiguous	chr7	17108139	17109139	2	2	2	2	18	17	exploratory_sparse_signal_requires_replication	1000	1.0	1	2	2	2	2	18	17	consensus_and_union	NC_051811.1	17255706	17256706	NC_049228.1	chr7	17403010	17404010	+	60	0	1000M	1000	False	True	0	C7H1orf21	110509	C7H1orf21	110509	ARPC5	oncogene	537787	0		0	0	0	103	0	26	24	10	0	0	0	exploratory_only_no_safe_harbor_validation	no_extra_mapping_flag_under_tested_proxy	not_performed_in_this_patch	no_new_mapping_evidence_in_this_patch		
w02	SAME_LOCUS_BACKUP	Overlaps w01 by 500 bp; not an independent locus. Higher bulk ATAC but more variant records, 400 bp nonquiescent annotation and only one T start.	LOC119876429/LOC119872513	NC_051811.1	17256206	17257206	1000	1.0871196376681327	1.0	74.11645910467855	0.0	0.194	60.161468033938064	66.0	0	1.0	0.263188	5.195	0	0	0	0	400	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0871269720196723	74.56666666666666	13	21.0	31	True	1.0	0.7259200000000001	0.263188	1.0	0.43130000000000007	0.016960999999999997	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed	two_routes_unique_identical_contiguous	chr7	17108639	17109639	1	1	1	1	21	17	exploratory_sparse_signal_requires_replication	1000	1.0	1	1	1	1	1	21	17	consensus_and_union	NC_051811.1	17256206	17257206	NC_049228.1	chr7	17403510	17404510	+	60	0	1000M	1000	False	True	0	C7H1orf21	110009	C7H1orf21	110009	ARPC5	oncogene	538287	0	12	0	0	0	103	0	31	28	14	3	3	2	exploratory_only_no_safe_harbor_validation	no_extra_mapping_flag_under_tested_proxy	not_performed_in_this_patch	no_new_mapping_evidence_in_this_patch		
w03	RESERVE_NOT_FIRST_LINE	One T start on 998 shared bp; 208 bp repeats; RRBS methylation 88.27% on 10% coverage; no catalogue SV hit. Not superior overall despite bulk ATAC percentile 90.95.	ANO2/NTF3	NC_051831.1	39713074	39714074	1000	1.2730091723799706	1.0	90.94580949175362	0.0	0.1	88.27061080932617	18.0	208	0.998	0.2697985971943888	5.545	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.2730177615284919	91.16666666666666	23	31.0	39	True	0.998	1.6412200000000001	0.2697985971943888	0.998	1.17262	-0.01934068136272548	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed	incomplete_ambiguous_or_noncontiguous_not_quantified										not_quantified_mapping_unresolved	998	0.998	2	1	1	1	1	18	18	consensus_and_union	NC_051831.1	39713074	39714074	NC_049248.1	chr27	6736835	6737835	-	60	2	1000M	1000	False	True	0	NTF3	25677	NTF3	97152	GAPDH	essential,oncogene	885858	0		0	0	0	103	0	35	24	8	1	1	1	exploratory_only_no_safe_harbor_validation	no_extra_mapping_flag_under_tested_proxy	not_performed_in_this_patch	no_new_mapping_evidence_in_this_patch		
w04	NOT_ADVANCED	Zero consensus T starts; one union-only start. RRBS max three dogs, repeats and nonquiescent annotation.	ANO2/NTF3	NC_051831.1	39729824	39730824	1000	1.324535159945488	1.0	93.23460114439582	1.0	0.25	32.882861328125	3.0	374	1.0	0.43123500000000003	6.716	0	0	0	0	249	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.3245440834760667	93.36666666666666	21	31.5	52	True	1.0	2.07036	0.43123500000000003	1.0	1.3596000000000001	0.12553399999999998	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed	two_routes_unique_identical_contiguous	chr27	7242278	7243278	0	0	1	1	21	19	no_start_observed_not_proof_closed	1000	1.0	1	0	0	1	1	21	19	union_only	NC_051831.1	39729824	39730824	NC_049248.1	chr27	6720125	6721125	-	60	2	1000M	1000	False	True	0	NTF3	8927	NTF3	80402	GAPDH	essential,oncogene	902608	0	9	0	0	0	103	0	25	23	3	3	2	0	exploratory_only_no_safe_harbor_validation	no_extra_mapping_flag_under_tested_proxy	not_performed_in_this_patch	no_new_mapping_evidence_in_this_patch		
w05	NOT_ADVANCED	Zero consensus T starts; one union-only start. RRBS max three dogs; near NTF3 body; nonquiescent annotation.	ANO2/NTF3	NC_051831.1	39730074	39731074	1000	1.1928093338012695	1.0	86.13261528105015	1.0	0.15	21.471435546875	3.0	172	1.0	0.577735	6.716	0	0	0	0	499	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1928173773288726	86.4	17	27.0	45	True	1.0	2.07036	0.577735	1.0	1.3596000000000001	0.23795799999999998	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed	two_routes_unique_identical_contiguous	chr27	7242028	7243028	0	0	1	1	20	19	no_start_observed_not_proof_closed	1000	1.0	1	0	0	1	1	20	19	union_only	NC_051831.1	39730074	39731074	NC_049248.1	chr27	6719875	6720875	-	60	2	1000M	1000	False	True	0	NTF3	8677	NTF3	80152	GAPDH	essential,oncogene	902858	0	9	0	0	0	103	0	22	18	3	2	1	0	exploratory_only_no_safe_harbor_validation	no_extra_mapping_flag_under_tested_proxy	not_performed_in_this_patch	no_new_mapping_evidence_in_this_patch		
w06	NOT_ADVANCED	Zero consensus T starts; one union-only start. Zero methylation measured on only 10% window with max one dog; not robust hypomethylation.	ANO2/NTF3	NC_051831.1	39730324	39731324	1000	1.1476348626613617	1.0	82.39649949511949	0.0	0.1	0.0	1.0	204	1.0	0.691784	6.716	0	0	0	0	749	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1476425998806954	82.66666666666667	17	25.0	42	True	1.0	2.07036	0.691784	1.0	1.3596000000000001	0.31827099999999997	pilot; use published_phyloP_* for updated calibration	not_applicable	not_assessed	two_routes_unique_identical_contiguous	chr27	7241778	7242778	0	0	1	1	16	16	no_start_observed_not_proof_closed	1000	1.0	1	0	0	1	1	16	16	union_only	NC_051831.1	39730324	39731324	NC_049248.1	chr27	6719625	6720625	-	60	3	1000M	1000	False	True	0	NTF3	8427	NTF3	79902	GAPDH	essential,oncogene	903108	0	9	0	0	0	103	0	18	14	4	2	1	0	exploratory_only_no_safe_harbor_validation	no_extra_mapping_flag_under_tested_proxy	not_performed_in_this_patch	no_new_mapping_evidence_in_this_patch		
w07	NOT_ADVANCED	Two SV catalogue hits including smaller deletion; 996 shared bp; high observed methylation and seven PASS nonSNP records.	NPNT/TBCK	NC_051836.1	27039161	27040161	1000	1.0625763675570488	1.0	69.3032648939751	0.0	0.1	89.01605987548828	19.0	62	1.0	0.23449099999999998	8.484	0	0	0	0	400	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.062583530664444	69.83333333333334	12	23.0	38	True	1.0	1.0737	0.23449099999999998	1.0	0.77608	-0.043434999999999994	pilot; use published_phyloP_* for updated calibration	catalogue_DEL_challenged_by_distributed_heterozygosity; unresolved_read_level	not_assessed	incomplete_ambiguous_or_noncontiguous_not_quantified										not_quantified_mapping_unresolved	996	0.996	2	1	1	1	1	11	10	consensus_and_union	NC_051836.1	27039161	27040161	NC_049253.1	chr32	13080665	13081664	-	60	5	467M1I532M	1000	False	True	2	NPNT	25250	NPNT	100917	TET2	oncogene,tumor_suppressor	680054	0	9	0	0	0	103	0	25	21	11	11	7	6	exploratory_only_no_safe_harbor_validation	no_extra_mapping_flag_under_tested_proxy	not_performed_in_this_patch	no_new_mapping_evidence_in_this_patch		
w08	NOT_ADVANCED	Same NPNT SV context; high observed methylation (92.68%) and repeat overlap.	NPNT/TBCK	NC_051836.1	27039411	27040411	1000	1.1125432941913604	1.0	78.22282059912487	0.0	0.15	92.67737325032552	19.0	215	1.0	0.21127200000000002	8.484	0	0	0	0	284	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.1125507906675338	78.66666666666666	11	25.5	38	True	1.0	1.0737	0.21127200000000002	1.0	0.6446400000000001	-0.11482399999999998	pilot; use published_phyloP_* for updated calibration	catalogue_DEL_challenged_by_distributed_heterozygosity; unresolved_read_level	not_assessed	two_routes_unique_identical_contiguous	chr32	15218075	15219075	1	1	1	1	14	13	exploratory_sparse_signal_requires_replication	1000	1.0	1	1	1	1	1	14	13	consensus_and_union	NC_051836.1	27039411	27040411	NC_049253.1	chr32	13080415	13081414	-	60	4	717M1I282M	1000	False	True	1	NPNT	25500	NPNT	101167	TET2	oncogene,tumor_suppressor	680304	0	9	0	0	0	103	0	25	22	12	2	2	1	exploratory_only_no_safe_harbor_validation	no_extra_mapping_flag_under_tested_proxy	not_performed_in_this_patch	no_new_mapping_evidence_in_this_patch		
w09	NOT_ADVANCED	Overlapping NPNT alternative; 494 bp repeats and 81.96% observed methylation; not preferred over w11.	NPNT/TBCK	NC_051836.1	27040661	27041661	1000	1.1928398830890656	1.0	86.13261528105015	2.0	0.2	81.96321964263916	68.0	494	1.0	0.081606	4.905	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	published_ancestral_repeat_model_comparison_available_not_safe_harbor_validation	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.192847921013832	86.4	18	31.0	48	True	1.0	0.5847	0.081606	1.0	0.41218000000000005	-0.205517	pilot; use published_phyloP_* for updated calibration	catalogue_DEL_challenged_by_distributed_heterozygosity; unresolved_read_level	not_assessed	two_routes_unique_identical_contiguous	chr32	15216825	15217825	1	1	1	1	17	17	exploratory_sparse_signal_requires_replication	1000	1.0	1	1	1	1	1	17	17	consensus_and_union	NC_051836.1	27040661	27041661	NC_049253.1	chr32	13079164	13080165	-	60	4	870M1D130M	1000	False	True	1	NPNT	26750	NPNT	102417	TET2	oncogene,tumor_suppressor	681554	0		0	0	0	103	0	25	22	13	3	3	2	exploratory_only_no_safe_harbor_validation	no_extra_mapping_flag_under_tested_proxy	not_performed_in_this_patch	no_new_mapping_evidence_in_this_patch		
