id	chrom	start0	end0	atac_mean	atac_percentile	GC	GC_distance_w01	coding_TSS_distance	miRNA_distance	risk_gene_distance	screen_flags	stage	pending	group	nearest_mRNA_TSS_distance	nearest_mRNA_id	overlapping_transcripts	TAD_boundary_overlap	additional_flags
bg1k_2054	NC_051826.1	46097112	46098112	0.9188145959973335	23.527431841130934	0.339	0.07199999999999995	156889	3217091	1794465		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	random	156889	rna-XM_038430807.1		False	
bg1k_0567	NC_051823.1	3770399	3771399	1.0287606527805329	60.68663749579266	0.452	0.041000000000000036	77819	9963021	469808		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	random	77819	rna-XM_038425727.1		True	TAD_boundary_overlap
bg1k_2848	NC_051840.1	28808728	28809728	0.8909203255772591	15.213732749915854	0.359	0.05199999999999999	140510	7548721	3788526		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	random	140510	rna-XM_038446707.1		False	
bg1k_0045	NC_051825.1	9610913	9611913	0.9134818447263617	21.743520700100976	0.373	0.03799999999999998	245325	3146107	3150415		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	random	245325	rna-XM_038429793.1		False	
bg1k_2865	NC_051815.1	42906991	42907991	0.9617757417559624	38.640188488724334	0.405	0.00599999999999995	401519	1060321	699841		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	random	401519	rna-XM_038681866.1		False	
bg1k_0442	NC_051837.1	10430486	10431486	0.8479521748423576	7.0346684617973745	0.317	0.09399999999999997	710285	8320858	986558		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	random	710285	rna-NM_001313804.1		False	
bg1k_2901	NC_051831.1	27679801	27680801	0.9187100813984871	23.493773140356783	0.325	0.08599999999999997	170394	10753474	2797966		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	random	170394	rna-XM_038438846.1		False	
bg1k_0202	NC_051816.1	30227611	30228611	0.9285530526041984	26.35476270615954	0.363	0.04799999999999999	973925	4069545	2639003		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	random	973925	rna-XM_038683864.1		False	
bg1k_0334	NC_051825.1	16855903	16856903	1.0109108077287674	56.0753954897341	0.374	0.03699999999999998	311532	2881961	903510		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	random	311532	rna-XM_038429558.1		False	
bg1k_2545	NC_051839.1	1367230	1368230	1.0174210676550866	57.5563783237967	0.399	0.011999999999999955	326530		344049		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	random	326530	rna-XM_038446211.1		False	
bg1k_0228	NC_051826.1	56546547	56547547	0.9046653767824173	19.050824638168965	0.41	0.0010000000000000009	394290	13666526	2271392		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	low_ATAC	394290	rna-XM_038431437.1		False	
bg1k_1958	NC_051809.1	83663220	83664220	0.783729065595002	2.457085156512959	0.412	0.0010000000000000009	362453	1061823	559087		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	low_ATAC	362453	rna-XM_038667482.1		False	
bg1k_2686	NC_051837.1	7716819	7717819	0.8508549840003252	7.573207674183776	0.408	0.0030000000000000027	76836	11034525	310625		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	low_ATAC	76836	rna-XM_038444798.1		False	
bg1k_1023	NC_051816.1	46678467	46679467	0.8753683442473411	12.083473577919893	0.415	0.0040000000000000036	263847	5194680	389248		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	low_ATAC	263847	rna-XM_038684095.1		False	
bg1k_0023	NC_051830.1	35042788	35043788	0.6268493895523647	0.4039044092898014	0.416	0.0050000000000000044	336819	2712563	1028947		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	low_ATAC	336819	rna-XM_038437663.1		False	
bg1k_0878	NC_051811.1	52129900	52130900	0.8977389335632324	17.300572197913162	0.417	0.006000000000000005	542605	2101922	2531715		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	low_ATAC	542605	rna-XM_038672213.1		False	
bg1k_1650	NC_051820.1	195668	196668	0.7373371371626853	1.413665432514305	0.404	0.006999999999999951	64355	891387	811902		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	low_ATAC	64355	rna-XM_038688952.1		False	
bg1k_2228	NC_051806.1	39725551	39726551	0.8539509971737862	8.31369909121508	0.402	0.008999999999999952	332640	3277484	1033088		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	low_ATAC	331610	rna-XM_038658789.1		False	
bg1k_2867	NC_051829.1	33663188	33664188	0.8776033525973295	12.554695388757994	0.396	0.014999999999999958	160265	1563994	357135		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	low_ATAC	160265	rna-XM_038435397.1		False	
bg1k_0117	NC_051819.1	26093664	26094664	0.6507473913431168	0.572197913160552	0.393	0.01799999999999996	716484	1506820	1882389		preliminary_annotation_screen_only	TAD_risk_context;EpiC;repeats;conservation;variants;sequence_specificity;donor_genotype	low_ATAC	716484	rna-XM_038688799.1		False	
