genes	chrom	start	end	window_bp	atac_mean	atac_observed_fraction	atac_length_matched_percentile	atac_peak_frequency_max	rrbs_observed_fraction	rrbs_mean_observed	rrbs_dogs_max	repeat_overlap_bp	phylop_scored_fraction	phylop_mean_observed	phylop_max_observed	atac-peaks-bed_overlap_bp	external-regulatory-bed_overlap_bp	tad-boundaries-bed_overlap_bp	cpg_overlap_bp	epic_nonquiescent_bp_union	epic_promoter_enhancer_bp_union	epic_regulatory_tissues	local_review_status
LOC119876429/LOC119872513	NC_051811.1	17217706	17218206	500	1.0859898864030837	1.0	73.4	0.0	0.3	69.93357340494792	8.0	490	1.0	0.458904	6.072	0	0	0	0	269	269	MG	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17217956	17218456	500	1.0857903746366502	1.0	73.33333333333333	0.0	0.188	80.37225650219207	8.0	317	1.0	0.243984	4.498	0	0	0	0	381	381	MG	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17218206	17218706	500	0.9484069548845291	1.0	36.96666666666666	0.0	0.1	100.0	2.0	284	1.0	0.18498399999999998	3.519	0	0	0	0	131	131	MG	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17218456	17218956	500	0.9289265722036362	1.0	31.7	0.0	0.1	100.0	2.0	222	0.998	0.19268537074148298	3.702	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17218706	17219206	500	0.9428986173868179	1.0	36.0	0.0	0.0		0.0	215	0.998	0.08942484969939879	4.221	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17218956	17219456	500	1.0422170683145524	1.0	63.866666666666674	0.0	0.0		0.0	210	1.0	0.04356800000000001	4.221	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17219206	17219706	500	1.0344111627340318	1.0	61.23333333333333	0.0	0.0		0.0	0	1.0	0.096078	3.773	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17219456	17219956	500	0.9896503002643585	1.0	48.93333333333334	0.0	0.0		0.0	52	1.0	0.29963999999999996	6.757	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17219706	17220206	500	1.0067023491859437	1.0	53.900000000000006	0.0	0.0		0.0	302	1.0	0.38798	6.757	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17219956	17220456	500	1.0716515754461289	1.0	70.66666666666667	0.0	0.1	100.0	1.0	260	1.0	0.350736	4.186	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17220206	17220706	500	1.0353585385084152	1.0	61.73333333333333	0.0	0.1	100.0	1.0	10	1.0	0.17087000000000002	4.186	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17220456	17220956	500	0.9262847453355789	1.0	30.966666666666665	0.0	0.0		0.0	88	1.0	0.110566	4.886	0	0	0	0	22	22	MG	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17220706	17221206	500	1.0661750355958939	1.0	69.3	0.0	0.0		0.0	95	1.0	0.276706	4.886	0	0	0	0	272	272	MG;SP	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17220956	17221456	500	1.2054073649644852	1.0	87.5	0.0	0.0		0.0	11	1.0	0.155742	3.961	0	0	0	0	500	500	MG;SP	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17221206	17221706	500	1.0630480818748473	1.0	68.66666666666667	0.0	0.0		0.0	143	1.0	0.11426399999999999	3.961	0	0	0	0	328	328	MG;SP	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17221456	17221956	500	0.9536152728796006	1.0	38.266666666666666	0.0	0.0		0.0	249	1.0	0.277376	5.105	0	0	0	0	78	78	MG;SP	regulatory_annotation_present
LOC119876429/LOC119872513	NC_051811.1	17221706	17222206	500	0.9053292558193207	1.0	24.633333333333333	0.0	0.0		0.0	312	1.0	0.510118	5.322	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17221956	17222456	500	0.8798012138605118	1.0	18.3	0.0	0.0		0.0	243	1.0	0.6097400000000001	5.322	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17222206	17222706	500	0.9432662471532821	1.0	36.13333333333333	0.0	0.0		0.0	41	1.0	0.410464	4.723	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17222456	17222956	500	0.9690298012495041	1.0	42.233333333333334	0.0	0.0		0.0	169	1.0	0.30297	3.716	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17222706	17223206	500	1.0807690200805664	1.0	72.46666666666667	0.0	0.212	77.75177145903965	6.0	169	1.0	0.754158	6.122	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17222956	17223456	500	1.1407300807237626	1.0	81.03333333333333	0.0	0.5	83.69652709960937	6.0	0	1.0	0.82246	6.936	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17223206	17223706	500	1.042780810713768	1.0	64.06666666666668	0.0	0.388	78.26002061981515	4.0	0	0.99	0.3013393939393939	6.936	0	0	0	147	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17223456	17223956	500	1.0387003079652786	1.0	62.73333333333333	0.0	0.1	50.0	1.0	245	0.99	0.0408909090909091	4.736	0	0	0	219	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17223706	17224206	500	1.1903612537384034	1.0	86.33333333333333	0.0	0.0		0.0	477	1.0	0.200286	5.207	0	0	0	72	67	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17223956	17224456	500	1.2296512138843536	1.0	89.33333333333333	0.0	0.0		0.0	435	1.0	0.28258799999999995	5.207	0	0	0	0	317	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17224206	17224706	500	1.0996516110897063	1.0	75.63333333333333	0.0	0.0		0.0	422	1.0	0.220938	3.73	0	0	0	0	500	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17224456	17224956	500	1.0000780363082886	1.0	51.63333333333333	0.0	0.0		0.0	219	0.998	0.38356913827655315	4.424	0	0	0	0	283	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17224706	17225206	500	1.0598469997644424	1.0	68.10000000000001	0.0	0.0		0.0	72	0.998	0.5947695390781562	8.368	0	0	0	0	33	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17224956	17225456	500	1.0924705101251602	1.0	74.4	0.0	0.1	100.0	1.0	289	1.0	1.115664	8.368	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17225206	17225706	500	1.0176490389108659	1.0	56.8	0.0	0.1	100.0	1.0	370	1.0	0.85683	8.354	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17225456	17225956	500	1.0097211579084395	1.0	54.56666666666666	0.0	0.0		0.0	403	1.0	0.15712399999999999	3.685	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17225706	17226206	500	1.0570566818714142	1.0	67.46666666666667	0.0	0.0		0.0	500	1.0	0.137036	3.277	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17225956	17226456	500	1.0661138827800751	1.0	69.3	0.0	0.0		0.0	500	1.0	0.195772	2.923	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17226206	17226706	500	0.951653810620308	1.0	37.666666666666664	0.0	0.0		0.0	492	0.998	0.2036432865731463	4.421	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
LOC119876429/LOC119872513	NC_051811.1	17226456	17226956	500	0.8932428888082504	1.0	21.366666666666667	0.0	0.0		0.0	270	0.998	0.15677755511022043	4.421	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues
