ros_chrom	ros_start	ros_end	uugsd_chrom	uugsd_start	uugsd_end	mapq	confident	sv_hits
NC_051805.1	7072137	7132579	NC_049222.1	7255977	7316424	60	True	none
NC_051805.1	12686627	12749345	NC_049222.1	12904225	12966886	59	True	none
NC_051805.1	32197089	32249732	NC_049222.1	32262188	32314829	60	True	none
NC_051805.1	60400908	60462010	NC_049222.1	60772129	60816774	60	True	none
NC_051805.1	85740590	85790734	NC_049222.1	85965327	86015403	60	True	none
NC_051806.1	17055808	17110317	NC_049223.1	16701979	16747773	60	True	none
NC_051807.1	10779807	10837318	NC_049224.1	10939802	10985126	60	True	none
NC_051807.1	22304729	22367018	NC_049224.1	22552397	22590678	60	True	none
NC_051807.1	44207725	44265967	NC_049224.1	44284468	44342649	60	True	none
NC_051807.1	77813684	77865855	NC_049224.1	77533240	77585322	60	True	none
NC_051808.1	81940968	82004288	NC_049225.1	82421995	82481948	60	True	none
NC_051811.1	25873242	25943461	NC_049228.1	26011631	26081828	60	True	none
NC_051811.1	48020921	48077046	NC_049228.1	48049237	48105324	60	True	none
NC_051812.1	5534832	5600865	NC_049229.1	5560322	5599666	60	True	none
NC_051812.1	21931015	21992476	NC_049229.1	21997189	22058320	60	True	none
NC_051812.1	58732540	58805036	NC_049229.1	58829709	58874249	60	True	none
NC_051815.1	7585907	7653876	NC_049232.1	7875339	7925079	60	True	none
NC_051815.1	15804115	15863613	NC_049232.1	14979055	15038533	60	True	none
NC_051815.1	74432972	74494463	NC_049232.1	73715873	73748003	60	True	none
NC_051817.1	12626538	12686868	NC_049234.1	12575856	12636162	60	True	none
NC_051817.1	24350676	24411685	NC_049234.1	24423872	24462653	60	True	none
NC_051820.1	51445768	51508808	NC_049237.1	50160374	50199741	60	True	none
NC_051821.1	4818014	4875944	NC_049238.1	4736432	4785758	60	True	none
NC_051823.1	40699370	40753962	NC_049240.1	40739123	40793657	60	True	none
NC_051823.1	43660794	43734482	NC_049240.1	43724195	43797808	60	True	none
NC_051826.1	1416239	1480570	NC_049243.1	1395911	1460228	60	True	none
NC_051826.1	19596764	19663367	NC_049243.1	19380306	19446892	60	True	none
NC_051826.1	29235878	29299159	NC_049243.1	29016907	29056242	60	True	none
NC_051826.1	55859005	55918918	NC_049243.1	55509592	55537413	60	True	none
NC_051827.1	1109045	1172665	NC_049244.1	1037786	1101550	60	True	none
NC_051827.1	34198197	34269938	NC_049244.1	34190006	34261845	60	True	none
NC_051831.1	39677324	39739751	NC_049248.1	6711188	6773567	60	True	none
NC_051833.1	23112498	23172320	NC_049250.1	23573387	23613783	60	True	none
NC_051835.1	18249632	18323889	NC_049252.1	18716602	18790900	60	True	none
NC_051835.1	23436373	23508916	NC_049252.1	23888100	23960476	60	True	none
NC_051837.1	7790832	7842018	NC_049254.1	8092418	8116576	60	True	none
NC_051841.1	7533022	7602083	NC_049258.1	7522143	7591190	60	True	none
NC_051843.1	10578732	10643009	NC_049260.1	10661425	10725702	60	True	none
NC_051843.1	79168554	79226339	NC_049260.1	78088139	78145906	60	True	none
NC_051843.1	104147730	104215864	NC_049260.1	103190905	103218661	60	True	none
