#chrom	start	end	type	length	gc_frac	obs_exp	n_cpg
NC_051805.1	390849	391589	CGI_GGF+CGI_TJ	740	0.6122	0.6061	42
NC_051805.1	544664	545363	CGI_GGF+CGI_TJ	699	0.6953	0.6423	53
NC_051805.1	681105	681886	CGI_GGF+CGI_TJ	781	0.6709	0.6176	54
NC_051805.1	934037	935216	CGI_GGF+CGI_TJ	1179	0.6802	0.6040	82
NC_051805.1	1217540	1218556	CGI_GGF+CGI_TJ	1016	0.5404	0.6754	50
NC_051805.1	1319614	1320358	CGI_GGF+CGI_TJ	744	0.5618	0.6135	36
NC_051805.1	1525740	1526724	CGI_GGF+CGI_TJ	984	0.6809	0.6326	69
NC_051805.1	1544484	1545889	CGI_GGF+CGI_TJ	1405	0.6655	0.6408	99
NC_051805.1	1927768	1928617	CGI_GGF+CGI_TJ	849	0.5383	0.6676	41
NC_051805.1	2207662	2209014	CGI_GGF+CGI_TJ	1352	0.5821	0.6290	72
NC_051805.1	2671668	2673715	CGI_GGF+CGI_TJ	2047	0.5423	0.7113	107
NC_051805.1	2689656	2691297	CGI_GGF+CGI_TJ	1641	0.6051	0.6266	93
NC_051805.1	2737979	2739934	CGI_GGF+CGI_TJ	1955	0.5570	0.6466	98
NC_051805.1	2792645	2793185	CGI_GGF+CGI_TJ	540	0.6167	0.6073	31
NC_051805.1	2948239	2948958	CGI_GGF+CGI_TJ	719	0.6662	0.6230	49
NC_051805.1	3114059	3115318	CGI_GGF+CGI_TJ	1259	0.5830	0.6363	67
NC_051805.1	3185066	3188653	CGI_GGF+CGI_TJ	3587	0.6197	0.6281	216
NC_051805.1	4981663	4982771	CGI_GGF+CGI_TJ	1108	0.6498	0.6354	73
NC_051805.1	6727659	6728222	CGI_GGF+CGI_TJ	563	0.5364	0.7037	28
NC_051805.1	7919173	7920370	CGI_GGF+CGI_TJ	1197	0.5414	0.7071	62
NC_051805.1	8214570	8215461	CGI_GGF+CGI_TJ	891	0.5275	0.6455	40
NC_051805.1	11070574	11071206	CGI_GGF+CGI_TJ	632	0.6582	0.6366	43
NC_051805.1	13249735	13250778	CGI_GGF+CGI_TJ	1043	0.5475	0.6324	49
NC_051805.1	13252259	13253432	CGI_GGF+CGI_TJ	1173	0.5422	0.6062	32
NC_051805.1	13457955	13458978	CGI_GGF+CGI_TJ	1023	0.5464	0.6092	46
NC_051805.1	13762395	13763511	CGI_GGF+CGI_TJ	1116	0.5394	0.6570	53
NC_051805.1	13863624	13865117	CGI_GGF+CGI_TJ	1493	0.6343	0.6261	94
NC_051805.1	14847373	14848446	CGI_GGF+CGI_TJ	1073	0.6058	0.6400	63
NC_051805.1	14994303	14995237	CGI_GGF+CGI_TJ	934	0.5964	0.6031	50
NC_051805.1	16894860	16895484	CGI_GGF+CGI_TJ	624	0.5272	0.6705	29
NC_051805.1	16984481	16985318	CGI_GGF+CGI_TJ	837	0.6069	0.6487	49
NC_051805.1	17406163	17407719	CGI_GGF+CGI_TJ	1556	0.5662	0.6215	77
NC_051805.1	17519291	17520496	CGI_GGF+CGI_TJ	1205	0.5842	0.6424	66
NC_051805.1	17562385	17563814	CGI_GGF+CGI_TJ	1429	0.5486	0.7236	77
NC_051805.1	18269703	18270924	CGI_GGF+CGI_TJ	1221	0.5897	0.6129	65
NC_051805.1	18373263	18374373	CGI_GGF+CGI_TJ	1110	0.5838	0.6250	59
NC_051805.1	18674533	18675838	CGI_GGF+CGI_TJ	1305	0.6023	0.6192	72
NC_051805.1	23398433	23399186	CGI_GGF+CGI_TJ	753	0.5578	0.6494	38
NC_051805.1	23756260	23756969	CGI_GGF+CGI_TJ	709	0.7193	0.6367	58
NC_051805.1	23757157	23759184	CGI_GGF+CGI_TJ	2027	0.7568	0.6432	184
NC_051805.1	23882861	23883847	CGI_GGF+CGI_TJ	986	0.5436	0.7020	50
NC_051805.1	23952978	23953501	CGI_GGF+CGI_TJ	523	0.5430	0.7016	27
NC_051805.1	24008583	24010872	CGI_GGF+CGI_TJ	2289	0.5758	0.6276	114
NC_051805.1	24463670	24465016	CGI_GGF+CGI_TJ	1346	0.7407	0.6379	117
NC_051805.1	24465177	24466395	CGI_GGF+CGI_TJ	1218	0.7200	0.6405	101
NC_051805.1	24471132	24472050	CGI_GGF+CGI_TJ	918	0.6895	0.6430	70
NC_051805.1	24488032	24489374	CGI_GGF+CGI_TJ	1342	0.5999	0.6408	77
NC_051805.1	24497137	24497787	CGI_GGF+CGI_TJ	650	0.5492	0.6534	32
NC_051805.1	24498149	24498747	CGI_GGF+CGI_TJ	598	0.6538	0.6385	40
NC_051805.1	24569111	24570650	CGI_GGF+CGI_TJ	1539	0.5374	0.7026	78
NC_051805.1	24683609	24685576	CGI_GGF+CGI_TJ	1967	0.6599	0.6125	131
NC_051805.1	24693655	24694513	CGI_GGF+CGI_TJ	858	0.5851	0.6424	47
NC_051805.1	24760321	24761455	CGI_GGF+CGI_TJ	1134	0.5864	0.6342	61
NC_051805.1	24803357	24804893	CGI_GGF+CGI_TJ	1536	0.6335	0.6203	94
NC_051805.1	24805964	24806589	CGI_GGF+CGI_TJ	625	0.5376	0.6662	30
NC_051805.1	24814108	24814695	CGI_GGF+CGI_TJ	587	0.5639	0.6251	6
NC_051805.1	24829043	24830511	CGI_GGF+CGI_TJ	1468	0.6138	0.6296	87
NC_051805.1	26150929	26151555	CGI_GGF+CGI_TJ	626	0.6645	0.6274	43
NC_051805.1	26832722	26833418	CGI_GGF+CGI_TJ	696	0.6710	0.6317	48
NC_051805.1	27947549	27948865	CGI_GGF+CGI_TJ	1316	0.5365	0.8343	79
NC_051805.1	28015119	28016070	CGI_GGF+CGI_TJ	951	0.5352	0.8892	60
NC_051805.1	30428283	30428835	CGI_GGF+CGI_TJ	552	0.6757	0.6352	40
NC_051805.1	30745273	30745909	CGI_GGF+CGI_TJ	636	0.6588	0.6457	44
NC_051805.1	31816964	31817781	CGI_GGF+CGI_TJ	817	0.5459	1.1136	67
NC_051805.1	33020346	33020944	CGI_GGF+CGI_TJ	598	0.6555	0.6299	40
NC_051805.1	36586433	36587101	CGI_GGF+CGI_TJ	668	0.6422	0.6459	44
NC_051805.1	39608202	39609197	CGI_GGF+CGI_TJ	995	0.5327	0.6402	45
NC_051805.1	39647152	39648520	CGI_GGF+CGI_TJ	1368	0.5863	0.6308	74
NC_051805.1	41890897	41891962	CGI_GGF+CGI_TJ	1065	0.5343	0.6474	48
NC_051805.1	41892108	41893541	CGI_GGF+CGI_TJ	1433	0.5659	0.6393	73
NC_051805.1	44156556	44157539	CGI_GGF+CGI_TJ	983	0.5778	0.6141	50
NC_051805.1	47745002	47745537	CGI_GGF+CGI_TJ	535	0.6336	0.6246	33
NC_051805.1	50021526	50023296	CGI_GGF+CGI_TJ	1770	0.5808	0.6213	92
NC_051805.1	50135313	50136082	CGI_GGF+CGI_TJ	769	0.5319	0.7045	38
NC_051805.1	53975488	53976045	CGI_GGF+CGI_TJ	557	0.5889	0.6217	30
NC_051805.1	54677309	54677894	CGI_GGF+CGI_TJ	585	0.5385	0.8061	34
NC_051805.1	54887157	54888206	CGI_GGF+CGI_TJ	1049	0.5281	0.6530	47
NC_051805.1	54981387	54982596	CGI_GGF+CGI_TJ	1209	0.6220	0.6354	74
NC_051805.1	55156939	55158477	CGI_GGF+CGI_TJ	1538	0.6079	0.6421	91
NC_051805.1	55211161	55212073	CGI_GGF+CGI_TJ	912	0.5461	0.6767	46
NC_051805.1	55314093	55314761	CGI_GGF+CGI_TJ	668	0.5898	0.6202	36
NC_051805.1	55476787	55477969	CGI_GGF+CGI_TJ	1182	0.5795	0.6049	60
NC_051805.1	55514124	55514769	CGI_GGF+CGI_TJ	645	0.5581	0.6172	31
NC_051805.1	55715414	55716253	CGI_GGF+CGI_TJ	839	0.5447	0.6608	41
NC_051805.1	55727987	55729917	CGI_GGF+CGI_TJ	1930	0.5912	0.6352	107
