genes	chrom	start	end	window_bp	atac_mean	atac_observed_fraction	atac_length_matched_percentile	atac_peak_frequency_max	rrbs_observed_fraction	rrbs_mean_observed	rrbs_dogs_max	repeat_overlap_bp	phylop_scored_fraction	phylop_mean_observed	phylop_max_observed	atac-peaks-bed_overlap_bp	external-regulatory-bed_overlap_bp	tad-boundaries-bed_overlap_bp	cpg_overlap_bp	epic_nonquiescent_bp_union	epic_promoter_enhancer_bp_union	epic_regulatory_tissues	local_review_status	selected_1kb_previously	small_variant_review	small_variant_PASS_SNP_records	small_variant_PASS_nonSNP_records	SV_review	conservation_status	T_cell_accessibility_status	CAR_T_functional_safety_status	decision_status	previous_atac_mean	previous_atac_length_matched_percentile	gate_evidence_dogs_min	gate_evidence_dogs_median	gate_evidence_dogs_max	exploratory_Pareto_front
LOC119876429/LOC119872513	NC_051811.1	17217706	17218206	500	1.0953653736114501	1.0	74.60424385314921	0.0	0.3	69.93357340494792	8.0	490	1.0	0.458904	6.072	0	0	0	0	269	269	MG	regulatory_annotation_present	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	regulatory_conflict_requires_resolution	1.0859898864030837	73.4	18	24.0	31	False
LOC119876429/LOC119872513	NC_051811.1	17217956	17218456	500	1.095165853857994	1.0	74.53688110474907	0.0	0.188	80.37225650219207	8.0	317	1.0	0.243984	4.498	0	0	0	0	381	381	MG	regulatory_annotation_present	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	regulatory_conflict_requires_resolution	1.0857903746366502	73.33333333333333	18	25.0	33	False
LOC119876429/LOC119872513	NC_051811.1	17218206	17218706	500	0.9484005728960038	1.0	35.80330077467161	0.0	0.1	100.0	2.0	284	1.0	0.18498399999999998	3.519	0	0	0	0	131	131	MG	regulatory_annotation_present	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	regulatory_conflict_requires_resolution	0.9484069548845291	36.96666666666666	16	23.0	34	False
LOC119876429/LOC119872513	NC_051811.1	17218456	17218956	500	0.9289203321933747	1.0	30.346918154260692	0.0	0.1	100.0	2.0	222	0.998	0.19268537074148298	3.702	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9289265722036362	31.7	9	17.0	34	False
LOC119876429/LOC119872513	NC_051811.1	17218706	17219206	500	0.9428922603130341	1.0	34.79285954866958	0.0	0.0		0.0	215	0.998	0.08942484969939879	4.221	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9428986173868179	36.0	9	19.0	30	False
LOC119876429/LOC119872513	NC_051811.1	17218956	17219456	500	1.0435097209215165	1.0	63.55675311552711	0.0	0.0		0.0	210	1.0	0.04356800000000001	4.221	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0422170683145524	63.866666666666674	17	25.0	31	False
LOC119876429/LOC119872513	NC_051811.1	17219206	17219706	500	1.0536802833080292	1.0	66.2512630515325	0.0	0.0		0.0	0	1.0	0.096078	3.773	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0344111627340318	61.23333333333333	18	24.5	31	False
LOC119876429/LOC119872513	NC_051811.1	17219456	17219956	500	1.00766830766201	1.0	53.45234085550691	0.0	0.0		0.0	52	1.0	0.29963999999999996	6.757	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9896503002643585	48.93333333333334	18	24.5	31	False
LOC119876429/LOC119872513	NC_051811.1	17219706	17220206	500	1.0067438415288925	1.0	53.18288986190637	0.0	0.0		0.0	302	1.0	0.38798	6.757	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0067023491859437	53.900000000000006	13	26.0	33	False
LOC119876429/LOC119872513	NC_051811.1	17219956	17220456	500	1.0716443829536437	1.0	70.15830245874032	0.0	0.1	100.0	1.0	260	1.0	0.350736	4.186	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0716515754461289	70.66666666666667	13	24.5	33	False
LOC119876429/LOC119872513	NC_051811.1	17220206	17220706	500	1.0353515837192535	1.0	61.06433142472213	0.0	0.1	100.0	1.0	10	1.0	0.17087000000000002	4.186	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	insufficient_evidence_for_safe_harbor	1.0353585385084152	61.73333333333333	4	21.0	30	False
LOC119876429/LOC119872513	NC_051811.1	17220456	17220956	500	0.9267471503019333	1.0	29.57224654765914	0.0	0.0		0.0	88	1.0	0.110566	4.886	0	0	0	0	22	22	MG	regulatory_annotation_present	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	regulatory_conflict_requires_resolution	0.9262847453355789	30.966666666666665	4	13.5	29	False
LOC119876429/LOC119872513	NC_051811.1	17220706	17221206	500	1.0700187056064605	1.0	69.78780734253958	0.0	0.0		0.0	95	1.0	0.276706	4.886	0	0	0	0	272	272	MG;SP	regulatory_annotation_present	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	regulatory_conflict_requires_resolution	1.0661750355958939	69.3	4	19.0	33	False
LOC119876429/LOC119872513	NC_051811.1	17220956	17221456	500	1.2087814502716066	1.0	87.63893566857529	0.0	0.0		0.0	11	1.0	0.155742	3.961	0	0	0	0	500	500	MG;SP	regulatory_annotation_present	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	regulatory_conflict_requires_resolution	1.2054073649644852	87.5	15	26.5	33	False
LOC119876429/LOC119872513	NC_051811.1	17221206	17221706	500	1.0630409053564072	1.0	68.17110138093634	0.0	0.0		0.0	143	1.0	0.11426399999999999	3.961	0	0	0	0	328	328	MG;SP	regulatory_annotation_present	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	regulatory_conflict_requires_resolution	1.0630480818748473	68.66666666666667	12	23.0	34	False
LOC119876429/LOC119872513	NC_051811.1	17221456	17221956	500	0.9531434763669968	1.0	37.083192994274164	0.0	0.0		0.0	249	1.0	0.277376	5.105	0	0	0	0	78	78	MG;SP	regulatory_annotation_present	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	regulatory_conflict_requires_resolution	0.9536152728796006	38.266666666666666	11	21.0	34	False
LOC119876429/LOC119872513	NC_051811.1	17221706	17222206	500	0.9082849254608154	1.0	24.0485011788481	0.0	0.0		0.0	312	1.0	0.510118	5.322	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9053292558193207	24.633333333333333	11	22.0	31	False
LOC119876429/LOC119872513	NC_051811.1	17221956	17222456	500	0.8831548672914505	1.0	17.413270461434827	0.0	0.0		0.0	243	1.0	0.6097400000000001	5.322	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.8798012138605118	18.3	13	20.0	31	False
LOC119876429/LOC119872513	NC_051811.1	17222206	17222706	500	0.9431923398971558	1.0	34.89390367126979	0.0	0.0		0.0	41	1.0	0.410464	4.723	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9432662471532821	36.13333333333333	12	17.0	26	False
LOC119876429/LOC119872513	NC_051811.1	17222456	17222956	500	0.9687905492782592	1.0	41.19232064668238	0.0	0.0		0.0	169	1.0	0.30297	3.716	0	0	0	0	0	0		no_promoter_enhancer_in_queried_epic_tissues	False	not_assessed			not_assessed	pilot_only	not_validated	not_validated	insufficient_evidence_for_safe_harbor	0.9690298012495041	42.233333333333334	12	18.0	26	False
